step_num,stable_rank_like,sv_stability_like,durability
1,297.9521058683481,0.9999516556660334,5.0
2,297.9479195195026,0.999948484202226,5.0
4,297.9485863437868,0.9999486419061819,5.0
8,297.9490916823903,0.9999453251560529,5.0
16,297.94402447099645,0.9998653742174307,5.0
32,297.90114663210323,0.998146985967954,5.0
64,297.4006326434423,0.9905893541872501,5.0
128,290.338900879202,0.9474169040719668,5.0
256,255.12242319943766,0.869118812183539,5.0
512,205.49076888696592,0.6896830021093289,5.0
1000,95.25191003906859,0.577214186390241,5.0
2000,58.838055135478044,0.6478096979359785,5.0
3000,59.174693930345285,0.879904263963302,5.0
4000,60.0555288895687,0.9393584604064623,5.0
5000,60.768077047065255,0.9597194182376066,5.0
6000,60.955069098827344,0.9640041788419088,5.0
7000,61.124902101221345,0.9745169567565123,5.0
8000,61.21490583287255,0.9802455926934878,5.0
9000,61.20457735504255,0.9827434023221334,5.0
10000,61.3417996243231,0.9838583581149578,5.0
11000,61.4092100922862,0.9861566387116909,
12000,61.49844269803204,0.9848366752266884,
13000,61.44653371042181,0.9849948287010193,5.0
14000,61.45905365294028,0.9841457158327103,
15000,61.50627531987927,0.9870742385586103,
16000,61.52448957204203,0.9901065441469351,5.0
17000,61.475578661939494,0.9904243225852648,
18000,61.43864046151598,0.9919009792308012,
19000,61.464280847725355,0.9884304826458296,
20000,61.52576256001916,0.9895557053387165,
21000,61.562167071075265,0.9879849217832088,
22000,61.31546594906974,0.9890252662201723,
23000,61.276703729567636,0.989694411555926,5.0
24000,61.306731655312184,0.9923588956395785,
25000,61.44418473319279,0.98865153764685,
26000,61.40170786764111,0.9891573712229729,
27000,61.38202841170918,0.9887805307904879,
28000,61.29718442839839,0.9932707448800405,
29000,61.225883758435295,0.9918420761823654,
30000,61.10029071338542,0.9924762149651846,
31000,60.94519300718655,0.9936209358274937,
32000,60.80294696335656,0.9921722250680128,5.0
33000,60.4339857918059,0.9900906545420488,
34000,59.76113654518411,0.9872566796839237,
35000,59.22314121245383,0.9932370570798715,
36000,58.72090010989314,0.9914565632740656,
37000,58.35846047599561,0.9945474502940973,
38000,58.04767779370304,0.9908916018903255,
39000,57.93819620843963,0.9932815668483576,
40000,57.86128077596697,0.9941151328384876,
41000,57.84933312697401,0.9921188640097777,
42000,57.88411802259333,0.9924535801013311,
