model,checkpoint,step,module,layer,step_num,indicator,value,module_text,module_family,module_role
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,6,1,subspace_stability_topk,0.9994956254959106,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,6,1,subspace_stability_topk,0.999732494354248,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,6,1,subspace_stability_topk,1.0007812976837158,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,6,1,subspace_stability_topk,0.9997467398643494,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,7,1,subspace_stability_topk,0.9994745850563048,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,7,1,subspace_stability_topk,0.9996721744537354,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,7,1,subspace_stability_topk,1.0007827281951904,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,7,1,subspace_stability_topk,0.9996935129165648,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,8,1,subspace_stability_topk,0.9994571208953856,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,8,1,subspace_stability_topk,0.999708652496338,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,8,1,subspace_stability_topk,1.0008034706115725,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,8,1,subspace_stability_topk,0.9996956586837769,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,9,1,subspace_stability_topk,0.9994871616363524,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,9,1,subspace_stability_topk,0.9996915459632874,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,9,1,subspace_stability_topk,1.0009069442749023,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,9,1,subspace_stability_topk,0.9997395873069764,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,10,1,subspace_stability_topk,0.9995546340942384,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,10,1,subspace_stability_topk,0.9997072219848632,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,10,1,subspace_stability_topk,1.0008313655853271,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,10,1,subspace_stability_topk,0.9997614622116088,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,11,1,subspace_stability_topk,0.9996512532234192,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,11,1,subspace_stability_topk,0.9996861219406128,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,11,1,subspace_stability_topk,1.0008175373077393,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,11,1,subspace_stability_topk,0.9997520446777344,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,12,1,subspace_stability_topk,0.9995511174201964,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,12,1,subspace_stability_topk,0.9996812343597412,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,12,1,subspace_stability_topk,1.0007474422454834,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,12,1,subspace_stability_topk,0.9997313618659972,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,13,1,subspace_stability_topk,0.9992904663085938,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,13,1,subspace_stability_topk,0.9997258186340332,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,13,1,subspace_stability_topk,1.000781774520874,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,13,1,subspace_stability_topk,0.9997098445892334,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,14,1,subspace_stability_topk,0.9994680881500244,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,14,1,subspace_stability_topk,0.9997062683105468,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,14,1,subspace_stability_topk,1.0007643699645996,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,14,1,subspace_stability_topk,0.9997050166130066,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step1,1,attention.dense,15,1,subspace_stability_topk,0.9994845390319824,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step1,1,attention.query_key_value,15,1,subspace_stability_topk,0.9997439980506896,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_4h_to_h,15,1,subspace_stability_topk,1.0007447004318235,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step1,1,mlp.dense_h_to_4h,15,1,subspace_stability_topk,0.9997644424438475,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,0,2,subspace_stability_topk,0.9994877576828004,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,0,2,subspace_stability_topk,0.999719738960266,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,0,2,subspace_stability_topk,1.000741720199585,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,0,2,subspace_stability_topk,0.9996557235717772,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,1,2,subspace_stability_topk,0.9994927644729614,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,1,2,subspace_stability_topk,0.9996922612190248,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,1,2,subspace_stability_topk,1.000778317451477,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,1,2,subspace_stability_topk,0.9997259378433228,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,2,2,subspace_stability_topk,0.9994281530380248,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,2,2,subspace_stability_topk,0.9996705055236816,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,2,2,subspace_stability_topk,1.000797986984253,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,2,2,subspace_stability_topk,0.9997282028198242,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,3,2,subspace_stability_topk,0.9994332194328308,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,3,2,subspace_stability_topk,0.9996857047080994,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,3,2,subspace_stability_topk,1.00074303150177,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,3,2,subspace_stability_topk,0.9997121095657348,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,4,2,subspace_stability_topk,0.999480962753296,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,4,2,subspace_stability_topk,0.9996858239173888,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,4,2,subspace_stability_topk,1.0008138418197632,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,4,2,subspace_stability_topk,0.9996944665908812,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,5,2,subspace_stability_topk,0.9996142983436584,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,5,2,subspace_stability_topk,0.999667227268219,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,5,2,subspace_stability_topk,1.000847339630127,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,5,2,subspace_stability_topk,0.9997344613075256,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,6,2,subspace_stability_topk,0.9995046257972716,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,6,2,subspace_stability_topk,0.99970805644989,attention.query_key_value,attention,attention_qkv
