step_num,indicator,module_family,mean_value,n
8,effective_rank,mlp,1978.8430031395765,32
8,frobenius_norm,attention,27.62255160894764,32
8,frobenius_norm,mlp,34.28590138444132,32
8,mean_singular_value,attention,0.5770235381287643,32
8,mean_singular_value,mlp,0.733146143050476,32
8,median_eigenvalue,attention,0.5381902973617867,32
8,median_eigenvalue,mlp,0.7618311522650754,32
8,mp_edge,attention,27.13309554344598,32
8,mp_edge,mlp,1.8712906847718762,32
8,mp_outliers_x1,attention,0.0625,32
8,mp_outliers_x1,mlp,0.09375,32
8,mp_outliers_x1.1,attention,0.0,32
8,mp_outliers_x1.1,mlp,0.0,32
8,mp_outliers_x1.25,attention,0.0,32
8,mp_outliers_x1.25,mlp,0.0,32
8,nuclear_norm,attention,1181.7442060877092,32
8,nuclear_norm,mlp,1501.4833009673748,32
8,num_singular_values,attention,2048.0,32
8,num_singular_values,mlp,2048.0,32
8,rows,attention,4096.0,32
8,rows,mlp,5120.0,32
8,spectral_norm,attention,0.987661408726126,32
8,spectral_norm,mlp,1.1344116516411304,32
8,stable_rank,attention,669.8789243149984,32
8,stable_rank,mlp,913.3227722854481,32
8,subspace_stability_topk,attention,0.9995656944811344,32
8,subspace_stability_topk,mlp,1.0002321507781744,32
16,alpha_tail_frac_0.2,attention,5.723900815622693,32
16,alpha_tail_frac_0.2,mlp,7.988564382198668,32
16,alpha_tail_frac_0.3,attention,4.062107065845369,32
16,alpha_tail_frac_0.3,mlp,5.777007013934875,32
16,alpha_tail_frac_0.5,attention,2.4788203643886066,32
16,alpha_tail_frac_0.5,mlp,3.6752010509791733,32
16,cols,attention,2048.0,32
16,cols,mlp,5120.0,32
16,effective_rank,attention,1800.7403610438341,32
16,effective_rank,mlp,1978.843007741678,32
16,frobenius_norm,attention,27.622573169438994,32
16,frobenius_norm,mlp,34.2859681066892,32
16,mean_singular_value,attention,0.5770238106814717,32
16,mean_singular_value,mlp,0.7331475592101242,32
16,median_eigenvalue,attention,0.53818313133071,32
16,median_eigenvalue,mlp,0.7618411745255431,32
16,mp_edge,attention,27.132618888996664,32
16,mp_edge,mlp,1.8713153025137446,32
16,mp_outliers_x1,attention,0.0625,32
16,mp_outliers_x1,mlp,0.09375,32
16,mp_outliers_x1.1,attention,0.0,32
16,mp_outliers_x1.1,mlp,0.0,32
16,mp_outliers_x1.25,attention,0.0,32
16,mp_outliers_x1.25,mlp,0.0,32
16,nuclear_norm,attention,1181.744764275654,32
16,nuclear_norm,mlp,1501.4862012623344,32
16,num_singular_values,attention,2048.0,32
