step_num,indicator,module_family,layer,mean_value,n
1,alpha_tail_frac_0.2,attention,0,5.712857962176658,2
1,alpha_tail_frac_0.2,attention,1,5.740270217701751,2
1,alpha_tail_frac_0.2,attention,2,5.706168336966429,2
1,alpha_tail_frac_0.2,attention,3,5.716452070518647,2
1,alpha_tail_frac_0.2,attention,4,5.715081813600078,2
1,alpha_tail_frac_0.2,attention,5,5.730763748331837,2
1,alpha_tail_frac_0.2,attention,6,5.714271322917512,2
1,alpha_tail_frac_0.2,attention,7,5.735859656173058,2
1,alpha_tail_frac_0.2,attention,8,5.724405991992347,2
1,alpha_tail_frac_0.2,attention,9,5.721940927476189,2
1,alpha_tail_frac_0.2,attention,10,5.723081871104318,2
1,alpha_tail_frac_0.2,attention,11,5.746219154106953,2
1,alpha_tail_frac_0.2,attention,12,5.723653759493471,2
1,alpha_tail_frac_0.2,attention,13,5.7230616480912015,2
1,alpha_tail_frac_0.2,attention,14,5.736606802364767,2
1,alpha_tail_frac_0.2,attention,15,5.711409048767207,2
1,alpha_tail_frac_0.2,mlp,0,7.98480535301231,2
1,alpha_tail_frac_0.2,mlp,1,7.995388995430002,2
1,alpha_tail_frac_0.2,mlp,2,7.996491918560692,2
1,alpha_tail_frac_0.2,mlp,3,7.984301445580442,2
1,alpha_tail_frac_0.2,mlp,4,7.983477761999083,2
1,alpha_tail_frac_0.2,mlp,5,7.962682503417427,2
1,alpha_tail_frac_0.2,mlp,6,8.001182961440756,2
1,alpha_tail_frac_0.2,mlp,7,8.0045417809147,2
1,alpha_tail_frac_0.2,mlp,8,7.971009484466423,2
1,alpha_tail_frac_0.2,mlp,9,8.003282228320447,2
1,alpha_tail_frac_0.2,mlp,10,8.00894839832857,2
1,alpha_tail_frac_0.2,mlp,11,7.986133544015274,2
1,alpha_tail_frac_0.2,mlp,12,8.012601961803359,2
1,alpha_tail_frac_0.2,mlp,13,7.973780572125307,2
1,alpha_tail_frac_0.2,mlp,14,7.9641190366458385,2
1,alpha_tail_frac_0.2,mlp,15,7.98814220281133,2
1,alpha_tail_frac_0.3,attention,0,4.054530131926142,2
1,alpha_tail_frac_0.3,attention,1,4.067497112224087,2
1,alpha_tail_frac_0.3,attention,2,4.0577321479973465,2
1,alpha_tail_frac_0.3,attention,3,4.056986593943423,2
1,alpha_tail_frac_0.3,attention,4,4.064205712470397,2
1,alpha_tail_frac_0.3,attention,5,4.062347699778079,2
1,alpha_tail_frac_0.3,attention,6,4.056476548387643,2
1,alpha_tail_frac_0.3,attention,7,4.068703275111684,2
1,alpha_tail_frac_0.3,attention,8,4.0626565947825455,2
1,alpha_tail_frac_0.3,attention,9,4.064870058220014,2
1,alpha_tail_frac_0.3,attention,10,4.06345615636105,2
1,alpha_tail_frac_0.3,attention,11,4.066964673316074,2
1,alpha_tail_frac_0.3,attention,12,4.064152557866775,2
1,alpha_tail_frac_0.3,attention,13,4.063847670926769,2
