step,retention_margin_mean,retention_margin_sem,retention_margin_count,uptake_margin_mean,uptake_margin_sem,uptake_margin_count,degradation_auc_margin_mean,degradation_auc_margin_sem,degradation_auc_margin_count
0,-1.369158997833184,0.17509388468887838,10,0.27580145907402037,0.027474759991088726,10,-146.95540543794633,9.776271489341475,10
1,-1.3470989912788123,0.15105593360574535,16,0.27670542463660236,0.023770012524614685,16,-143.01956447005273,7.965439234781177,16
2,-1.3089966185583546,0.20220064001151902,12,0.27833685696125027,0.032006800318916305,12,-136.4589852853616,9.701320902082573,12
4,-1.2576966873954378,0.2889312210713233,6,0.2835314178466797,0.04730589937723701,6,-136.43193165779115,14.422491442855826,6
8,-1.1375254050273238,0.2701426147495307,6,0.2953597164154052,0.04691019897206877,6,-137.01704490065575,14.697406741198838,6
16,-1.5710302723585627,0.419962757819775,6,0.23490106503168737,0.04131357729650398,6,-143.8970147192478,15.868471596681525,6
32,-4.086640650561411,1.0688220337811414,6,0.0997347545623779,0.024902317251315517,6,-163.67956329107287,14.252864692553944,6
64,-0.7185353236832938,0.32593261157281594,6,0.31440244555473323,0.055940004956941576,6,-114.45656546195347,10.17153994295112,6
128,0.3367433657659169,0.013887446148391552,6,0.8282500620683034,0.03855062934698458,6,-88.43368128736813,11.515024154742061,6
256,0.5358451532574446,0.026347274349543245,6,1.1505270846684772,0.03202935561787156,6,-85.45629186669986,15.147118537989426,6
512,0.5598282734333359,0.010138792684326674,6,1.6012763001521428,0.0060255195217389385,6,-26.73301790714264,4.027574693757494,6
1000,0.7654398076299405,0.023813048115590107,6,1.1373853880167009,0.05901209588089143,6,-132.0646387853225,8.710808385314776,6
2000,0.6693598298915827,0.023197063454691885,6,1.3808718929688135,0.04367629102637718,6,-97.92226210216681,12.786854948683226,6
3000,0.631743310797393,0.021763089607079702,6,1.496177299171686,0.06662497240499672,6,-67.91603752441704,11.040540929123896,6
4000,0.5829256927794699,0.0143283826607634,6,1.764012563501795,0.1254272908467568,6,-20.282286904528736,20.218596242263196,6
5000,0.5250381567517468,0.02649463378171957,6,1.6980095199743908,0.05035295213714961,6,-33.77172285755475,7.387245732062581,6
6000,0.5089335641685779,0.02380008427475287,6,1.9242832675079502,0.039737173638800825,6,-17.835785414874554,9.490276127652738,6
7000,0.5749496778310977,0.023197626679000792,6,1.7185217659299574,0.07625406216037081,6,-46.98279807423552,10.306154067274184,6
8000,0.4593516025953383,0.007949766059677692,6,2.2516884459989766,0.05123771140953248,6,6.547587236948313,13.12101294230783,6
9000,0.4820597182132004,0.014145216892536557,6,2.11795624324431,0.0651507936362828,6,-16.553096219611668,8.037386971421434,6
10000,0.49755915698253067,0.02818725213531325,6,2.132665346500774,0.06183703911230339,6,-15.101128578037025,5.6328493113825715,6
13000,0.4435354261982496,0.019974446228721493,6,2.1445089594274758,0.05243115034060259,6,-6.074686254635455,6.118741780044518,6
16000,0.4249587309185166,0.006377720477184784,6,2.0691815383794405,0.07462267899423922,6,-28.360830310819054,14.669293684967661,6
23000,0.40443165422209937,0.014815524687210771,6,2.3193006337930755,0.08081500080615021,6,-11.419279795587066,9.194746728713627,6
32000,0.4006506233505129,0.015960664449957085,6,2.2056528066502263,0.0360320628761608,6,-26.49364440105235,10.740569302371735,6
44000,0.3568236412944688,0.013468433301994227,6,2.6765366605917613,0.03587258259072903,6,-0.3361576355993752,1.7362125966994608,6
64000,0.35392480214768257,0.009881714893730884,6,3.1226371378172186,0.15734209829275336,6,30.456156565193094,3.643502802102291,6
89000,0.31028593569370505,0.006808109159402624,6,3.8235771793406457,0.08425451950720116,6,43.82379228801156,4.630898937652906,6
100000,0.3137147570210277,0.024426778936130038,6,3.4980889884180697,0.26645481346846805,6,16.77097261168994,8.89126446313174,6
110000,0.2402417885840935,0.020768670366063453,6,3.548390679481478,0.1813449706976658,6,3.2292700102913687,13.884987336330848,6
128000,0.21322393562528966,0.023359339377803615,6,5.497127755898425,0.3095037440098796,6,66.50972098583011,11.808828177998084,6
143000,0.23873773086201056,0.013092496488178592,6,6.083984735195602,0.3823979103484081,6,56.433678049420315,15.091924954308237,6
