model,stage,step,seed,metric,value
EleutherAI/pythia-160m-deduped,step0,0,0,base_probe_accuracy,0.225
EleutherAI/pythia-160m-deduped,step0,0,0,post_injection_accuracy,0.41
EleutherAI/pythia-160m-deduped,step0,0,0,uptake_accuracy_delta,0.1849999999999999
EleutherAI/pythia-160m-deduped,step0,0,0,base_probe_mean_margin,-0.4387421607971191
EleutherAI/pythia-160m-deduped,step0,0,0,post_injection_mean_margin,-0.2528836119174957
EleutherAI/pythia-160m-deduped,step0,0,0,uptake_margin_delta,0.1858585488796234
EleutherAI/pythia-160m-deduped,step0,0,0,normalized_retention_margin,-1.8729480870277715
EleutherAI/pythia-160m-deduped,step0,0,0,normalized_retention_accuracy,0.1891891891891892
EleutherAI/pythia-160m-deduped,step0,0,0,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,0,degradation_auc_accuracy,80.92999999999999
EleutherAI/pythia-160m-deduped,step0,0,0,degradation_auc_margin,-180.7992664670944
EleutherAI/pythia-160m-deduped,step0,0,1,base_probe_accuracy,0.185
EleutherAI/pythia-160m-deduped,step0,0,1,post_injection_accuracy,0.48
EleutherAI/pythia-160m-deduped,step0,0,1,uptake_accuracy_delta,0.295
EleutherAI/pythia-160m-deduped,step0,0,1,base_probe_mean_margin,-0.4137381505966186
EleutherAI/pythia-160m-deduped,step0,0,1,post_injection_mean_margin,-0.1918884217739105
EleutherAI/pythia-160m-deduped,step0,0,1,uptake_margin_delta,0.2218497288227081
EleutherAI/pythia-160m-deduped,step0,0,1,normalized_retention_margin,-1.6913209958884643
EleutherAI/pythia-160m-deduped,step0,0,1,normalized_retention_accuracy,0.2203389830508474
EleutherAI/pythia-160m-deduped,step0,0,1,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,1,degradation_auc_accuracy,97.22
EleutherAI/pythia-160m-deduped,step0,0,1,degradation_auc_margin,-123.16042275071143
EleutherAI/pythia-160m-deduped,step0,0,2,base_probe_accuracy,0.195
EleutherAI/pythia-160m-deduped,step0,0,2,post_injection_accuracy,0.495
EleutherAI/pythia-160m-deduped,step0,0,2,uptake_accuracy_delta,0.3
EleutherAI/pythia-160m-deduped,step0,0,2,base_probe_mean_margin,-0.462876935005188
EleutherAI/pythia-160m-deduped,step0,0,2,post_injection_mean_margin,-0.0359497809410095
EleutherAI/pythia-160m-deduped,step0,0,2,uptake_margin_delta,0.4269271540641784
EleutherAI/pythia-160m-deduped,step0,0,2,normalized_retention_margin,-0.3667354872004981
EleutherAI/pythia-160m-deduped,step0,0,2,normalized_retention_accuracy,0.35
EleutherAI/pythia-160m-deduped,step0,0,2,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,2,degradation_auc_accuracy,96.67
EleutherAI/pythia-160m-deduped,step0,0,2,degradation_auc_margin,-105.419674782753
EleutherAI/pythia-160m-deduped,step0,0,3,base_probe_accuracy,0.175
EleutherAI/pythia-160m-deduped,step0,0,3,post_injection_accuracy,0.42
EleutherAI/pythia-160m-deduped,step0,0,3,uptake_accuracy_delta,0.245
EleutherAI/pythia-160m-deduped,step0,0,3,base_probe_mean_margin,-0.4281999015808105
EleutherAI/pythia-160m-deduped,step0,0,3,post_injection_mean_margin,-0.148824473619461
EleutherAI/pythia-160m-deduped,step0,0,3,uptake_margin_delta,0.2793754279613495
EleutherAI/pythia-160m-deduped,step0,0,3,normalized_retention_margin,-1.4856564764979698
EleutherAI/pythia-160m-deduped,step0,0,3,normalized_retention_accuracy,0.2653061224489796
EleutherAI/pythia-160m-deduped,step0,0,3,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,3,degradation_auc_accuracy,82.46000000000001
EleutherAI/pythia-160m-deduped,step0,0,3,degradation_auc_margin,-149.12731393337248
EleutherAI/pythia-160m-deduped,step0,0,4,base_probe_accuracy,0.215
EleutherAI/pythia-160m-deduped,step0,0,4,post_injection_accuracy,0.495
EleutherAI/pythia-160m-deduped,step0,0,4,uptake_accuracy_delta,0.28
EleutherAI/pythia-160m-deduped,step0,0,4,base_probe_mean_margin,-0.4247988510131836
EleutherAI/pythia-160m-deduped,step0,0,4,post_injection_mean_margin,-0.1598043584823608
EleutherAI/pythia-160m-deduped,step0,0,4,uptake_margin_delta,0.2649944925308227
EleutherAI/pythia-160m-deduped,step0,0,4,normalized_retention_margin,-1.4291485600487126
EleutherAI/pythia-160m-deduped,step0,0,4,normalized_retention_accuracy,0.2321428571428572
EleutherAI/pythia-160m-deduped,step0,0,4,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,4,degradation_auc_accuracy,91.38
EleutherAI/pythia-160m-deduped,step0,0,4,degradation_auc_margin,-176.2703606176376
EleutherAI/pythia-160m-deduped,step128,128,0,base_probe_accuracy,0.21
EleutherAI/pythia-160m-deduped,step128,128,0,post_injection_accuracy,0.505
EleutherAI/pythia-160m-deduped,step128,128,0,uptake_accuracy_delta,0.295
EleutherAI/pythia-160m-deduped,step128,128,0,base_probe_mean_margin,-0.8555588459968567
EleutherAI/pythia-160m-deduped,step128,128,0,post_injection_mean_margin,-0.0367883050441741
EleutherAI/pythia-160m-deduped,step128,128,0,uptake_margin_delta,0.8187705409526825
EleutherAI/pythia-160m-deduped,step128,128,0,normalized_retention_margin,0.3005374871152915
EleutherAI/pythia-160m-deduped,step128,128,0,normalized_retention_accuracy,0.3728813559322034
EleutherAI/pythia-160m-deduped,step128,128,0,k_star_accuracy_threshold,0.4000000000000004
EleutherAI/pythia-160m-deduped,step128,128,0,degradation_auc_accuracy,95.58
EleutherAI/pythia-160m-deduped,step128,128,0,degradation_auc_margin,-114.15911237716676
EleutherAI/pythia-160m-deduped,step128,128,1,base_probe_accuracy,0.195
EleutherAI/pythia-160m-deduped,step128,128,1,post_injection_accuracy,0.49
EleutherAI/pythia-160m-deduped,step128,128,1,uptake_accuracy_delta,0.295
EleutherAI/pythia-160m-deduped,step128,128,1,base_probe_mean_margin,-0.8578200149536133
EleutherAI/pythia-160m-deduped,step128,128,1,post_injection_mean_margin,-0.1300858569145202
EleutherAI/pythia-160m-deduped,step128,128,1,uptake_margin_delta,0.727734158039093
EleutherAI/pythia-160m-deduped,step128,128,1,normalized_retention_margin,0.3763710738628515
EleutherAI/pythia-160m-deduped,step128,128,1,normalized_retention_accuracy,0.3559322033898304
EleutherAI/pythia-160m-deduped,step128,128,1,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step128,128,1,degradation_auc_accuracy,100.71
EleutherAI/pythia-160m-deduped,step128,128,1,degradation_auc_margin,-97.88962485551832
EleutherAI/pythia-160m-deduped,step128,128,2,base_probe_accuracy,0.2
EleutherAI/pythia-160m-deduped,step128,128,2,post_injection_accuracy,0.545
EleutherAI/pythia-160m-deduped,step128,128,2,uptake_accuracy_delta,0.345
EleutherAI/pythia-160m-deduped,step128,128,2,base_probe_mean_margin,-0.7953463172912598
EleutherAI/pythia-160m-deduped,step128,128,2,post_injection_mean_margin,0.1428993082046508
