arm,seed,t_cont,cont_train_loss,approx_tokens_seen,elapsed_sec
in_window_carried,0,1,4.063125491142273,8192,0.15527725219726562
in_window_carried,0,2,4.439553260803223,16384,0.29720139503479004
in_window_carried,0,3,4.305017948150635,24576,0.43490099906921387
in_window_carried,0,4,4.161513447761536,32768,0.5761487483978271
in_window_carried,0,5,4.5604023933410645,40960,0.6996822357177734
in_window_carried,0,6,4.164430737495422,49152,9.054347515106201
in_window_carried,0,7,3.991500496864319,57344,9.198382377624512
in_window_carried,0,8,4.333479404449463,65536,9.341154336929321
in_window_carried,0,9,4.253239154815674,73728,9.497559309005737
in_window_carried,0,10,4.2445902824401855,81920,9.644062995910645
