step,lr
0,0.0
1,4.285714285714285e-07
2,8.57142857142857e-07
4,1.714285714285714e-06
8,3.428571428571428e-06
16,6.857142857142856e-06
32,1.3714285714285712e-05
64,2.7428571428571425e-05
128,5.485714285714285e-05
256,0.0001097142857142857
512,0.0002194285714285714
1000,0.00042857142857142855
1400,0.0006
2000,0.000599976077691061
3000,0.0005998299011542482
4000,0.0005995509101154096
5000,0.0005991392418983024
6000,0.0005985950991324689
7000,0.0005979187496534976
8000,0.0005971105263711916
9000,0.0005961708271057048
10000,0.0005951001143917284
11000,0.000593898915250824
12000,0.0005925678209320157
13000,0.000591107486620768
14000,0.0005895186311164932
15000,0.0005878020364787468
16000,0.0005859585476422859
17000,0.0005839890720011789
18000,0.0005818945789621723
19000,0.0005796760994675328
20000,0.000577334725487602
21000,0.0005748716094833115
22000,0.0005722879638389229
23000,0.0005695850602652743
24000,0.0005667642291738232
25000,0.0005638268590217985
26000,0.0005607743956287783
27000,0.000557608341465037
28000,0.0005543302549120043
29000,0.0005509417494952056
30000,0.0005474444930900607
31000,0.0005438402071009278
32000,0.0005401306656138027
33000,0.0005363176945230849
34000,0.0005324031706328441
35000,0.0005283890207330281
36000,0.0005242772206510665
37000,0.0005200697942793374
38000,0.0005157688125789757
39000,0.000511376392560514
40000,0.0005068946962418568
41000,0.0005023259295841014
42000,0.0004976723414057288
43000,0.000492936222275701
44000,0.0004881199033860062
45000,0.0004832257554042103
46000,0.0004782561873065766
47000,0.0004732136451923304
48000,0.0004681006110796505
49000,0.00046291960168398107
50000,0.0004576731671792648
51000,0.0004523638899427072
52000,0.00044699438328369063
53000,0.00044156729015746205
54000,0.0004360852818642291
55000,0.0004305510567343047
56000,0.00042496733879994605
57000,0.0004193368764545437
58000,0.00041366244109981913
59000,0.0004079468257816976
60000,0.0004021928438155271
61000,0.0003964033274013203
62000,0.00039058112622970175
63000,0.0003847291060792452
64000,0.00037885014740589285
65000,0.00037294714392514935
66000,0.00036702300118775043
67000,0.0003610806351495043
68000,0.00035512297073601385
69000,0.0003491529404029813
70000,0.00034317348269280836
71000,0.00033718754078819913
72000,0.00033119806106347995
73000,0.00032520799163434754
74000,0.00031922028090676025
75000,0.00031323787612568677
76000,0.0003072637219244258
77000,0.0003013007588752113
78000,0.00029535192204181726
79000,0.00028942013953487305
80000,0.00028350833107060113
81000,0.00027761940653368784
82000,0.0002717562645449921
83000,0.00026592179103479893
84000,0.00026011885782231935
85000,0.00025435032120213594
86000,0.0002486190205382902
87000,0.00024292777686670255
88000,0.0002372793915066152
89000,0.00023167664468173798
90000,0.00022612229415177934
91000,0.0002206190738550335
92000,0.0002151696925626936
93000,0.0002097768325455515
94000,0.0002044431482537428
95000,0.00019917126501018445
96000,0.0001939637777183498
97000,0.00018882324958501654
98000,0.0001837522108586163
99000,0.00017875315758380652
100000,0.0001738285503728783
101000,0.00016898081319460456
102000,0.0001642123321811246
103000,0.00015952545445345248
104000,0.00015492248696618742
105000,0.00015040569537199435
106000,0.00014597730290641457
107000,0.00014163948929355415
108000,0.00013739438967318976
109000,0.00013324409354981926
110000,0.000129190643764175
111000,0.00012523603548770563
112000,0.00012138221524052138
113000,0.00011763107993328652
114000,0.00011398447593353008
115000,0.00011044419815683495
116000,0.0001070119891833524
117000,0.00010368953840007649
118000,0.00010047848116930187
119000,9.738039802367232e-05
120000,9.439681388821845e-05
121000,9.152919732976507e-05
122000,8.877895983408005e-05
123000,8.614745511111863e-05
124000,8.363597842870653e-05
125000,8.12457659749885e-05
126000,7.897799424995746e-05
127000,7.683377948636247e-05
128000,7.481417710028185e-05
129000,7.292018117163051e-05
130000,7.11527239548585e-05
131000,6.95126754200807e-05
132000,6.800084282486381e-05
133000,6.661797031688172e-05
134000,6.536473856763429e-05
135000,6.424176443741004e-05
136000,6.32496006716581e-05
137000,6.238873562891809e-05
138000,6.165959304044246e-05
139000,6.106253180162932e-05
140000,6.05978457953685e-05
141000,6.026576374738774e-05
142000,6.006644911367048e-05
143000,6e-05
