step_num,stage,n,uptake_mean,uptake_sem,uptake_median
1,step1,8,0.27670542463660236,0.03479573543513853,0.24342249751091
2,step2,6,0.27833685696125027,0.047473756820384024,0.22187959194183346
4,step4,3,0.2835314178466797,0.07479719439740493,0.2237400484085083
8,step8,3,0.2953597164154052,0.07417153712171337,0.2295969009399414
16,step16,3,0.2349010650316874,0.06532250127318705,0.2246358942985534
32,step32,3,0.0997347545623779,0.03937402076513036,0.0745544004440307
64,step64,3,0.31440244555473323,0.08844891399252237,0.3737669694423676
128,step128,3,0.8282500620683034,0.060953896984700426,0.8187704122066498
256,step256,3,1.1505270846684772,0.05064285786999191,1.1487235701084135
512,step512,3,1.6012763001521428,0.009527182887251764,1.6062496495246887
1000,step1000,3,1.1373853880167006,0.09330631624192871,1.0522483134269716
2000,step2000,3,1.3808718929688135,0.0690582796958626,1.4488113725185394
3000,step3000,3,1.496177299171686,0.10534333092282794,1.4343246848136186
4000,step4000,3,1.764012563501795,0.19831795991007042,1.622722698673606
5000,step5000,3,1.6980095199743908,0.07961500783341798,1.728150545358658
6000,step6000,3,1.9242832675079502,0.06282998823810584,1.8753523561358447
7000,step7000,3,1.7185217659299574,0.1205682586334158,1.63543724283576
8000,step8000,3,2.2516884459989766,0.08101393507425957,2.2542345491051674
9000,step9000,3,2.1179562432443104,0.10301244962912866,2.0198356547951697
10000,step10000,3,2.132665346500774,0.09777294367789764,2.192816936522722
13000,step13000,3,2.1445089594274758,0.08290092770950867,2.205254189670086
16000,step16000,3,2.0691815383794405,0.11798881536269944,1.975915333200246
23000,step23000,3,2.3193006337930755,0.12777973582788918,2.2575185753405096
32000,step32000,3,2.205652806650226,0.056971693741532776,2.2377006433904167
44000,step44000,3,2.6765366605917613,0.056719533269603765,2.6276507671177387
64000,step64000,3,3.1226371378172186,0.24877970121759566,3.1406336809694766
89000,step89000,3,3.8235771793406457,0.13321809240292148,3.813976640589535
100000,step100000,3,3.4980889884180697,0.4213020520378346,3.2818134814128284
110000,step110000,3,3.5483906794814772,0.286731574810559,3.465723224710673
128000,step128000,3,5.497127755898425,0.48936838771045754,5.6538448550453175
143000,step143000,3,6.083984735195602,0.604624184594921,6.525677663234819
