experiment_id,model,stage,step,seed,timestamp,n_items,n_probe,n_train_texts,base_probe_mean_margin,base_probe_accuracy,base_probe_mean_nll,base_control_mean_margin,base_control_accuracy,post_injection_mean_margin,post_injection_accuracy,post_injection_mean_nll,uptake,uptake_accuracy_delta,injection_train_steps,injection_final_loss,post_continuation_mean_margin,post_continuation_accuracy,post_continuation_mean_nll,normalized_retention_margin,normalized_retention_accuracy,continuation_train_steps,continuation_final_loss,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_margin,degradation_final_accuracy,degradation_final_margin,step_num
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,0,2026-06-07T10:56:09+0000,300,200,900,-0.4387421512603759,0.225,11.042428631782531,-0.403396954536438,0.195,-0.2528827250003814,0.41,5.089542003870011,0.1858594262599945,0.1849999999999999,600,0.7791742086410522,-0.7868455600738525,0.26,8.119570152759552,-1.8729392198086448,0.1891891891891892,500,7.220894336700439,0.0,80.92999999999999,-180.79925122022627,0.31,-0.7143099820613861,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,1,2026-06-07T11:00:06+0000,300,200,900,-0.4137381887435913,0.185,11.012007422447205,-0.4780512189865112,0.18,-0.1918882179260254,0.48,4.5738851046562194,0.2218499708175659,0.295,600,0.8947799205780029,-0.7889573574066162,0.25,8.260390446186065,-1.6913194411532253,0.2203389830508474,500,7.232470035552978,0.0,97.22,-123.16040900349616,0.33,-0.5404672938585281,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,2,2026-06-07T11:03:53+0000,300,200,900,-0.4628769731521606,0.195,11.015091466903687,-0.4703330993652344,0.17,-0.0359499979019165,0.495,4.433163112401962,0.4269269752502441,0.3,600,0.7856820225715637,-0.6194463181495666,0.3,8.12588265657425,-0.3667356575574371,0.35,500,7.218785762786865,0.0,96.67,-105.4197786653042,0.385,-0.4302324640750885,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,3,2026-06-07T11:07:37+0000,300,200,900,-0.4281998634338378,0.175,10.978568921089172,-0.5299411725997925,0.22,-0.1488239645957946,0.42,4.728611983060837,0.2793758988380432,0.245,600,0.8711305856704712,-0.8432559275627136,0.24,8.239332058429717,-1.485654510124682,0.2653061224489796,500,7.2237725257873535,0.0,82.46000000000001,-149.1272767305374,0.295,-0.7184610223770141,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,4,2026-06-07T11:11:47+0000,300,200,900,-0.4247987937927246,0.215,11.01343123435974,-0.3439932489395141,0.21,-0.1598037695884704,0.495,5.038175976276397,0.2649950242042541,0.28,600,0.9044075012207032,-0.8035154151916504,0.28,8.131605834960938,-1.4291461605219302,0.2321428571428572,500,7.2245774269104,0.0,91.38,-176.27031157016756,0.3,-0.836246565580368,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,0,2026-06-07T11:15:57+0000,300,200,900,-0.4389636278152465,0.225,11.042292437553408,-0.4035240268707275,0.195,-0.2528665781021118,0.41,5.089544252157212,0.1860970497131347,0.1849999999999999,600,0.7791672348976135,-0.7868799352645874,0.26,8.119503064155579,-1.8695423059400869,0.1891891891891892,500,7.220890998840332,0.0,80.92999999999999,-180.79519954919812,0.31,-0.7142419362068176,2
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,1,2026-06-07T11:19:43+0000,300,200,900,-0.4137525224685669,0.185,11.01184051990509,-0.4782140636444091,0.18,-0.191872911453247,0.48,4.573878840208054,0.2218796110153198,0.295,600,0.8947740197181702,-0.7890075254440307,0.25,8.260361256599426,-1.6912550065249303,0.2203389830508474,500,7.232461452484131,0.0,97.22,-123.15838247060776,0.33,-0.540467100739479,2
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,2,2026-06-07T11:23:25+0000,300,200,900,-0.4630410861968994,0.195,11.015009922981262,-0.4703633689880371,0.17,-0.0360073769092559,0.495,4.433548181056977,0.4270337092876434,0.3,600,0.7856775522232056,-0.6194182538986206,0.3,8.125838034152984,-0.3661939661919942,0.35,500,7.218783378601074,0.0,96.67,-105.42339453935622,0.385,-0.4302449369430542,2
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,0,2026-06-07T11:46:10+0000,300,200,900,-0.4387421751022339,0.225,11.042428646087648,-0.4033968782424926,0.195,-0.2528830516338348,0.41,5.0895442867279055,0.185859123468399,0.1849999999999999,600,0.7791740298271179,-0.7868452930450439,0.26,8.119569334983826,-1.8729407060934335,0.1891891891891892,500,7.220894813537598,0.0,80.92999999999999,-180.7992804980278,0.31,-0.7143104648590088,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,1,2026-06-07T11:48:51+0000,300,200,900,-0.4137381172180175,0.185,11.012007393836974,-0.4780512237548828,0.18,-0.1918882167339325,0.48,4.573884804248809,0.221849900484085,0.295,600,0.8947798609733582,-0.7889574050903321,0.25,8.260390751361847,-1.6913205146974215,0.2203389830508474,500,7.232470035552978,0.0,97.22,-123.16041734695436,0.33,-0.540467249751091,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step1,1,2,2026-06-07T11:51:34+0000,300,200,900,-0.4628769063949585,0.195,11.015091428756714,-0.4703331136703491,0.17,-0.0359498286247253,0.495,4.433163384199142,0.4269270777702331,0.3,600,0.7856821417808533,-0.6194463157653809,0.3,8.125882577896117,-0.3667357202737235,0.35,500,7.218786239624023,0.0,96.67,-105.419790725708,0.385,-0.4302324914932251,1
e3_factual_cell_v3,EleutherAI/pythia-160m-deduped,step2,2,0,2026-06-07T11:54:18+0000,300,200,900,-0.4389636278152465,0.225,11.042292428016662,-0.4035240268707275,0.195,-0.2528663277626037,0.41,5.0895438277721405,0.1860973000526428,0.1849999999999999,600,0.7791672348976135,-0.7868799018859863,0.26,8.119502964019775,-1.8695396116564933,0.1891891891891892,500,7.220890522003174,0.0,80.92999999999999,-180.7952146077156,0.31,-0.7142421102523804,2
