outcome,model_kind,break_step,include_uptake,n,p,rss,aic,bic,rmse,loocv_rmse,delta_aic,delta_bic
normalized_retention_margin,fixed_break_segmented,1000,False,30,3,0.0908836877138802,-167.98116385971358,-163.77757171472712,0.055040496519647604,0.06230451193507083,0.0,0.0
normalized_retention_margin,free_break_candidate_segmented,1000,False,30,3,0.0908836877138802,-167.98116385971358,-163.77757171472712,0.055040496519647604,0.06230451193507083,0.0,0.0
normalized_retention_margin,fixed_break_segmented,2000,False,30,3,0.14628726674201287,-153.70141174986708,-149.49781960488062,0.0698300954083106,0.0775479715252692,14.279752109846498,14.279752109846498
normalized_retention_margin,free_break_candidate_segmented,2000,False,30,3,0.14628726674201287,-153.70141174986708,-149.49781960488062,0.0698300954083106,0.0775479715252692,14.279752109846498,14.279752109846498
normalized_retention_margin,fixed_break_segmented,3000,False,30,3,0.16789519096154953,-149.56838217746525,-145.3647900324788,0.07480980126550922,0.08310146697112729,18.412781682248323,18.412781682248323
normalized_retention_margin,free_break_candidate_segmented,3000,False,30,3,0.16789519096154953,-149.56838217746525,-145.3647900324788,0.07480980126550922,0.08310146697112729,18.412781682248323,18.412781682248323
normalized_retention_margin,quadratic_log_step,,False,30,3,0.1852526625897839,-146.6169607085126,-142.41336856352615,0.07858173294724924,0.08772292460124037,21.364203151200968,21.364203151200968
normalized_retention_margin,monotone_log_step,,False,30,2,0.2141503036362329,-144.26823616150546,-141.46584139818114,0.08448871791275506,0.09079437472762185,23.71292769820812,22.311730316545976
normalized_retention_margin,free_break_candidate_segmented,8000,False,30,3,0.20611031392689036,-143.4162339205983,-139.21264177561184,0.08288753704606629,0.09227869254124356,24.564929939115274,24.564929939115274
normalized_retention_margin,free_break_candidate_segmented,512,False,30,3,0.21415030363623289,-142.26823616150546,-138.064644016519,0.08448871791275504,0.0907943747276219,25.71292769820812,25.71292769820812
normalized_retention_margin,window_indicator,,False,30,3,0.24373972277933015,-138.38555143835438,-134.18195929336792,0.09013688160779511,0.09775420089949524,29.595612421359192,29.595612421359192
normalized_retention_margin,fixed_break_segmented,1000,True,30,4,0.08392115688777944,-168.37224733145683,-162.7674578048082,0.052890187145247604,0.06073210529890193,0.0,0.0
normalized_retention_margin,free_break_candidate_segmented,1000,True,30,4,0.08392115688777944,-168.37224733145683,-162.7674578048082,0.052890187145247604,0.06073210529890193,0.0,0.0
normalized_retention_margin,window_indicator,,True,30,4,0.09267330152956861,-165.39616716834757,-159.79137764169894,0.05557976296266133,0.05988539301624759,2.976080163109259,2.976080163109259
normalized_retention_margin,fixed_break_segmented,2000,True,30,4,0.12634000051493224,-156.0992791329392,-150.49448960629056,0.06489478677442234,0.07213088826294993,12.272968198517646,12.272968198517646
normalized_retention_margin,free_break_candidate_segmented,2000,True,30,4,0.12634000051493224,-156.0992791329392,-150.49448960629056,0.06489478677442234,0.07213088826294993,12.272968198517646,12.272968198517646
normalized_retention_margin,monotone_log_step,,True,30,3,0.13884331004629896,-155.26819887628815,-151.0646067313017,0.06803021633712943,0.07610317833760527,13.10404845516868,11.702851073506508
normalized_retention_margin,free_break_candidate_segmented,8000,True,30,4,0.13000302770318461,-155.24184761306265,-149.63705808641402,0.06582882542452675,0.08148385952704058,13.130399718394187,13.130399718394187
normalized_retention_margin,fixed_break_segmented,3000,True,30,4,0.13662514026785263,-153.75135062454905,-148.14656109790042,0.06748460077870917,0.07674489714845573,14.620896706907786,14.620896706907786
normalized_retention_margin,free_break_candidate_segmented,3000,True,30,4,0.13662514026785263,-153.75135062454905,-148.14656109790042,0.06748460077870917,0.07674489714845573,14.620896706907786,14.620896706907786
normalized_retention_margin,quadratic_log_step,,True,30,4,0.1386749600401586,-153.30459648572958,-147.69980695908095,0.06798895989795173,0.08054661505873763,15.067650845727258,15.067650845727258
normalized_retention_margin,free_break_candidate_segmented,512,True,30,4,0.13884331004629888,-153.26819887628818,-147.66340934963955,0.06803021633712941,0.07610317833760563,15.104048455168652,15.104048455168652
normalized_retention_accuracy,fixed_break_segmented,1000,False,30,3,0.4044264795679608,-123.19448090960728,-118.99088876462082,0.11610720327466922,0.12633970685009052,0.0,0.0
normalized_retention_accuracy,free_break_candidate_segmented,1000,False,30,3,0.4044264795679608,-123.19448090960728,-118.99088876462082,0.11610720327466922,0.12633970685009052,0.0,0.0
normalized_retention_accuracy,window_indicator,,False,30,3,0.439535925682392,-120.69699614078338,-116.49340399579691,0.1210421311888815,0.12775744382084864,2.4974847688238953,2.4974847688239095
