outcome,n_pairs,mean_window,mean_late,mean_diff,ci_low,ci_high,p_diff_le_0
normalized_retention_margin,5,0.6658804060946028,0.35245291393870837,0.3134274921558944,0.2880606193253311,0.348587441132728,0.0
normalized_retention_accuracy,5,0.5931033464257209,0.3701402002877018,0.22296314613801926,0.1622717212009004,0.2850795848635853,0.0
normalized_degradation_auc_margin,5,0.8789994304256696,0.6783188374535547,0.20068059297211488,0.18381595365947256,0.21790255001260803,0.0
normalized_degradation_auc_accuracy,5,0.8285670849052721,0.7548208445345252,0.0737462403707468,0.05665636506753189,0.09582343753749309,0.0
