step,n,uptake_margin_delta_mean,uptake_margin_delta_sem,normalized_retention_margin_mean,normalized_retention_margin_sem,normalized_degradation_auc_margin_mean,normalized_degradation_auc_margin_sem
0,5,0.2758010704517364,0.04121228928142931,-1.3691619213326833,0.2626418763372446,0.2014064189081679,0.124099960258112
128,5,0.8841917824745179,0.06442165971782987,0.34210641973761424,0.013222040381922515,0.7638924198063969,0.026298990055657945
512,5,1.5701648131608963,0.02702759097349362,0.6050524493127583,0.029560119558841153,0.884243889142019,0.008029672010829419
1000,5,1.228364133298397,0.08696919602983548,0.755122497197845,0.024707169438871388,0.9349642255543664,0.008842984233768258
2000,5,1.5231599813848735,0.10345602255053972,0.670970909822288,0.020659949124147675,0.8650699705866802,0.008471520513177098
3000,5,1.5339488527402283,0.062366941394568325,0.6323757680455195,0.022613660722319507,0.8317196364196129,0.006367450478650568
8000,5,2.25146659168601,0.054133726648474,0.4588931479603266,0.006929232587175708,0.8018241057639864,0.008735665914635019
143000,5,5.012605648321754,0.5624515130766358,0.24601267991709008,0.02913053104401858,0.5548135691431229,0.013549354911148542
