model,stage,step,seed,metric,value
EleutherAI/pythia-410m-deduped,step0,0,0,base_probe_accuracy,0.185
EleutherAI/pythia-410m-deduped,step0,0,0,post_injection_accuracy,0.425
EleutherAI/pythia-410m-deduped,step0,0,0,uptake_accuracy_delta,0.24
EleutherAI/pythia-410m-deduped,step0,0,0,base_probe_mean_margin,-0.3755079412460327
EleutherAI/pythia-410m-deduped,step0,0,0,post_injection_mean_margin,-0.2736685514450073
EleutherAI/pythia-410m-deduped,step0,0,0,uptake_margin_delta,0.1018393898010253
EleutherAI/pythia-410m-deduped,step0,0,0,normalized_retention_margin,-5.692851421820433
EleutherAI/pythia-410m-deduped,step0,0,0,normalized_retention_accuracy,0.3125
EleutherAI/pythia-410m-deduped,step0,0,0,k_star_accuracy_threshold,0.0
EleutherAI/pythia-410m-deduped,step0,0,0,degradation_auc_accuracy,75.23
EleutherAI/pythia-410m-deduped,step0,0,0,degradation_auc_margin,-233.58013674497607
EleutherAI/pythia-410m-deduped,step0,0,1,base_probe_accuracy,0.195
EleutherAI/pythia-410m-deduped,step0,0,1,post_injection_accuracy,0.33
EleutherAI/pythia-410m-deduped,step0,0,1,uptake_accuracy_delta,0.135
EleutherAI/pythia-410m-deduped,step0,0,1,base_probe_mean_margin,-0.4634160900115966
EleutherAI/pythia-410m-deduped,step0,0,1,post_injection_mean_margin,-0.5718049895763397
EleutherAI/pythia-410m-deduped,step0,0,1,uptake_margin_delta,-0.108388899564743
EleutherAI/pythia-410m-deduped,step0,0,1,normalized_retention_margin,4.196774840709245
EleutherAI/pythia-410m-deduped,step0,0,1,normalized_retention_accuracy,0.2962962962962961
EleutherAI/pythia-410m-deduped,step0,0,1,k_star_accuracy_threshold,0.0
EleutherAI/pythia-410m-deduped,step0,0,1,degradation_auc_accuracy,78.25999999999999
EleutherAI/pythia-410m-deduped,step0,0,1,degradation_auc_margin,-193.65366168260573
EleutherAI/pythia-410m-deduped,step0,0,2,base_probe_accuracy,0.185
EleutherAI/pythia-410m-deduped,step0,0,2,post_injection_accuracy,0.475
EleutherAI/pythia-410m-deduped,step0,0,2,uptake_accuracy_delta,0.29
EleutherAI/pythia-410m-deduped,step0,0,2,base_probe_mean_margin,-0.4557307958602905
EleutherAI/pythia-410m-deduped,step0,0,2,post_injection_mean_margin,-0.1518286597728729
EleutherAI/pythia-410m-deduped,step0,0,2,uptake_margin_delta,0.3039021360874175
EleutherAI/pythia-410m-deduped,step0,0,2,normalized_retention_margin,-1.334566615830414
EleutherAI/pythia-410m-deduped,step0,0,2,normalized_retention_accuracy,0.2241379310344828
EleutherAI/pythia-410m-deduped,step0,0,2,k_star_accuracy_threshold,0.0
EleutherAI/pythia-410m-deduped,step0,0,2,degradation_auc_accuracy,86.87
EleutherAI/pythia-410m-deduped,step0,0,2,degradation_auc_margin,-172.9562077307701
EleutherAI/pythia-410m-deduped,step128,128,0,base_probe_accuracy,0.235
EleutherAI/pythia-410m-deduped,step128,128,0,post_injection_accuracy,0.545
EleutherAI/pythia-410m-deduped,step128,128,0,uptake_accuracy_delta,0.31
EleutherAI/pythia-410m-deduped,step128,128,0,base_probe_mean_margin,-0.6787571144104004
EleutherAI/pythia-410m-deduped,step128,128,0,post_injection_mean_margin,0.1026030176877975
EleutherAI/pythia-410m-deduped,step128,128,0,uptake_margin_delta,0.781360132098198
EleutherAI/pythia-410m-deduped,step128,128,0,normalized_retention_margin,-0.1673003263484193
EleutherAI/pythia-410m-deduped,step128,128,0,normalized_retention_accuracy,0.1774193548387096
EleutherAI/pythia-410m-deduped,step128,128,0,k_star_accuracy_threshold,3.272727272727273
EleutherAI/pythia-410m-deduped,step128,128,0,degradation_auc_accuracy,84.21
EleutherAI/pythia-410m-deduped,step128,128,0,degradation_auc_margin,-155.2580477821827
EleutherAI/pythia-410m-deduped,step128,128,1,base_probe_accuracy,0.22
EleutherAI/pythia-410m-deduped,step128,128,1,post_injection_accuracy,0.535
EleutherAI/pythia-410m-deduped,step128,128,1,uptake_accuracy_delta,0.315
EleutherAI/pythia-410m-deduped,step128,128,1,base_probe_mean_margin,-0.6497483015060425
EleutherAI/pythia-410m-deduped,step128,128,1,post_injection_mean_margin,0.0977319741249084
EleutherAI/pythia-410m-deduped,step128,128,1,uptake_margin_delta,0.7474802756309509
EleutherAI/pythia-410m-deduped,step128,128,1,normalized_retention_margin,-0.0461700112987234
EleutherAI/pythia-410m-deduped,step128,128,1,normalized_retention_accuracy,0.2222222222222221
EleutherAI/pythia-410m-deduped,step128,128,1,k_star_accuracy_threshold,5.142857142857144
EleutherAI/pythia-410m-deduped,step128,128,1,degradation_auc_accuracy,85.46000000000001
EleutherAI/pythia-410m-deduped,step128,128,1,degradation_auc_margin,-140.5692175889015
EleutherAI/pythia-410m-deduped,step128,128,2,base_probe_accuracy,0.21
EleutherAI/pythia-410m-deduped,step128,128,2,post_injection_accuracy,0.51
EleutherAI/pythia-410m-deduped,step128,128,2,uptake_accuracy_delta,0.3
EleutherAI/pythia-410m-deduped,step128,128,2,base_probe_mean_margin,-0.6439333391189576
EleutherAI/pythia-410m-deduped,step128,128,2,post_injection_mean_margin,0.0652893424034118
EleutherAI/pythia-410m-deduped,step128,128,2,uptake_margin_delta,0.7092226815223694
EleutherAI/pythia-410m-deduped,step128,128,2,normalized_retention_margin,-0.0316387169882894
EleutherAI/pythia-410m-deduped,step128,128,2,normalized_retention_accuracy,0.35
EleutherAI/pythia-410m-deduped,step128,128,2,k_star_accuracy_threshold,1.6
EleutherAI/pythia-410m-deduped,step128,128,2,degradation_auc_accuracy,88.48
EleutherAI/pythia-410m-deduped,step128,128,2,degradation_auc_margin,-140.7187750840187
EleutherAI/pythia-410m-deduped,step512,512,0,base_probe_accuracy,0.225
EleutherAI/pythia-410m-deduped,step512,512,0,post_injection_accuracy,0.505
EleutherAI/pythia-410m-deduped,step512,512,0,uptake_accuracy_delta,0.28
