model,stage,step,base_probe_accuracy,base_probe_accuracy,base_probe_accuracy,post_injection_accuracy,post_injection_accuracy,post_injection_accuracy,uptake_accuracy_delta,uptake_accuracy_delta,uptake_accuracy_delta,base_probe_mean_margin,base_probe_mean_margin,base_probe_mean_margin,post_injection_mean_margin,post_injection_mean_margin,post_injection_mean_margin,uptake_margin_delta,uptake_margin_delta,uptake_margin_delta,normalized_retention_margin,normalized_retention_margin,normalized_retention_margin,normalized_retention_accuracy,normalized_retention_accuracy,normalized_retention_accuracy,k_star_accuracy_threshold,k_star_accuracy_threshold,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_accuracy,degradation_auc_accuracy,degradation_auc_margin,degradation_auc_margin,degradation_auc_margin
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
EleutherAI/pythia-160m-deduped,step143000,143000,0.2575,0.024748737341529183,2,0.9875,0.00353553390593278,2,0.73,0.028284271247461926,2,-1.2590496164560316,0.004162327507058269,2,5.422798534715913,0.22502074959016413,2,6.681848151171944,0.2208584220831058,2,0.21813051625884544,0.004822675832888088,2,0.4132863849765258,0.056634937497852096,2,189.31132783195795,6.722023354235485,2,152.6,2.149604614807119,2,79.76152296816421,12.302962695191864,2
EleutherAI/pythia-160m-deduped,step2000,2000,0.23249999999999998,0.002886751345948121,4,0.4925,0.014433756729740658,4,0.25999999999999995,0.011547005383792589,4,-1.4114434111118315,0.02926448113774384,4,-0.06454125791788098,0.14951593059562102,4,1.3469021531939507,0.12025144945787698,4,0.6342255125929884,0.02105603288981097,4,0.5492592592592593,0.03549634988351041,4,0.6666666666666666,0.769800358919501,4,95.425,8.38572000486542,4,-102.95772551059723,32.439995116148324,4
EleutherAI/pythia-160m-deduped,step512,512,0.1925,0.008660254037844393,4,0.5875,0.04907477288111817,4,0.395,0.040414518843273815,4,-1.337684235572815,0.007802825766840998,4,0.2568706202507019,0.005701158816136344,4,1.5945548558235167,0.013503984582977578,4,0.5620545840813438,0.03175098950508199,4,0.4546188630490956,0.06843913074696142,4,45.0,4.760952285695235,4,118.1225,3.5512005012389727,4,-28.681724951416253,11.123681059454267,4
EleutherAI/pythia-160m-deduped,step8000,8000,0.28,0.0,2,0.75,0.007071067811865481,2,0.47,0.007071067811865501,2,-1.3030458533763887,0.0394620959466243,2,1.019430581405759,0.057046504299675393,2,2.3224764347821476,0.09650860024629965,2,0.4537336676778962,0.027542958258588716,2,0.3412563667232597,0.11044791828380703,2,155.1596638655462,65.03005557399636,2,137.94,7.806458864299459,2,23.63138371065259,28.831893759401922,2
