model,stage,step,seed,metric,value
EleutherAI/pythia-160m-deduped,step2000,2000,0,normalized_retention_margin,0.6524605719784854
EleutherAI/pythia-160m-deduped,step2000,2000,0,normalized_retention_accuracy,0.5800000000000001
EleutherAI/pythia-160m-deduped,step2000,2000,0,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step2000,2000,0,degradation_auc_accuracy,85.47999999999999
EleutherAI/pythia-160m-deduped,step2000,2000,0,degradation_auc_margin,-138.35542888641356
EleutherAI/pythia-160m-deduped,step2000,2000,1,base_probe_accuracy,0.235
EleutherAI/pythia-160m-deduped,step2000,2000,1,post_injection_accuracy,0.505
EleutherAI/pythia-160m-deduped,step2000,2000,1,uptake_accuracy_delta,0.27
EleutherAI/pythia-160m-deduped,step2000,2000,1,base_probe_mean_margin,-1.3860996270179748
EleutherAI/pythia-160m-deduped,step2000,2000,1,post_injection_mean_margin,0.0649433362483978
EleutherAI/pythia-160m-deduped,step2000,2000,1,uptake_margin_delta,1.4510429632663726
EleutherAI/pythia-160m-deduped,step2000,2000,1,normalized_retention_margin,0.6159904532074915
EleutherAI/pythia-160m-deduped,step2000,2000,1,normalized_retention_accuracy,0.5185185185185185
EleutherAI/pythia-160m-deduped,step2000,2000,1,k_star_accuracy_threshold,1.3333333333333333
EleutherAI/pythia-160m-deduped,step2000,2000,1,degradation_auc_accuracy,99.64
EleutherAI/pythia-160m-deduped,step2000,2000,1,degradation_auc_margin,-77.32264615535736
EleutherAI/pythia-160m-deduped,step8000,8000,0,base_probe_accuracy,0.28
EleutherAI/pythia-160m-deduped,step8000,8000,0,post_injection_accuracy,0.745
EleutherAI/pythia-160m-deduped,step8000,8000,0,uptake_accuracy_delta,0.4649999999999999
EleutherAI/pythia-160m-deduped,step8000,8000,0,base_probe_mean_margin,-1.2751419377326965
EleutherAI/pythia-160m-deduped,step8000,8000,0,post_injection_mean_margin,0.9790926113724708
EleutherAI/pythia-160m-deduped,step8000,8000,0,uptake_margin_delta,2.2542345491051674
EleutherAI/pythia-160m-deduped,step8000,8000,0,normalized_retention_margin,0.4342578551193101
EleutherAI/pythia-160m-deduped,step8000,8000,0,normalized_retention_accuracy,0.4193548387096773
EleutherAI/pythia-160m-deduped,step8000,8000,0,k_star_accuracy_threshold,109.17647058823532
EleutherAI/pythia-160m-deduped,step8000,8000,0,degradation_auc_accuracy,132.42000000000002
EleutherAI/pythia-160m-deduped,step8000,8000,0,degradation_auc_margin,3.2441561189293893
EleutherAI/pythia-160m-deduped,step8000,8000,1,base_probe_accuracy,0.28
EleutherAI/pythia-160m-deduped,step8000,8000,1,post_injection_accuracy,0.755
EleutherAI/pythia-160m-deduped,step8000,8000,1,uptake_accuracy_delta,0.475
EleutherAI/pythia-160m-deduped,step8000,8000,1,base_probe_mean_margin,-1.3309497690200809
EleutherAI/pythia-160m-deduped,step8000,8000,1,post_injection_mean_margin,1.059768551439047
EleutherAI/pythia-160m-deduped,step8000,8000,1,uptake_margin_delta,2.390718320459128
EleutherAI/pythia-160m-deduped,step8000,8000,1,normalized_retention_margin,0.4732094802364823
