arm,seed,inject_checkpoint,endpoint_checkpoint,matrix,delta_p,delta_cos,drift_norm,delta_norm,relative_drift_norm,t_cont,phase
post_hoc,0,step2000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,1.0,1.0,3.215533516886332e-05,3.215533516886332e-05,1.0359983020203069e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.attention.dense.weight,1.0,1.0,2.2839778820667496e-05,2.2839778820667496e-05,2.835504180595383e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1.0,1.0,4.408702134199834e-05,4.408702134199834e-05,1.2439306415763165e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1.0,1.0,4.684347528958576e-05,4.684347528958576e-05,2.789661579584972e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,1.0,1.0,3.330395192343737e-05,3.330395192343737e-05,1.0351046984576273e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.attention.dense.weight,1.0,1.0,2.3453104659387216e-05,2.3453104659387216e-05,2.939648815801542e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1.0,1.0,4.033920618610064e-05,4.033920618610064e-05,1.0892958966606463e-06,0,snapshot_0
post_hoc,0,step2000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1.0,1.0,4.570191482550771e-05,4.570191482550771e-05,3.145759306599938e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,1.0,1.0,3.238866536504208e-05,3.238866536504208e-05,1.071697270020031e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.dense.weight,1.0,1.0,2.328655574370561e-05,2.328655574370561e-05,4.620561290734108e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,1.0,1.0,4.296472249363468e-05,4.296472249363468e-05,1.2474428251658678e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,1.0,1.0,4.714029623476271e-05,4.714029623476271e-05,4.710397242789498e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,1.0,1.0,2.9971480858886443e-05,2.9971480858886443e-05,9.77760135412162e-07,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.dense.weight,1.0,1.0,2.3487529622685146e-05,2.3487529622685146e-05,4.975097174820855e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1.0,1.0,4.1062774391096143e-05,4.1062774391096143e-05,1.1672343348411813e-06,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1.0,1.0,4.63469281363228e-05,4.63469281363228e-05,4.448003061127995e-06,0,snapshot_0
