arm,seed,inject_checkpoint,endpoint_checkpoint,t_cont,phase,lm_loss,delta_p_global,delta_cos_global,delta_norm_global,drift_norm_global,timestamp
post_hoc,0,step2000,step2000,0,snapshot_0,,1.0,1.0,0.0001052079636279,0.0001052079636279,1780764595.8795784
in_window_carried,0,step1000,step2000,0,snapshot_0,,1.0,1.0,0.0001046116969158,0.0001046116969158,1780764562.3650262
