model,stage,step,seed,metric,value
EleutherAI/pythia-160m-deduped,step0,0,0,base_probe_accuracy,0.225
EleutherAI/pythia-160m-deduped,step0,0,0,post_injection_accuracy,0.285
EleutherAI/pythia-160m-deduped,step0,0,0,uptake_accuracy_delta,0.0599999999999999
EleutherAI/pythia-160m-deduped,step0,0,0,base_probe_mean_margin,-0.4387421751022339
EleutherAI/pythia-160m-deduped,step0,0,0,post_injection_mean_margin,-0.8996185982227325
EleutherAI/pythia-160m-deduped,step0,0,0,uptake_margin_delta,-0.4608764231204986
EleutherAI/pythia-160m-deduped,step0,0,0,normalized_retention_margin,0.5944923603021139
EleutherAI/pythia-160m-deduped,step0,0,0,normalized_retention_accuracy,0.4166666666666668
EleutherAI/pythia-160m-deduped,step0,0,0,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,0,degradation_auc_accuracy,65.56
EleutherAI/pythia-160m-deduped,step0,0,0,degradation_auc_margin,-255.1960729837418
EleutherAI/pythia-160m-deduped,step0,0,1,base_probe_accuracy,0.185
EleutherAI/pythia-160m-deduped,step0,0,1,post_injection_accuracy,0.34
EleutherAI/pythia-160m-deduped,step0,0,1,uptake_accuracy_delta,0.155
EleutherAI/pythia-160m-deduped,step0,0,1,base_probe_mean_margin,-0.4137381172180175
EleutherAI/pythia-160m-deduped,step0,0,1,post_injection_mean_margin,-0.7264386653900147
EleutherAI/pythia-160m-deduped,step0,0,1,uptake_margin_delta,-0.3127005481719971
EleutherAI/pythia-160m-deduped,step0,0,1,normalized_retention_margin,1.17854813571942
EleutherAI/pythia-160m-deduped,step0,0,1,normalized_retention_accuracy,0.4838709677419355
EleutherAI/pythia-160m-deduped,step0,0,1,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,1,degradation_auc_accuracy,73.57000000000001
EleutherAI/pythia-160m-deduped,step0,0,1,degradation_auc_margin,-232.07286468982696
EleutherAI/pythia-160m-deduped,step0,0,2,base_probe_accuracy,0.195
EleutherAI/pythia-160m-deduped,step0,0,2,post_injection_accuracy,0.33
EleutherAI/pythia-160m-deduped,step0,0,2,uptake_accuracy_delta,0.135
EleutherAI/pythia-160m-deduped,step0,0,2,base_probe_mean_margin,-0.4628769063949585
EleutherAI/pythia-160m-deduped,step0,0,2,post_injection_mean_margin,-0.6452531969547272
EleutherAI/pythia-160m-deduped,step0,0,2,uptake_margin_delta,-0.1823762905597686
EleutherAI/pythia-160m-deduped,step0,0,2,normalized_retention_margin,1.1472953677294098
EleutherAI/pythia-160m-deduped,step0,0,2,normalized_retention_accuracy,0.5555555555555556
EleutherAI/pythia-160m-deduped,step0,0,2,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step0,0,2,degradation_auc_accuracy,66.32000000000001
EleutherAI/pythia-160m-deduped,step0,0,2,degradation_auc_margin,-231.2832775235176
EleutherAI/pythia-160m-deduped,step128,128,0,base_probe_accuracy,0.21
EleutherAI/pythia-160m-deduped,step128,128,0,post_injection_accuracy,0.295
EleutherAI/pythia-160m-deduped,step128,128,0,uptake_accuracy_delta,0.0849999999999999
EleutherAI/pythia-160m-deduped,step128,128,0,base_probe_mean_margin,-0.8555587816238404
EleutherAI/pythia-160m-deduped,step128,128,0,post_injection_mean_margin,-0.6123753964900971
EleutherAI/pythia-160m-deduped,step128,128,0,uptake_margin_delta,0.2431833851337432
EleutherAI/pythia-160m-deduped,step128,128,0,normalized_retention_margin,-0.0833607124112292
EleutherAI/pythia-160m-deduped,step128,128,0,normalized_retention_accuracy,0.647058823529412
EleutherAI/pythia-160m-deduped,step128,128,0,k_star_accuracy_threshold,0.0
EleutherAI/pythia-160m-deduped,step128,128,0,degradation_auc_accuracy,69.42
EleutherAI/pythia-160m-deduped,step128,128,0,degradation_auc_margin,-198.36492052555087
EleutherAI/pythia-160m-deduped,step128,128,1,base_probe_accuracy,0.195
EleutherAI/pythia-160m-deduped,step128,128,1,post_injection_accuracy,0.305
EleutherAI/pythia-160m-deduped,step128,128,1,uptake_accuracy_delta,0.1099999999999999
EleutherAI/pythia-160m-deduped,step128,128,1,base_probe_mean_margin,-0.8578199958801269
EleutherAI/pythia-160m-deduped,step128,128,1,post_injection_mean_margin,-0.6201366627216339
EleutherAI/pythia-160m-deduped,step128,128,1,uptake_margin_delta,0.237683333158493
EleutherAI/pythia-160m-deduped,step128,128,1,normalized_retention_margin,0.170076308975051
EleutherAI/pythia-160m-deduped,step128,128,1,normalized_retention_accuracy,0.772727272727273
EleutherAI/pythia-160m-deduped,step128,128,1,k_star_accuracy_threshold,0.0
