model,stage,step,n,pos_uptake,base_acc_mean,post_inj_acc_mean,uptake_margin_mean,uptake_margin_std,norm_ret_margin_mean,norm_ret_margin_std,norm_ret_acc_mean,kstar_acc_mean,raw_deg_auc_margin_mean,raw_deg_auc_acc_mean
EleutherAI/pythia-410m-deduped,step0,0,3,2,0.18833333333333332,0.41,0.09911754210789993,0.2061589941305768,-0.9435477323138673,4.956394730908655,0.277644742443593,0.0,-200.0633353861173,80.12
EleutherAI/pythia-410m-deduped,step128,128,3,3,0.22166666666666668,0.53,0.7460210297505062,0.0360908574683357,-0.0817030182118107,0.07448465612969729,0.24988052568697725,3.338528138528139,-145.51534681836765,86.05
EleutherAI/pythia-410m-deduped,step512,512,3,3,0.21666666666666667,0.555,1.4618316201368966,0.1721710528492015,0.537100232899197,0.041152739524208864,0.40573593073593067,19.362573099415204,-99.67993435263634,102.79
EleutherAI/pythia-410m-deduped,step1000,1000,3,3,0.21,0.4283333333333333,1.1259831247727075,0.11404791836372888,0.7442817668397573,0.03209292412610885,0.9471326164874552,0.0,-145.82491422216097,90.50333333333333
EleutherAI/pythia-410m-deduped,step2000,2000,3,3,0.23666666666666666,0.615,1.694519798271358,0.25735603407435004,0.7534901608353325,0.12697057982989618,0.6561758145773867,22.320346320346317,-76.45135079768797,105.71666666666665
EleutherAI/pythia-410m-deduped,step3000,3000,3,3,0.28,0.7583333333333333,2.1347617744406064,0.22013756785728622,0.7063264575971656,0.0743484288565602,0.6181824473975637,114.85146685146684,1.2515997279683748,132.73333333333335
EleutherAI/pythia-410m-deduped,step8000,8000,3,3,0.27166666666666667,0.9233333333333333,3.32034268157091,0.28164242667629025,0.5144537546900497,0.06349361960336879,0.5307443131348241,inf,47.60411655509534,144.26666666666665
EleutherAI/pythia-410m-deduped,step143000,143000,3,3,0.2683333333333333,1.0,5.869850433246732,0.5761785811198089,0.41368063909111746,0.032168397164694565,0.6711754733192182,70.76304735020334,25.899418271100682,129.87666666666667
