group,n,norm_deg_auc_margin,norm_deg_auc_acc,final_norm_margin
early_diag,6,0.1637805148374276,0.7228929564642378,-0.5614268683790868
late,6,0.6112528113906165,0.7109638941035331,0.22174403572713608
window,12,0.8189074202587592,0.7747692457915353,0.5585680541799571
