stage,step,n,norm_deg_auc_margin_mean,norm_deg_auc_margin_std,norm_deg_auc_acc_mean,final_norm_margin_remaining_mean,final_norm_acc_remaining_mean
step0,0,3,-0.17408353671868307,1.9630101081828468,0.8114024633770232,-1.1245671008679101,0.570721551343817
step128,128,3,0.5016445663935382,0.03195142031549022,0.6343834495514525,0.0017133641097364187,0.2984638919672365
step512,512,3,0.8030053351253889,0.012067209515209279,0.7615224371945178,0.5807877965236838,0.46093072183188605
step1000,1000,3,0.863353402465802,0.03640615666361127,0.8812109641969997,0.5712081468781173,0.5166631951014785
step2000,2000,3,0.8162853347818156,0.023581568955935717,0.7174320587153925,0.5622945670977555,0.32780402471665165
step3000,3000,3,0.7929856086620305,0.0026531581617827292,0.7389115230592312,0.519981706220272,0.3806639824452811
step8000,8000,3,0.6888484345978233,0.017603910951678528,0.7343044694036621,0.31553739483419907,0.3039633613986783
step143000,143000,3,0.5336571881834099,0.002376853876365916,0.6876233188034041,0.12795067662007312,0.15139885952418639
