arm,inject_step,inject_step_num,endpoint_step_num,pythia_delta_steps,pythia_tokens_per_step,target_continuation_tokens,local_batch_size,sequence_length,grad_accum_steps,local_tokens_per_step,continuation_steps,actual_continuation_tokens,token_overshoot
in_window_carried,step1000,1000,2000,1000,2097152,2097152000,128,512,1,65536,32000,2097152000,0
post_hoc,step2000,2000,2000,0,2097152,0,128,512,1,65536,0,0,0
