experiment_id,model,stage,step,seed,signal_type,event,metric,value,timestamp
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,base,accuracy,0.225,2026-06-04 14:30:38
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,base,mean_margin,-0.6699761819839477,2026-06-04 14:30:38
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,base,median_margin,-0.6469516754150391,2026-06-04 14:30:38
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,base,mean_gold_logprob,-11.242970860004425,2026-06-04 14:30:38
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,base,n_items,400,2026-06-04 14:30:38
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_injection,accuracy,0.0025,2026-06-04 14:32:01
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_injection,mean_margin,-4.276116154193878,2026-06-04 14:32:01
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_injection,median_margin,-4.371294021606445,2026-06-04 14:32:01
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_injection,mean_gold_logprob,-12.43247895002365,2026-06-04 14:32:01
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_injection,n_items,400,2026-06-04 14:32:01
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_continuation,accuracy,0.005,2026-06-04 14:33:17
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_continuation,mean_margin,-2.0085678124427795,2026-06-04 14:33:17
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_continuation,median_margin,-2.043656349182129,2026-06-04 14:33:17
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_continuation,mean_gold_logprob,-12.205436656475067,2026-06-04 14:33:17
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_continuation,n_items,400,2026-06-04 14:33:17
e3_factual_410m_reduced,EleutherAI/pythia-410m-deduped,step128,128,0,factual_association,post_degradation_k16,accuracy,0.0025,2026-06-04 14:33:57,16,4
