model,module,metric,from_step,to_step,abs_delta,rel_delta,abs_rel_delta
EleutherAI/pythia-70m-deduped,attention.query_key_value,subspace_stability_topk,8000,16000,0.08886799216270447,0.11370299732222895,0.11370299732222895
EleutherAI/pythia-70m-deduped,attention.query_key_value,subspace_stability_topk,16000,64000,-0.3579188957810402,-0.41118927987661624,0.41118927987661624
EleutherAI/pythia-70m-deduped,attention.query_key_value,subspace_stability_topk,64000,143000,0.27796469877163565,0.5423393207631453,0.5423393207631453
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,0,128,,,
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,128,512,-0.14985227088133501,-0.18145870068287723,0.18145870068287723
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,512,1000,-0.04333651562531782,-0.0641103077336705,0.0641103077336705
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,1000,2000,-0.007340659697850582,-0.011603374218838312,0.011603374218838312
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,2000,3000,0.2257722715536753,0.36106763054763474,0.36106763054763474
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,3000,8000,-0.09217563271522522,-0.10830646352540359,0.10830646352540359
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,8000,16000,0.13744215170542406,0.18111006015885223,0.18111006015885223
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,16000,64000,-0.2117642561594646,-0.23625712659702683,0.23625712659702683
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,64000,143000,0.03024756908416748,0.04418507201004293,0.04418507201004293
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,0,128,,,
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,128,512,-0.13836230834325158,-0.14535074278534055,0.14535074278534055
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,512,1000,-0.12804700930913293,-0.15739139206289623,0.15739139206289623
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,1000,2000,-0.024037212133407593,-0.035064668853437,0.035064668853437
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,2000,3000,0.2310312489668529,0.34926748998086765,0.34926748998086765
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,3000,8000,-0.06850846111774445,-0.07675975732942782,0.07675975732942782
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,8000,16000,0.06013122697671247,0.07297510357894875,0.07297510357894875
