model,module,metric,transition,prev_step,step,prev_value,value,delta,relative_delta,slope_per_log_step,candidate_strength,direction
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,alpha_tail_frac_0.3,1000→2000,1000,2000,4.575161195287673,2.85135928846317,-1.7238019068245025,-0.37677402680360383,-2.488714344994348,0.37677402680360383,decrease
EleutherAI/pythia-70m-deduped,attention.query_key_value,alpha_tail_frac_0.3,128→512,128,512,4.893188588898635,3.4804478525983114,-1.4127407363003237,-0.2887157751297741,-1.0233814924292997,0.2887157751297741,decrease
EleutherAI/pythia-70m-deduped,attention.dense,alpha_tail_frac_0.3,512→1000,512,1000,2.8135280488556247,2.1285432624585137,-0.684984786397111,-0.24346115428828885,-1.0246916565482505,0.24346115428828885,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,alpha_tail_frac_0.3,1000→2000,1000,2000,4.3668159861043145,3.4245844411847046,-0.9422315449196099,-0.21577083804714414,-1.3603333149035406,0.21577083804714414,decrease
EleutherAI/pythia-70m-deduped,attention.query_key_value,effective_rank,16000→64000,16000,64000,458.9662857799993,388.61020315900777,-70.35608262099151,-0.15329248531060038,-50.75290179601359,0.15329248531060038,decrease
EleutherAI/pythia-70m-deduped,attention.dense,effective_rank,1000→2000,1000,2000,397.8791482216427,378.6400302657303,-19.239117955912434,-0.04835417498479974,-27.77620134445777,0.04835417498479974,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,effective_rank,3000→8000,3000,8000,481.25647977974046,473.45614701072276,-7.8003327690177,-0.01620826544005747,-7.954482953402255,0.01620826544005747,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,effective_rank,64000→143000,64000,143000,476.19485820826407,468.68620638501324,-7.50865182325083,-0.015768023727729754,-9.339666145990918,0.015768023727729754,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,0→128,0,128,0.16666666666666666,1.6666666666666667,1.5,8.999999999946,0.308653889325737,8.999999999946,increase
EleutherAI/pythia-70m-deduped,attention.query_key_value,mp_outliers_x1,0→128,0,128,0.16666666666666666,1.3333333333333333,1.1666666666666665,6.999999999957999,0.24006413614223987,6.999999999957999,increase
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,mp_outliers_x1,128→512,128,512,0.5,2.1666666666666665,1.6666666666666665,3.3333333333266664,1.2073240169899873,3.3333333333266664,increase
EleutherAI/pythia-70m-deduped,attention.dense,mp_outliers_x1,0→128,0,128,0.0,0.0,0.0,0.0,0.0,0.0,decrease
EleutherAI/pythia-70m-deduped,attention.query_key_value,stable_rank,128→512,128,512,183.20210034534932,53.7458982203407,-129.45620212500862,-0.7066305565327774,-93.7773491842999,0.7066305565327774,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,stable_rank,1000→2000,1000,2000,105.30823527987206,35.77291399834808,-69.53532128152398,-0.6603027873055038,-100.39062543787858,0.6603027873055038,decrease
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,stable_rank,3000→8000,3000,8000,80.1971398092327,53.11320380121759,-27.083936008015108,-0.3377169818330196,-27.619168779888348,0.3377169818330196,decrease
EleutherAI/pythia-70m-deduped,attention.dense,stable_rank,1000→2000,1000,2000,73.22471706367368,51.6806439297597,-21.544073133913983,-0.29421859172470016,-31.1039474116545,0.29421859172470016,decrease
EleutherAI/pythia-70m-deduped,attention.query_key_value,subspace_stability_topk,128→512,128,512,0.8524140318234762,0.4689533015092214,-0.3834607303142548,-0.4498526725252391,-0.2777768095685522,0.5310466984907787,low_stability
EleutherAI/pythia-70m-deduped,attention.dense,subspace_stability_topk,512→1000,512,1000,0.5227993875741959,0.4901751031478246,-0.032624284426371275,-0.06240306550029924,-0.048803758443153454,0.5098248968521755,low_stability
EleutherAI/pythia-70m-deduped,mlp.dense_4h_to_h,subspace_stability_topk,1000→2000,1000,2000,0.6326314707597097,0.6252908110618591,-0.007340659697850582,-0.011603374218838312,-0.010597972434904923,0.37470918893814087,low_stability
EleutherAI/pythia-70m-deduped,mlp.dense_h_to_4h,subspace_stability_topk,1000→2000,1000,2000,0.6855108837286631,0.6614736715952555,-0.024037212133407593,-0.035064668853437,-0.03470338117927029,0.3385263284047445,low_stability
