model,module,metric,from_checkpoint,to_checkpoint,from_step,to_step,value_before,value_after,delta,relative_delta,transition_score
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step0,step128,0,128,3.008523467441392,3.00141243558951,-0.00711103185188211,-0.002363628513733918,0.0023664262930854635
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step128,step512,128,512,3.00141243558951,2.7750108181184383,-0.22640161747107168,-0.07543169168838469,0.07842834412226438
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step512,step1000,512,1000,2.7750108181184383,1.8632687866966027,-0.9117420314218356,-0.32855440615544373,0.3983222881260487
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step1000,step2000,1000,2000,1.8632687866966027,1.5793526361976804,-0.28391615049892227,-0.15237530544494252,0.16531731833196164
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step2000,step3000,2000,3000,1.5793526361976804,1.7138951432616523,0.13454250706397186,0.08518838920476009,0.08175360252378999
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step3000,step8000,3000,8000,1.7138951432616523,2.0319178956356545,0.31802275237400224,0.18555554791338316,0.1702114815312827
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step8000,step16000,8000,16000,2.0319178956356545,2.1316451145814224,0.09972721894576786,0.0490803389054112,0.04791391266403537
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step16000,step64000,16000,64000,2.1316451145814224,2.1110415358270296,-0.020603578754392782,-0.009665576419571406,0.009712591299218042
EleutherAI/pythia-160m-deduped,attention.dense,alpha_tail_frac_0.3,step64000,step143000,64000,143000,2.1110415358270296,1.8817431206552344,-0.22929841517179517,-0.10861861847827847,0.11498290547065741
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step0,step128,0,128,617.9962157962436,617.8710624297531,-0.12515336649050823,-0.00020251477807069923,0.0002025352869572674
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step128,step512,128,512,617.8710624297531,614.0054793329668,-3.865583096786281,-0.006256294123218898,0.006275946742552968
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step512,step1000,512,1000,614.0054793329668,589.1346497838059,-24.87082954916093,-0.04050587557651716,0.041349087134702346
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step1000,step2000,1000,2000,589.1346497838059,556.6613600633906,-32.47328972041532,-0.05512031881392821,0.05669768109068426
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step2000,step3000,2000,3000,556.6613600633906,560.3502905411457,3.6889304777550933,0.006626884390421874,0.006605023120317756
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step3000,step8000,3000,8000,560.3502905411457,571.6145558008909,11.26426525974523,0.020102185097230912,0.019902803746225058
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step8000,step16000,8000,16000,571.6145558008909,572.8121547772863,1.1975989763953976,0.002095116305632627,0.0020929246101696343
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step16000,step64000,16000,64000,572.8121547772863,566.6271830049706,-6.184971772315748,-0.010797556791930353,0.01085627345512207
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step64000,step143000,64000,143000,566.6271830049706,547.9032158528261,-18.723967152144496,-0.03304459742444133,0.033602903955807936
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step0,step128,0,128,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step128,step512,128,512,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step512,step1000,512,1000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step1000,step2000,1000,2000,0.0,0.0,0.0,,0.0
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step2000,step3000,2000,3000,0.0,0.0,0.0,,0.0
