model,module,metric,from_checkpoint,to_checkpoint,from_step,to_step,value_before,value_after,delta,relative_delta,transition_score,rank_within_metric_module
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1,step0,step128,0,128,0.08333333333333333,0.5,0.4166666666666667,5.000000000000001,1.791759469218055,2
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1,step128,step512,128,512,0.0,0.0,0.0,,0.0,2
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.1,step128,step512,128,512,0.0,0.0,0.0,,0.0,2
EleutherAI/pythia-160m-deduped,attention.dense,mp_outliers_x1.25,step128,step512,128,512,0.0,0.0,0.0,,0.0,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1,step128,step512,128,512,1.5833333333333333,11.416666666666666,9.833333333333332,6.2105263157894735,1.9755419466611404,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.1,step128,step512,128,512,0.25,4.25,4.0,16.0,2.8332133440524516,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,mp_outliers_x1.25,step128,step512,128,512,0.08333333333333333,1.5833333333333333,1.5,18.0,2.944438979155072,2
EleutherAI/pythia-160m-deduped,mlp.dense_4h_to_h,stable_rank,step128,step512,128,512,321.6176269648799,241.70600960199957,-79.91161736288032,-0.2484677787004707,0.28564119472751126,2
EleutherAI/pythia-160m-deduped,mlp.dense_h_to_4h,mp_outliers_x1,step128,step512,128,512,0.08333333333333333,0.75,0.6666666666666666,8.0,2.1972245773255525,2
EleutherAI/pythia-160m-deduped,attention.dense,effective_rank,step512,step1000,512,1000,614.0054793329668,589.1346497838059,-24.87082954916093,-0.04050587557651716,0.041349087134702346,2
EleutherAI/pythia-160m-deduped,attention.dense,stable_rank,step512,step1000,512,1000,123.74166155274092,75.42535557731479,-48.31630597542613,-0.3904611055738318,0.49505251843615733,2
EleutherAI/pythia-160m-deduped,attention.dense,subspace_stability_topk,step512,step1000,512,1000,0.40932976578672725,0.4391362816095352,0.029806515822807966,0.07281785570985823,0.5608637183904648,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.1,step512,step1000,512,1000,4.0,13.916666666666666,9.916666666666666,2.4791666666666665,1.246792801508686,2
EleutherAI/pythia-160m-deduped,attention.query_key_value,mp_outliers_x1.25,step512,step1000,512,1000,3.0833333333333335,9.583333333333334,6.5,2.108108108108108,1.1340142157188056,2
