model,step_num,rows,modules,metrics,layers
EleutherAI/pythia-160m-deduped,0,528,4,11,12
EleutherAI/pythia-160m-deduped,1,576,4,12,12
EleutherAI/pythia-160m-deduped,2,576,4,12,12
EleutherAI/pythia-160m-deduped,4,576,4,12,12
EleutherAI/pythia-160m-deduped,8,576,4,12,12
EleutherAI/pythia-160m-deduped,16,576,4,12,12
EleutherAI/pythia-160m-deduped,32,576,4,12,12
EleutherAI/pythia-160m-deduped,64,576,4,12,12
EleutherAI/pythia-160m-deduped,128,576,4,12,12
EleutherAI/pythia-160m-deduped,256,576,4,12,12
EleutherAI/pythia-160m-deduped,512,576,4,12,12
EleutherAI/pythia-160m-deduped,1000,576,4,12,12
EleutherAI/pythia-160m-deduped,2000,576,4,12,12
EleutherAI/pythia-160m-deduped,3000,576,4,12,12
EleutherAI/pythia-160m-deduped,4000,576,4,12,12
EleutherAI/pythia-160m-deduped,5000,576,4,12,12
EleutherAI/pythia-160m-deduped,6000,576,4,12,12
EleutherAI/pythia-160m-deduped,7000,576,4,12,12
EleutherAI/pythia-160m-deduped,8000,576,4,12,12
EleutherAI/pythia-160m-deduped,9000,576,4,12,12
EleutherAI/pythia-160m-deduped,10000,576,4,12,12
EleutherAI/pythia-160m-deduped,11000,576,4,12,12
EleutherAI/pythia-160m-deduped,12000,576,4,12,12
EleutherAI/pythia-160m-deduped,13000,576,4,12,12
EleutherAI/pythia-160m-deduped,14000,576,4,12,12
EleutherAI/pythia-160m-deduped,15000,576,4,12,12
EleutherAI/pythia-160m-deduped,16000,576,4,12,12
EleutherAI/pythia-160m-deduped,17000,576,4,12,12
EleutherAI/pythia-160m-deduped,18000,576,4,12,12
EleutherAI/pythia-160m-deduped,19000,576,4,12,12
EleutherAI/pythia-160m-deduped,20000,576,4,12,12
EleutherAI/pythia-160m-deduped,21000,576,4,12,12
EleutherAI/pythia-160m-deduped,22000,576,4,12,12
EleutherAI/pythia-160m-deduped,23000,576,4,12,12
EleutherAI/pythia-160m-deduped,24000,576,4,12,12
EleutherAI/pythia-160m-deduped,25000,576,4,12,12
EleutherAI/pythia-160m-deduped,26000,576,4,12,12
EleutherAI/pythia-160m-deduped,27000,576,4,12,12
EleutherAI/pythia-160m-deduped,28000,576,4,12,12
EleutherAI/pythia-160m-deduped,29000,576,4,12,12
EleutherAI/pythia-160m-deduped,30000,576,4,12,12
EleutherAI/pythia-160m-deduped,31000,576,4,12,12
EleutherAI/pythia-160m-deduped,32000,576,4,12,12
EleutherAI/pythia-160m-deduped,33000,576,4,12,12
EleutherAI/pythia-160m-deduped,34000,576,4,12,12
EleutherAI/pythia-160m-deduped,35000,576,4,12,12
EleutherAI/pythia-160m-deduped,36000,576,4,12,12
EleutherAI/pythia-160m-deduped,37000,576,4,12,12
EleutherAI/pythia-160m-deduped,38000,576,4,12,12
EleutherAI/pythia-160m-deduped,39000,576,4,12,12
EleutherAI/pythia-160m-deduped,40000,576,4,12,12
EleutherAI/pythia-160m-deduped,41000,576,4,12,12
EleutherAI/pythia-160m-deduped,42000,576,4,12,12
EleutherAI/pythia-160m-deduped,43000,576,4,12,12
EleutherAI/pythia-160m-deduped,44000,576,4,12,12
EleutherAI/pythia-160m-deduped,45000,576,4,12,12
EleutherAI/pythia-160m-deduped,46000,576,4,12,12
EleutherAI/pythia-160m-deduped,47000,576,4,12,12
EleutherAI/pythia-160m-deduped,48000,576,4,12,12
EleutherAI/pythia-160m-deduped,49000,576,4,12,12
EleutherAI/pythia-160m-deduped,50000,576,4,12,12
EleutherAI/pythia-160m-deduped,51000,576,4,12,12
EleutherAI/pythia-160m-deduped,52000,576,4,12,12
EleutherAI/pythia-160m-deduped,53000,576,4,12,12
EleutherAI/pythia-160m-deduped,54000,576,4,12,12
EleutherAI/pythia-160m-deduped,55000,576,4,12,12
EleutherAI/pythia-160m-deduped,56000,576,4,12,12
EleutherAI/pythia-160m-deduped,57000,576,4,12,12
EleutherAI/pythia-160m-deduped,58000,576,4,12,12
EleutherAI/pythia-160m-deduped,59000,576,4,12,12
EleutherAI/pythia-160m-deduped,60000,576,4,12,12
EleutherAI/pythia-160m-deduped,61000,576,4,12,12
EleutherAI/pythia-160m-deduped,62000,576,4,12,12
EleutherAI/pythia-160m-deduped,63000,576,4,12,12
EleutherAI/pythia-160m-deduped,64000,576,4,12,12
EleutherAI/pythia-160m-deduped,65000,576,4,12,12
EleutherAI/pythia-160m-deduped,66000,576,4,12,12
EleutherAI/pythia-160m-deduped,67000,576,4,12,12
EleutherAI/pythia-160m-deduped,68000,576,4,12,12
EleutherAI/pythia-160m-deduped,69000,576,4,12,12
EleutherAI/pythia-160m-deduped,70000,576,4,12,12
EleutherAI/pythia-160m-deduped,71000,576,4,12,12
EleutherAI/pythia-160m-deduped,72000,576,4,12,12
EleutherAI/pythia-160m-deduped,73000,576,4,12,12
EleutherAI/pythia-160m-deduped,74000,576,4,12,12
EleutherAI/pythia-160m-deduped,75000,576,4,12,12
EleutherAI/pythia-160m-deduped,76000,576,4,12,12
EleutherAI/pythia-160m-deduped,77000,576,4,12,12
EleutherAI/pythia-160m-deduped,78000,576,4,12,12
EleutherAI/pythia-160m-deduped,79000,576,4,12,12
EleutherAI/pythia-160m-deduped,80000,576,4,12,12
EleutherAI/pythia-160m-deduped,81000,576,4,12,12
EleutherAI/pythia-160m-deduped,82000,576,4,12,12
EleutherAI/pythia-160m-deduped,83000,576,4,12,12
EleutherAI/pythia-160m-deduped,84000,576,4,12,12
EleutherAI/pythia-160m-deduped,85000,576,4,12,12
EleutherAI/pythia-160m-deduped,86000,576,4,12,12
EleutherAI/pythia-160m-deduped,87000,576,4,12,12
EleutherAI/pythia-160m-deduped,88000,576,4,12,12
EleutherAI/pythia-160m-deduped,89000,576,4,12,12
EleutherAI/pythia-160m-deduped,90000,576,4,12,12
EleutherAI/pythia-160m-deduped,91000,576,4,12,12
EleutherAI/pythia-160m-deduped,92000,576,4,12,12
EleutherAI/pythia-160m-deduped,93000,576,4,12,12
EleutherAI/pythia-160m-deduped,94000,576,4,12,12
EleutherAI/pythia-160m-deduped,95000,576,4,12,12
EleutherAI/pythia-160m-deduped,96000,576,4,12,12
EleutherAI/pythia-160m-deduped,97000,576,4,12,12
EleutherAI/pythia-160m-deduped,98000,576,4,12,12
EleutherAI/pythia-160m-deduped,99000,576,4,12,12
EleutherAI/pythia-160m-deduped,100000,576,4,12,12
EleutherAI/pythia-160m-deduped,101000,576,4,12,12
EleutherAI/pythia-160m-deduped,102000,576,4,12,12
EleutherAI/pythia-160m-deduped,103000,576,4,12,12
EleutherAI/pythia-160m-deduped,104000,576,4,12,12
EleutherAI/pythia-160m-deduped,105000,576,4,12,12
EleutherAI/pythia-160m-deduped,106000,576,4,12,12
EleutherAI/pythia-160m-deduped,107000,576,4,12,12
EleutherAI/pythia-160m-deduped,108000,576,4,12,12
