model,break_step,aic,rss,params
segmented_logstep,2000,-193.46091188370286,162.9021967982258,"[np.float64(-2.041401679315795), np.float64(0.8231131948154005), np.float64(-1.0715606273356564)]"
segmented_logstep,1400,-193.45031646960575,162.9077646876751,"[np.float64(-2.088029532338676), np.float64(0.8707673200297179), np.float64(-1.0757885901645574)]"
segmented_logstep,1000,-191.85629807352475,163.7475929166009,"[np.float64(-2.1197323564789596), np.float64(0.9073609557489375), np.float64(-1.0602856681062098)]"
segmented_logstep,3000,-191.22461284008014,164.08160064080656,"[np.float64(-1.983788181273188), np.float64(0.7699803486434377), np.float64(-1.0685722462425715)]"
segmented_logstep,4000,-188.30583877612048,165.63379035425402,"[np.float64(-1.940210574462321), np.float64(0.7329590210847972), np.float64(-1.0669862026441213)]"
segmented_logstep,512,-183.0095653317674,168.48791433672,"[np.float64(-2.1578291226078306), np.float64(0.9695040999809632), np.float64(-1.0185728083680792)]"
segmented_logstep,8000,-178.4671530950998,170.97493467562742,"[np.float64(-1.8387909045051771), np.float64(0.6555363082642365), np.float64(-1.0993628205499126)]"
monotone_logstep,,-118.10564426378794,209.07292664844726,"[np.float64(-1.4341792609920738), np.float64(0.434451434039614)]"
constant,,33.402656131786685,343.0482775811455,[np.float64(-0.004777769818662368)]
