step,stage,n,base_probe_accuracy_mean,base_probe_accuracy_sem,post_injection_accuracy_mean,post_injection_accuracy_sem,uptake_accuracy_delta_mean,uptake_accuracy_delta_sem,base_probe_mean_margin_mean,base_probe_mean_margin_sem,post_injection_mean_margin_mean,post_injection_mean_margin_sem,uptake_margin_delta_mean,uptake_margin_delta_sem,normalized_retention_margin_mean,normalized_retention_margin_sem,normalized_retention_accuracy_mean,normalized_retention_accuracy_sem,degradation_final_accuracy_mean,degradation_final_accuracy_sem,degradation_final_margin_mean,degradation_final_margin_sem,norm_margin_auc_mean,norm_margin_auc_sem,norm_accuracy_auc_mean,norm_accuracy_auc_sem,norm_margin_final_mean,norm_margin_final_sem,norm_accuracy_final_mean,norm_accuracy_final_sem
0,step0,5,0.199,0.009273618495495706,0.45999999999999996,0.018641351882307252,0.261,0.021295539439046874,-0.433671199798584,0.008320666265547828,-0.1578701293468475,0.035450629455020984,0.27580107045173646,0.04121228928142931,-1.3691619213326833,0.26264187633724456,0.2513954303663747,0.02749649927157337,0.32399999999999995,0.016385969608173942,-0.64794336104393,0.07203636785008863,0.2014064189081679,0.12409996025811199,0.7914077537557282,0.018740389113214448,-0.9138154170074475,0.303760325182324,0.4755371126920764,0.052530597905557655
128,step128,5,0.184,0.011335784048754636,0.518,0.012308533625091182,0.33399999999999996,0.019390719429665318,-0.8848189330101015,0.032099888342466285,-0.0006271505355834817,0.05866959483490065,0.8841917824745179,0.0644216597178299,0.34210641973761424,0.013222040381922514,0.4043729216848696,0.017174966095832217,0.368,0.02337733945512192,-0.4615679640769958,0.06346122547103544,0.7638924198063969,0.02629899005565794,0.780405140504695,0.037880506601112744,0.47517217154525654,0.04304632400716881,0.5483484750162233,0.05656932829492278
512,step512,5,0.19699999999999998,0.005147815070493499,0.5860000000000001,0.027811867970346765,0.389,0.027037011669191563,-1.3385825338363648,0.03212708273555179,0.23158227932453151,0.05471211431793335,1.5701648131608963,0.027027590973493606,0.6050524493127583,0.029560119558841146,0.4910439232615171,0.03293814961178388,0.417,0.021189620100417094,-0.26180475658178326,0.056890813568552086,0.884243889142019,0.008029672010829426,0.8468405118191494,0.022613269262685958,0.6853294575836533,0.027591500270290937,0.5674792601659187,0.05991257172319162
1000,step1000,5,0.21599999999999997,0.007810249675906651,0.445,0.027156951228000548,0.229,0.029214722315983085,-1.4838820400238038,0.035741166557981006,-0.25551790672540664,0.06502065106504705,1.2283641332983972,0.08696919602983547,0.755122497197845,0.024707169438871388,0.7598567160004743,0.07810661010967082,0.346,0.012288205727444507,-0.5763886669278144,0.052912224213383506,0.9349642255543664,0.008842984233768253,0.8940454389955222,0.0251778161371921,0.7350809208502685,0.02246675856332163,0.6035848879589752,0.08032604886243815
2000,step2000,5,0.221,0.00857321409974112,0.5309999999999999,0.01913112646970898,0.30999999999999994,0.026220221204253786,-1.4250226519107818,0.02216204095751294,0.09813732947409153,0.09135175987474402,1.5231599813848735,0.1034560225505397,0.670970909822288,0.020659949124147665,0.5862021415792145,0.035416186198259945,0.369,0.022770595073471404,-0.4696839291453362,0.0432735811508493,0.8650699705866802,0.0084715205131771,0.7973005634021719,0.030448232392165903,0.6293293700365536,0.010862320643377249,0.47073235600416563,0.06725210515196639
3000,step3000,5,0.278,0.0110227038425243,0.5820000000000001,0.019467922333931777,0.30399999999999994,0.020334699407662745,-1.2412124658823014,0.025599118721856814,0.2927363868579268,0.07488115486397222,1.533948852740228,0.062366941394568325,0.6323757680455196,0.02261366072231951,0.5353106048616784,0.045735208833395054,0.38,0.009486832980505146,-0.4154485976099968,0.025900254565430176,0.8317196364196129,0.0063674504786505656,0.7760818254042448,0.013232622971082625,0.54034658091571,0.018673651996276935,0.33499952309321207,0.026708406612952297
8000,step8000,5,0.269,0.011224972160321823,0.752,0.009695359714832666,0.483,0.005612486080160926,-1.2455747470855711,0.03529082408399692,1.005891844600439,0.065565567455407,2.25146659168601,0.054133726648473976,0.4588931479603266,0.006929232587175707,0.3744122560275846,0.02921326555713741,0.453,0.011022703842524302,-0.2355676735341549,0.050901349615554606,0.8018241057639864,0.008735665914635028,0.8089751057019159,0.014500794333035215,0.4480084985959182,0.008781721162866763,0.3804715251331793,0.012595411061626715
143000,step143000,5,0.251,0.010653637876331262,0.9410000000000001,0.021236760581595297,0.6900000000000001,0.02622022120425379,-1.2430884826183317,0.016124715113507146,3.769517165703422,0.5549932738773418,5.012605648321754,0.5624515130766359,0.24601267991709008,0.029130531044018578,0.365868144547819,0.013418883083456356,0.40499999999999997,0.02418677324489565,-0.5251209338307381,0.052108175901133716,0.5548135691431229,0.01354935491114854,0.7006665833671348,0.009538808980543205,0.14975518465004262,0.01702210107610666,0.22203646628004123,0.025915077324492494
