model,interval,prev_step,next_step,mean_transition_strength,median_transition_strength,mean_abs_relative_delta,n
EleutherAI/pythia-1b-deduped,256->512,256,512,83333333334.48329,0.026546567925472657,83333333334.50264,48
EleutherAI/pythia-1b-deduped,512->1000,512,1000,63802083335.8774,0.13331225960814078,63802083336.002716,48
EleutherAI/pythia-1b-deduped,128->256,128,256,45572916666.923164,0.0007485743437221362,45572916666.92519,48
EleutherAI/pythia-1b-deduped,64->128,64,128,1302083333.4306061,5.0807378812190766e-05,1302083333.4308012,48
EleutherAI/pythia-1b-deduped,1000->2000,1000,2000,1.0988510169466785,0.1595098142124664,1.2333853514538589,48
EleutherAI/pythia-1b-deduped,2000->3000,2000,3000,0.10397601526583311,0.0310273540445117,0.2175078535362136,48
EleutherAI/pythia-1b-deduped,32->64,32,64,0.06298626166755443,1.4635494771721186e-06,0.06303891566592482,48
EleutherAI/pythia-1b-deduped,3000->4000,3000,4000,0.058430652901521905,0.035061802583508994,0.11326719209679664,48
EleutherAI/pythia-1b-deduped,4000->5000,4000,5000,0.04128409860398571,0.02323048306093816,0.06813862940389458,48
EleutherAI/pythia-1b-deduped,5000->6000,5000,6000,0.027504844193426595,0.012085538405960078,0.04805162563216087,48
EleutherAI/pythia-1b-deduped,6000->7000,6000,7000,0.020193490251788945,0.007912595132398222,0.035594375101529095,48
EleutherAI/pythia-1b-deduped,7000->8000,7000,8000,0.015455009746263813,0.005058353413122318,0.02752492311405025,48
EleutherAI/pythia-1b-deduped,16->32,16,32,0.0001329808367057399,0.0,0.00014521314542011388,48
EleutherAI/pythia-1b-deduped,8->16,8,16,5.2852121101497486e-06,0.0,1.1453221164063519e-05,48
EleutherAI/pythia-1b-deduped,2->4,2,4,5.158451301830421e-06,0.0,9.88689324520617e-06,48
EleutherAI/pythia-1b-deduped,1->2,1,2,1.8076574332316177e-06,0.0,6.556457538003638e-06,48
EleutherAI/pythia-1b-deduped,4->8,4,8,1.4028628530734365e-06,0.0,7.406241241084824e-06,48
EleutherAI/pythia-1b-deduped,0->1,0,1,0.0,0.0,0.0,44
