stage,step_num,seed,uptake,retention,degradation_auc
step7000,7000,0,1.6353944182395936,0.5042972464112754,-40.00535894155502
step7000,7000,1,1.956120829284191,0.6273111477955817,-22.956031268835066
step7000,7000,2,1.564024065453559,0.5932268196928584,-78.0521270256117
step7000,7000,3,1.845650011897087,0.5444357387398997,21.38613670170307
step7000,7000,4,1.631672581732273,0.5994823635916194,-12.180447292029854
step8000,8000,0,2.254291221499443,0.4342432463444667,3.2640826699137726
step8000,8000,1,2.399217014312744,0.4717224428296137,45.60227971643209
step8000,8000,2,2.110105036105961,0.4705897480086271,-27.6195515133813
step8000,8000,3,2.349469040334225,0.4563359978979616,66.41744827389716
step8000,8000,4,2.152984144985676,0.4599912793111499,34.58826797842979
step9000,9000,0,2.0198428910970687,0.4373479899704859,-33.493219419121736
step9000,9000,1,2.325552139878273,0.5049040093818432,8.34787204086781
step9000,9000,2,2.0098092290200293,0.5036608956362197,-24.469510218799115
step9000,9000,3,2.122545013725757,0.5254478260590281,-0.258255220055581
step9000,9000,4,2.1226550253853205,0.4930448572094859,15.027683204784982
step10000,10000,0,2.192840452641249,0.4109653548086668,-16.585002231895924
step10000,10000,1,2.263674682825804,0.5225640733091975,1.0059350869059571
step10000,10000,2,1.941143152564764,0.5594869151285143,-30.678336205035453
step10000,10000,3,2.2150186679512265,0.5150263771157779,-2.7711445851624
step10000,10000,4,2.218664922825992,0.4753496241004884,32.77322726700454
step13000,13000,0,2.244143531918525,0.3881351451863546,-7.103579075336452
step13000,13000,1,2.2057677870988845,0.4972885244939003,10.968072354197504
step13000,13000,2,1.9461160238645967,0.4518122276246598,-25.82268300343305
step13000,13000,3,1.9146328730881212,0.4410043375231858,-7.322053337991235
step13000,13000,4,2.0659274551272397,0.4333570351236212,-6.104619136303665
step16000,16000,0,1.9278489431738848,0.4068750071519391,-65.01848650753499
step16000,16000,1,2.30419274777174,0.4414231319466083,14.644868334829804
step16000,16000,2,1.9606922874040904,0.4286845118767371,-37.09880916897208
step16000,16000,3,2.004823500588536,0.4639863965522588,11.967504149824377
step16000,16000,4,1.9171143386513,0.4525727987142748,-23.71757655575872
step23000,23000,0,2.507429150566459,0.3716324576885496,-45.11311233386397
step23000,23000,1,2.2570445261895653,0.4462972689942412,-1.1950771456956917
step23000,23000,2,2.13278930272907,0.4030107969349421,6.30698868535459
step23000,23000,3,2.255059898644686,0.424125632858262,-7.26811471879482
step23000,23000,4,2.471681366004049,0.3637515558184191,3.537120927199716
step32000,32000,0,2.0947134234011173,0.3732236297531699,-54.28046280294657
step32000,32000,1,2.236020733714104,0.4516799143190004,-30.88153346866369
step32000,32000,2,2.283872013343498,0.3774492617877712,4.929535537119953
step32000,32000,3,2.073465201854706,0.4208863928546936,-23.67647864490748
step32000,32000,4,2.395210090316832,0.3427462341853066,-27.874865440353744
step44000,44000,0,2.5594016792625185,0.3100888752513835,-1.5136041586101
step44000,44000,1,2.7967857053875926,0.3836674703670985,2.9100590693950608
step44000,44000,2,2.7360296868905425,0.3635554874267262,25.364063115492463
step44000,44000,3,2.9118091943115,0.305628711767924,22.59054663732648
step44000,44000,4,2.906308855228126,0.3027717162731204,-21.0958084691316
step64000,64000,0,3.6532251674681904,0.3229578998646739,48.12395495813341
step64000,64000,1,3.093890335820616,0.3743292040335754,8.002406715080149
step64000,64000,2,2.687785078287124,0.3562267811670192,13.515568366050722
step64000,64000,3,2.867743332795799,0.2932070623143554,-30.52721422858536
step64000,64000,4,3.3811712518858257,0.3243435165888361,47.499138977725536
step89000,89000,0,4.359965228415094,0.263502134360073,65.71347605290823
step89000,89000,1,4.051630102787167,0.323673130073433,52.90559419568628
step89000,89000,2,3.528726323982701,0.3095080424665724,37.35198727486655
step89000,89000,3,4.090221668169834,0.2219491826378995,58.53598907046951
step89000,89000,4,4.050845287237316,0.2609031218807003,66.49924315657466
step100000,100000,0,4.0733094111015085,0.2752592089746424,51.68512030812447
step100000,100000,1,3.2402708035707475,0.3251036211841776,41.66442955046893
step100000,100000,2,3.867185518424958,0.2822801830329186,46.33370613124221
step100000,100000,3,3.4232509403117,0.2360856369477468,40.02405148524791
step100000,100000,4,3.740541269145906,0.2685006035979346,11.4505108667165
step110000,110000,0,4.118703964872694,0.1976346060989267,5.657220339446205
step110000,110000,1,3.26697771507781,0.2630364640137417,-24.101073812702676
step110000,110000,2,3.293979853335768,0.340711661922186,-19.438139508329336
step110000,110000,3,3.445896633530501,0.2057928519110961,5.744557204325673
step110000,110000,4,3.67978833725676,0.1902117862531913,33.62204032834618
step128000,128000,0,6.062920934443827,0.1460440362481059,36.91705756218637
step128000,128000,1,5.7882617945324455,0.190104569762069,53.32875350239017
step128000,128000,2,4.566717601014534,0.2577090498504338,-13.78335131445666
step128000,128000,3,4.375855031802784,0.2382667672366843,28.77167659196537
step128000,128000,4,4.62308744841488,0.2244680772282176,55.83027174740564
step143000,143000,0,4.758984385216609,0.2607034957713377,23.60735434724017
step143000,143000,1,5.540438412784424,0.247762578709809,35.7623667171091
step143000,143000,2,5.236415775916539,0.2080970506941079,13.321907476810736
step143000,143000,3,4.491620892216451,0.2755218931644803,-1.6077002062182686
step143000,143000,4,5.445507602389771,0.2234083461685963,10.349519005945623
