stage,step_num,seed,uptake,retention,degradation_auc
step1,1,0,0.1858594262599945,-1.8729392198086448,-180.79925122022627
step1,1,1,0.2218499708175659,-1.6913194411532253,-123.16040900349616
step1,1,2,0.4269269752502441,-0.3667356575574371,-105.4197786653042
step1,1,3,0.2793758988380432,-1.485654510124682,-149.1272767305374
step1,1,4,0.2649950242042541,-1.4291461605219302,-176.27031157016756
step2,2,0,0.1860970497131347,-1.8695423059400869,-180.79519954919812
step2,2,1,0.2218796110153198,-1.6912550065249303,-123.15838247060776
step2,2,2,0.4270337092876434,-0.3661939661919942,-105.42339453935622
step2,2,3,0.2795041453838348,-1.484811031831688,-149.12080155611037
step2,2,4,0.2651521527767181,-1.427542127126137,-176.27950924634936
step4,4,0,0.194672532081604,-1.7466561883225329,-180.93621505498888
step4,4,1,0.2237399971485137,-1.681647714721287,-122.81667711615565
step4,4,2,0.4321815264225006,-0.3447870121504696,-105.54298570871352
step4,4,3,0.284190286397934,-1.4453200493123854,-149.10611860513688
step4,4,4,0.2719617140293121,-1.364112744714306,-176.4315970158577
step8,8,0,0.2130859839916229,-1.4956199228977891,-182.58342322111127
step8,8,1,0.2295971190929412,-1.6301573442698911,-122.16315569281578
step8,8,2,0.443396190404892,-0.2867980011049027,-106.3044818174839
step8,8,3,0.3014615654945374,-1.300394793207597,-150.4972292137146
step8,8,4,0.2915955758094787,-1.1707305618311954,-177.94726190567013
step16,16,0,0.1272416067123413,-2.6843298987925537,-193.5463691759109
step16,16,1,0.2246360075473785,-1.6414233237173317,-125.37837920427324
step16,16,2,0.3528255152702332,-0.3873355181968975,-112.76631548166274
step16,16,3,0.2941314280033111,-1.1827044708737997,-161.71484290361403
step16,16,4,0.2454056191444397,-1.3231052420895295,-188.89402708530423
step32,32,0,0.0477077555656432,-6.67299191112801,-208.1822055840492
step32,32,1,0.0745541429519653,-4.677836401433511,-147.61038158893584
step32,32,2,0.1769412767887115,-0.9090883195472562,-135.246190366745
step32,32,3,0.1671891915798187,-2.346829892797609,-172.82643296718595
step32,32,4,0.0826383924484253,-3.958454869837483,-207.56958181858064
step64,64,0,0.3737668120861054,-0.3532510971138785,-142.47528557777406
step64,64,1,0.1404064726829529,-1.735839722721786,-114.1280783891678
step64,64,2,0.4290343010425567,-0.0665121039422342,-86.76628800034523
step64,64,3,0.5440274918079375,-0.3093298311998276,-82.25011449098587
step64,64,4,0.440415654182434,-0.3773167206891477,-127.53850984692572
step128,128,0,0.8187704324722289,0.300538056901691,-114.15904134511948
step128,128,1,0.7277343392372131,0.3763710620548526,-97.88968103408811
step128,128,2,0.9382454979419708,0.3333213744422739,-53.252294219732285
step128,128,3,1.1045590436458588,0.3362266473350221,-77.90141113877296
step128,128,4,0.8316498076915741,0.3640757068794647,-127.69160740852357
step256,256,0,1.1487233304977418,0.5282780941344936,-130.28223169326782
step256,256,1,1.0637266755104064,0.6114855903319107,-77.66276071548461
step256,256,2,1.239131373167038,0.467772171831333,-48.42329469442368
step256,256,3,1.4350041294097902,0.5781822330667122,-62.68358935713768
step256,256,4,1.25806817650795,0.5803790188894006,-89.8529020446539
step512,512,0,1.606249824166298,0.5345575346351032,-39.35159470319747
step512,512,1,1.582873432636261,0.5895475847858088,-21.915673475265507
step512,512,2,1.614718911647797,0.5553757039081403,-18.928614201545717
step512,512,3,1.5818808519840242,0.6555969909541149,-29.31132579445839
step512,512,4,1.4651629734039306,0.6901652301383566,-70.21169063985349
step1000,1000,0,1.3237639564275745,0.6966123224419035,-107.09522933244703
step1000,1000,1,1.052262647151947,0.8262978266707817,-154.62080791711807
step1000,1000,2,1.0361430126428604,0.7734001188740295,-134.47688892364502
step1000,1000,3,1.500776359438896,0.7015360223483448,-64.23068547964097
step1000,1000,4,1.2288958567380903,0.7777581943139147,-110.50459309279918
step2000,2000,0,1.2427639424800874,0.6524583152141322,-138.35549190282822
step2000,2000,1,1.4510250225663186,0.6159963203249087,-77.32094982206821
step2000,2000,2,1.4487720230221748,0.7396489407837695,-78.11266932249069
step2000,2000,3,1.606962536871433,0.6883335186297752,-78.35901593506337
step2000,2000,4,1.8662139692902568,0.6584489758867006,-43.21792033851146
step3000,3000,0,1.3526802451908588,0.6584330151716445,-98.89600502043965
step3000,3000,1,1.7015369576215744,0.5634502370720537,-38.48067166626453
step3000,3000,2,1.4343154292553664,0.673333729462256,-66.37170078441501
step3000,3000,3,1.5742938119173049,0.6728234875850775,-43.12405989170074
step3000,3000,4,1.606835227906704,0.5938242581842526,-50.64352544426917
step4000,4000,0,1.513704567104578,0.5521339428000063,-57.27725004345178
step4000,4000,1,2.1555864784121512,0.5695444697135802,43.3757170933485
step4000,4000,2,1.622822179570794,0.6271703094004076,-46.89927728541196
step4000,4000,3,1.9425476679205893,0.5918763698221751,13.5415109616518
step4000,4000,4,1.683889857232571,0.6263526336222884,-31.002642034888268
step5000,5000,0,1.5475133201479911,0.4426424083681904,-50.12086248725653
step5000,5000,1,1.8183276963233947,0.5531006302526609,-11.143099308609962
step5000,5000,2,1.7278608307242391,0.579448708096568,-40.02019797027111
step5000,5000,3,1.7578201106190685,0.5362360545077643,-25.03649249017239
step5000,5000,4,1.6549152675271033,0.5636795846647211,-26.071248250603677
step6000,6000,0,1.875348955988884,0.4369880469356961,-22.692743243575094
step6000,6000,1,2.049266513586044,0.5257104108600089,10.197842518687246
step6000,6000,2,1.848474462479353,0.5640575167871915,-41.03832473009824
step6000,6000,3,2.171187987327576,0.5079911567455053,21.41853209197521
step6000,6000,4,1.9843946543335915,0.5036071956978522,11.807092895507814
