monotone_aic,break_step,rss,aic
-18.43108078202838,2000,10.41827488396977,-27.803197940820915
-18.43108078202838,1000,10.50281449580728,-27.55266201662512
-18.43108078202838,3000,10.536215268227842,-27.454233065620244
-18.43108078202838,4000,10.69143423957259,-27.00087398128492
-18.43108078202838,5000,10.84731635671302,-26.552154360111615
-18.43108078202838,512,10.976846637819193,-26.184169034303736
-18.43108078202838,6000,10.988115869704735,-26.152359627027543
-18.43108078202838,7000,11.110822812280215,-25.80809383500512
-18.43108078202838,8000,11.22554867170993,-25.489641670964303
-18.43108078202838,9000,11.318353727813664,-25.234408753429978
-18.43108078202838,256,11.794617243292679,-23.956662230255322
-18.43108078202838,128,12.929198596136988,-21.10946880819431
