experiment_id,model,checkpoint,step,prev_checkpoint,matrix_name,module,layer,subspace_stability_topk,rows,cols,num_singular_values,frobenius_norm,spectral_norm,stable_rank,effective_rank,nuclear_norm,mean_singular_value,median_eigenvalue,mp_edge,mp_outliers_x1,mp_outliers_x1.1,mp_outliers_x1.25,alpha_tail_frac_0.2,alpha_tail_frac_0.3,alpha_tail_frac_0.5
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.0.attention.dense.weight,attention.dense,0,,2048,2048,2048,5.660477019492736,0.24929311871528625,515.5674392927353,1648.110641170366,217.3844868938868,0.10614476899115566,0.01022010585689695,51.39213731553043,0,0,0,4.397835007310529,3.042937469922212,1.766366446316675
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.0.attention.query_key_value.weight,attention.query_key_value,0,,6144,2048,2048,49.592492812798,1.7255688905715942,825.9757046984741,1953.2005521499318,2146.514569014311,1.048102816901519,1.0668322286711884,2.990137335488407,0,0,0,7.0272129179233955,5.065499902557866,3.1947206419911525
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,0,,2048,8192,2048,11.31456271003271,0.37498706579208374,910.4224772420549,1978.912261135442,495.51249339431524,0.241949459665193,0.057275710732376695,0.14068669105814213,0,0,0,7.951718562748727,5.755818014591194,3.6720475360893357
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,mlp.dense_h_to_4h,0,,8192,2048,2048,57.23966655776295,1.89750075340271,909.9767083785442,1978.7891639437746,2506.6416878700256,1.223946136655286,1.4661869013417572,3.6014041726410375,0,0,0,8.019707789409438,5.783153752265302,3.676582060299126
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.1.attention.dense.weight,attention.dense,1,,2048,2048,2048,5.660675179283334,0.25060585141181946,510.2159787523554,1648.3465309721255,217.4094598460797,0.1061569628154686,0.010190561702917211,51.24357356878868,0,0,0,4.405372225939837,3.0542995857805497,1.763137076939785
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.1.attention.query_key_value.weight,attention.query_key_value,1,,6144,2048,2048,49.57328013761966,1.727064847946167,823.9066770384827,1953.102765639784,2145.5877015590668,1.047650244901888,1.0650983742947133,2.9852776559942322,0,0,0,7.074395594103122,5.080432830550114,3.191551669774334
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,1,,2048,8192,2048,11.317632554950958,0.37394487857818604,916.0011105970049,1978.8538502508677,495.6366956830025,0.24201010531396605,0.05736406430909524,0.1409037145082703,0,0,0,7.98850712673434,5.7810511938518365,3.677816024055273
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,mlp.dense_h_to_4h,1,,8192,2048,2048,57.23580417916249,1.893155574798584,914.0353010367153,1978.8129146269468,2506.480523765087,1.2238674432446714,1.465009727625592,3.598512673385765,0,0,0,7.999251461533173,5.7843273274537,3.669733085297043
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.2.attention.dense.weight,attention.dense,2,,2048,2048,2048,5.65707030710365,0.2512395977973938,506.9988492053676,1648.4171316036256,217.28357638115267,0.1060954962798597,0.010197046372475038,51.27618194222708,0,0,0,4.399446300470276,3.05451506505254,1.7696040525963979
e1_phase_identification,EleutherAI/pythia-1b-deduped,step0,0,,gpt_neox.layers.2.attention.query_key_value.weight,attention.query_key_value,2,,6144,2048,2048,49.59290595858451,1.7241790294647217,827.3216641734191,1953.03983587531,2146.3674789369106,1.0480309955746634,1.068280615098402,2.994196900072072,0,0,0,7.01301106054397,5.060983886935386,3.191521885275177
