model,interval,prev_step,next_step,votes,mean_transition_strength,metrics,modules
EleutherAI/pythia-410m-deduped,1000->2000,1000,2000,18,0.43850279495973055,alpha_tail_frac_0.3;effective_rank;frobenius_norm;nuclear_norm;spectral_norm;stable_rank,attention.dense;attention.query_key_value;mlp.dense_4h_to_h;mlp.dense_h_to_4h
EleutherAI/pythia-410m-deduped,512->1000,512,1000,8,270833333336.45135,alpha_tail_frac_0.3;mp_outliers_x1;mp_outliers_x1.1;mp_outliers_x1.25;spectral_norm;stable_rank;subspace_stability_topk,attention.dense;mlp.dense_4h_to_h;mlp.dense_h_to_4h
EleutherAI/pythia-410m-deduped,256->512,256,512,6,229166666667.95108,mp_outliers_x1;mp_outliers_x1.25;stable_rank;subspace_stability_topk,attention.dense;attention.query_key_value;mlp.dense_4h_to_h
EleutherAI/pythia-410m-deduped,2000->3000,2000,3000,4,0.11289670184047938,alpha_tail_frac_0.2;alpha_tail_frac_0.5,attention.dense;mlp.dense_4h_to_h
EleutherAI/pythia-410m-deduped,128->256,128,256,3,138888888890.77777,mp_outliers_x1;mp_outliers_x1.1;mp_outliers_x1.25,attention.query_key_value;mlp.dense_4h_to_h
EleutherAI/pythia-410m-deduped,0->1,0,1,3,0.0,mp_outliers_x1;mp_outliers_x1.1;mp_outliers_x1.25,attention.dense
EleutherAI/pythia-410m-deduped,1->2,1,2,2,1.2765317001236283e-05,alpha_tail_frac_0.2;alpha_tail_frac_0.5,mlp.dense_h_to_4h
EleutherAI/pythia-410m-deduped,64->128,64,128,1,83333333333.33333,mp_outliers_x1.1,mlp.dense_4h_to_h
EleutherAI/pythia-410m-deduped,7000->8000,7000,8000,1,0.018748440060033875,nuclear_norm,attention.query_key_value
EleutherAI/pythia-410m-deduped,8->16,8,16,1,1.3953060376452258e-05,alpha_tail_frac_0.2,attention.query_key_value
EleutherAI/pythia-410m-deduped,16->32,16,32,1,6.175783969989024e-06,alpha_tail_frac_0.5,attention.query_key_value
