model,step_num,rows,modules,metrics,layers
EleutherAI/pythia-410m-deduped,0,1056,4,11,24
EleutherAI/pythia-410m-deduped,1,1152,4,12,24
EleutherAI/pythia-410m-deduped,2,1152,4,12,24
EleutherAI/pythia-410m-deduped,4,1152,4,12,24
EleutherAI/pythia-410m-deduped,8,1152,4,12,24
EleutherAI/pythia-410m-deduped,16,1152,4,12,24
EleutherAI/pythia-410m-deduped,32,1152,4,12,24
EleutherAI/pythia-410m-deduped,64,1152,4,12,24
EleutherAI/pythia-410m-deduped,128,1152,4,12,24
EleutherAI/pythia-410m-deduped,256,1152,4,12,24
EleutherAI/pythia-410m-deduped,512,1152,4,12,24
EleutherAI/pythia-410m-deduped,1000,1152,4,12,24
EleutherAI/pythia-410m-deduped,2000,1152,4,12,24
EleutherAI/pythia-410m-deduped,3000,1152,4,12,24
EleutherAI/pythia-410m-deduped,4000,1152,4,12,24
EleutherAI/pythia-410m-deduped,5000,1152,4,12,24
EleutherAI/pythia-410m-deduped,6000,1152,4,12,24
EleutherAI/pythia-410m-deduped,7000,1152,4,12,24
EleutherAI/pythia-410m-deduped,8000,1152,4,12,24
