model,model_short,step,eval_type,task,metric,mean_value,std_value,n
EleutherAI/pythia-160m-deduped,160m,0,multiple_choice,syntax_regularities,gold_logprob_margin,-0.0546875,0.9049357388269346,3
EleutherAI/pythia-160m-deduped,160m,128,multiple_choice,syntax_regularities,gold_logprob_margin,-0.53515625,1.8002219169300524,3
EleutherAI/pythia-160m-deduped,160m,512,multiple_choice,syntax_regularities,gold_logprob_margin,2.1653645833333335,2.6472167555957276,3
EleutherAI/pythia-160m-deduped,160m,1000,multiple_choice,syntax_regularities,gold_logprob_margin,2.703125,3.0344774820168277,3
EleutherAI/pythia-160m-deduped,160m,2000,multiple_choice,syntax_regularities,gold_logprob_margin,4.8388671875,5.148250686428358,3
EleutherAI/pythia-160m-deduped,160m,3000,multiple_choice,syntax_regularities,gold_logprob_margin,4.544921875,5.135304953370474,3
EleutherAI/pythia-160m-deduped,160m,8000,multiple_choice,syntax_regularities,gold_logprob_margin,5.519205729166667,3.33165061121156,3
EleutherAI/pythia-160m-deduped,160m,16000,multiple_choice,syntax_regularities,gold_logprob_margin,6.705810546875,4.241501747471401,3
EleutherAI/pythia-160m-deduped,160m,64000,multiple_choice,syntax_regularities,gold_logprob_margin,6.932779947916667,4.932179936798755,3
EleutherAI/pythia-160m-deduped,160m,143000,multiple_choice,syntax_regularities,gold_logprob_margin,7.0009765625,4.771231633291655,3
EleutherAI/pythia-1b-deduped,1b,0,multiple_choice,syntax_regularities,gold_logprob_margin,-0.20833333333333334,1.3864564746105748,3
EleutherAI/pythia-1b-deduped,1b,128,multiple_choice,syntax_regularities,gold_logprob_margin,0.033854166666666664,1.641709710862302,3
EleutherAI/pythia-1b-deduped,1b,512,multiple_choice,syntax_regularities,gold_logprob_margin,2.2434895833333335,3.4401386652950974,3
EleutherAI/pythia-1b-deduped,1b,1000,multiple_choice,syntax_regularities,gold_logprob_margin,4.154947916666667,2.9573417040354135,3
EleutherAI/pythia-1b-deduped,1b,2000,multiple_choice,syntax_regularities,gold_logprob_margin,7.440266927083333,4.749747428536888,3
EleutherAI/pythia-1b-deduped,1b,3000,multiple_choice,syntax_regularities,gold_logprob_margin,7.106282552083333,5.114920784357673,3
EleutherAI/pythia-1b-deduped,1b,8000,multiple_choice,syntax_regularities,gold_logprob_margin,5.903727213541667,4.254140410153883,3
EleutherAI/pythia-1b-deduped,1b,16000,multiple_choice,syntax_regularities,gold_logprob_margin,7.398518880208333,4.971008653125715,3
EleutherAI/pythia-1b-deduped,1b,64000,multiple_choice,syntax_regularities,gold_logprob_margin,7.989298502604167,5.113773098383472,3
EleutherAI/pythia-1b-deduped,1b,143000,multiple_choice,syntax_regularities,gold_logprob_margin,7.72802734375,5.008658803286186,3
EleutherAI/pythia-410m-deduped,410m,0,multiple_choice,syntax_regularities,gold_logprob_margin,-0.6927083333333334,0.22294161172733848,3
EleutherAI/pythia-410m-deduped,410m,128,multiple_choice,syntax_regularities,gold_logprob_margin,0.1796875,1.429900940351726,3
EleutherAI/pythia-410m-deduped,410m,512,multiple_choice,syntax_regularities,gold_logprob_margin,1.9114583333333333,3.127953519640061,3
EleutherAI/pythia-410m-deduped,410m,1000,multiple_choice,syntax_regularities,gold_logprob_margin,4.169270833333333,4.546998047447302,3
EleutherAI/pythia-410m-deduped,410m,2000,multiple_choice,syntax_regularities,gold_logprob_margin,5.7119140625,4.397827214509365,3
EleutherAI/pythia-410m-deduped,410m,3000,multiple_choice,syntax_regularities,gold_logprob_margin,6.855143229166667,5.228587519982993,3
EleutherAI/pythia-410m-deduped,410m,8000,multiple_choice,syntax_regularities,gold_logprob_margin,6.96484375,4.342838328901568,3
EleutherAI/pythia-410m-deduped,410m,16000,multiple_choice,syntax_regularities,gold_logprob_margin,6.61669921875,4.750110599836398,3
EleutherAI/pythia-410m-deduped,410m,64000,multiple_choice,syntax_regularities,gold_logprob_margin,6.601236979166667,4.3813970754246725,3
EleutherAI/pythia-410m-deduped,410m,143000,multiple_choice,syntax_regularities,gold_logprob_margin,7.575520833333333,5.665987460252589,3
EleutherAI/pythia-70m-deduped,70m,0,multiple_choice,syntax_regularities,gold_logprob_margin,-0.07291666666666667,0.5207096207240494,3
EleutherAI/pythia-70m-deduped,70m,128,multiple_choice,syntax_regularities,gold_logprob_margin,-0.36328125,1.7738891564181265,3
EleutherAI/pythia-70m-deduped,70m,512,multiple_choice,syntax_regularities,gold_logprob_margin,1.84375,3.6859023949154905,3
EleutherAI/pythia-70m-deduped,70m,1000,multiple_choice,syntax_regularities,gold_logprob_margin,3.8502604166666665,5.1280930032454455,3
EleutherAI/pythia-70m-deduped,70m,2000,multiple_choice,syntax_regularities,gold_logprob_margin,4.199869791666667,3.981933962979622,3
EleutherAI/pythia-70m-deduped,70m,3000,multiple_choice,syntax_regularities,gold_logprob_margin,4.494140625,4.266583121991793,3
EleutherAI/pythia-70m-deduped,70m,8000,multiple_choice,syntax_regularities,gold_logprob_margin,5.496744791666667,3.263843299781808,3
EleutherAI/pythia-70m-deduped,70m,16000,multiple_choice,syntax_regularities,gold_logprob_margin,6.964192708333333,3.1418444541861286,3
EleutherAI/pythia-70m-deduped,70m,64000,multiple_choice,syntax_regularities,gold_logprob_margin,6.454752604166667,3.514227740636263,3
EleutherAI/pythia-70m-deduped,70m,143000,multiple_choice,syntax_regularities,gold_logprob_margin,4.998372395833333,3.999512205580664,3
