model,model_short,step,nll,final_step,fraction_of_total_nll_reduction
EleutherAI/pythia-160m-deduped,160m,0,11.059375,143000,0.0
EleutherAI/pythia-160m-deduped,160m,128,7.92109375,143000,0.4873817034700315
EleutherAI/pythia-160m-deduped,160m,512,6.2828125,143000,0.741810240232953
EleutherAI/pythia-160m-deduped,160m,1000,5.75078125,143000,0.8244358165493811
EleutherAI/pythia-160m-deduped,160m,2000,5.20703125,143000,0.9088813394807085
EleutherAI/pythia-160m-deduped,160m,3000,4.9890625,143000,0.9427323465178354
EleutherAI/pythia-160m-deduped,160m,8000,4.63671875,143000,0.997452074739141
EleutherAI/pythia-160m-deduped,160m,16000,4.5625,143000,1.0089784033001699
EleutherAI/pythia-160m-deduped,160m,64000,4.519140625,143000,1.0157122057752972
EleutherAI/pythia-160m-deduped,160m,143000,4.6203125,143000,1.0
EleutherAI/pythia-1b-deduped,1b,0,11.0421875,143000,0.0
EleutherAI/pythia-1b-deduped,1b,128,7.80546875,143000,0.4472391644626761
EleutherAI/pythia-1b-deduped,1b,512,6.25625,143000,0.6613051222540077
EleutherAI/pythia-1b-deduped,1b,1000,5.61484375,143000,0.7499325309008473
EleutherAI/pythia-1b-deduped,1b,2000,4.8921875,143000,0.8497867976466777
EleutherAI/pythia-1b-deduped,1b,3000,4.628515625,143000,0.8862201111890753
EleutherAI/pythia-1b-deduped,1b,8000,4.340625,143000,0.9259998920494413
EleutherAI/pythia-1b-deduped,1b,16000,4.218359375,143000,0.9428941544772493
EleutherAI/pythia-1b-deduped,1b,64000,3.928125,143000,0.9829977870135478
EleutherAI/pythia-1b-deduped,1b,143000,3.805078125,143000,1.0
EleutherAI/pythia-410m-deduped,410m,0,10.9953125,143000,0.0
EleutherAI/pythia-410m-deduped,410m,128,8.23359375,143000,0.3967229672857864
EleutherAI/pythia-410m-deduped,410m,512,6.48359375,143000,0.6481117782391561
EleutherAI/pythia-410m-deduped,410m,1000,5.84921875,143000,0.7392402222097525
EleutherAI/pythia-410m-deduped,410m,2000,5.11875,143000,0.8441726053532349
EleutherAI/pythia-410m-deduped,410m,3000,4.778125,143000,0.8931036417709444
EleutherAI/pythia-410m-deduped,410m,8000,4.507421875,143000,0.9319903484652937
EleutherAI/pythia-410m-deduped,410m,16000,4.268359375,143000,0.966331855675888
EleutherAI/pythia-410m-deduped,410m,64000,4.12109375,143000,0.9874866730262051
EleutherAI/pythia-410m-deduped,410m,143000,4.033984375,143000,1.0
EleutherAI/pythia-70m-deduped,70m,0,11.0359375,143000,0.0
EleutherAI/pythia-70m-deduped,70m,128,7.953125,143000,0.504861821903787
EleutherAI/pythia-70m-deduped,70m,512,6.29765625,143000,0.7759723643807573
EleutherAI/pythia-70m-deduped,70m,1000,5.740625,143000,0.867195496417605
EleutherAI/pythia-70m-deduped,70m,2000,5.3328125,143000,0.9339815762538383
EleutherAI/pythia-70m-deduped,70m,3000,5.2359375,143000,0.9498464687819856
EleutherAI/pythia-70m-deduped,70m,8000,5.13984375,143000,0.9655834186284544
EleutherAI/pythia-70m-deduped,70m,16000,4.97890625,143000,0.9919396110542478
EleutherAI/pythia-70m-deduped,70m,64000,4.894140625,143000,1.0058213920163765
EleutherAI/pythia-70m-deduped,70m,143000,4.9296875,143000,1.0
