model,model_short,eval_type,task,metric,from_step,to_step,delta,abs_delta
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,0,128,-3.1382812499999995,3.1382812499999995
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,128,512,-1.6382812499999995,1.6382812499999995
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,512,1000,-0.5320312500000002,0.5320312500000002
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,1000,2000,-0.5437500000000002,0.5437500000000002
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,2000,3000,-0.21796874999999982,0.21796874999999982
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,3000,8000,-0.3523437500000002,0.3523437500000002
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,8000,16000,-0.07421875,0.07421875
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,16000,64000,-0.043359374999999645,0.043359374999999645
EleutherAI/pythia-160m-deduped,160m,lm_loss,fixed_text,nll,64000,143000,0.10117187499999947,0.10117187499999947
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,0,128,-0.48046875,0.48046875
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,128,512,2.7005208333333335,2.7005208333333335
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,512,1000,0.5377604166666665,0.5377604166666665
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,1000,2000,2.1357421875,2.1357421875
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,2000,3000,-0.2939453125,0.2939453125
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,3000,8000,0.974283854166667,0.974283854166667
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,8000,16000,1.186604817708333,1.186604817708333
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,16000,64000,0.22696940104166696,0.22696940104166696
EleutherAI/pythia-160m-deduped,160m,multiple_choice,syntax_regularities,gold_logprob_margin,64000,143000,0.06819661458333304,0.06819661458333304
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,0,128,-3.2367187500000005,3.2367187500000005
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,128,512,-1.5492187500000005,1.5492187500000005
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,512,1000,-0.6414062499999993,0.6414062499999993
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,1000,2000,-0.72265625,0.72265625
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,2000,3000,-0.263671875,0.263671875
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,3000,8000,-0.2878906250000002,0.2878906250000002
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,8000,16000,-0.12226562499999982,0.12226562499999982
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,16000,64000,-0.29023437500000027,0.29023437500000027
EleutherAI/pythia-1b-deduped,1b,lm_loss,fixed_text,nll,64000,143000,-0.123046875,0.123046875
EleutherAI/pythia-1b-deduped,1b,multiple_choice,syntax_regularities,gold_logprob_margin,0,128,0.2421875,0.2421875
