model,step,stage,n_seeds,base_accuracy_mean,base_accuracy_std,post_injection_accuracy_mean,post_injection_accuracy_std,post_continuation_accuracy_mean,post_continuation_accuracy_std,base_mean_margin_mean,base_mean_margin_std,post_injection_mean_margin_mean,post_injection_mean_margin_std,post_continuation_mean_margin_mean,post_continuation_mean_margin_std,uptake_margin_delta_mean,uptake_margin_delta_std,normalized_clean_retention_margin_mean,normalized_clean_retention_margin_std,normalized_degradation_margin_auc_logk_mean,normalized_degradation_margin_auc_logk_std,degradation_accuracy_auc_logk_mean,degradation_accuracy_auc_logk_std,k_star_accuracy_below_0p5_mean,k_star_accuracy_below_0p5_std
EleutherAI/pythia-160m-deduped,0,step0,3,0.22083333333333333,0.01664582029619847,0.013333333333333334,0.0038188130791298675,0.0725,0.028831406486676987,-0.6865700705846152,0.024745635318452697,-1.872517088254293,0.10140986053364807,-1.1988594857851664,0.1849429481226875,-1.185947017669678,0.08297860567678643,0.4274742132493925,0.1270481931581868,1.5010894496785976,0.18509287070843322,0.046910507657637074,0.008657338666909788,4.0,0.0
EleutherAI/pythia-160m-deduped,128,step128,3,0.205,0.011456439237389595,0.008333333333333333,0.005204164998665332,0.023333333333333334,0.008779711460710616,-0.7778092718124389,0.028456969532410822,-2.9436894989013673,0.14972276058001785,-1.9831498161951702,0.008393018483592944,-2.165880227088928,0.16325882812662737,0.558142413248781,0.03395351080089244,1.7934774128513178,0.046142873472710386,0.01680750809123895,0.00934931191630548,4.0,0.0
EleutherAI/pythia-160m-deduped,512,step512,3,0.19333333333333333,0.013768926368215252,0.015,0.009013878188659973,0.0525,0.016393596310755,-1.0858060598373414,0.06043600153917825,-2.200564167499542,0.19824119131687504,-1.7089793161551157,0.21771923964039205,-1.1147581076622008,0.21245706106883688,0.5460761346102864,0.10205914909244897,1.5273359386897845,0.22297347331683276,0.05493797420867658,0.02453671470491877,4.0,0.0
EleutherAI/pythia-160m-deduped,1000,step1000,3,0.21250000000000002,0.015,0.013333333333333334,0.010103629710818452,0.03625,0.006959705453537526,-0.9230071345965069,0.08756990823374848,-2.2666272574663164,0.42507278653307623,-1.9226272076368331,0.24432740269601477,-1.3436201228698097,0.337512616960942,0.7592131383789251,0.09865646139756043,1.6783280750907257,0.08184929690204323,0.027468987104338285,0.0005321508781863961,4.0,0.0
EleutherAI/pythia-160m-deduped,2000,step2000,3,0.19583333333333333,0.00877971146071061,0.005,0.0025,0.021666666666666667,0.008036375634160795,-1.2762748686472574,0.0665037025793968,-2.8759962954123814,0.10655372172143582,-2.624465384880702,0.1583065402574456,-1.599721426765124,0.05490309528004021,0.8417025845993756,0.06112142152409444,1.606411105833321,0.04428983894815862,0.020570383037038717,0.011421632370018898,4.0,0.0
EleutherAI/pythia-160m-deduped,3000,step3000,3,0.17416666666666666,0.01376892636821525,0.009166666666666668,0.007637626158259734,0.016666666666666666,0.010408329997330663,-1.2402028385798136,0.12134926484932793,-2.760437920689583,0.13778275422670822,-2.6685626957813895,0.11136700931276637,-1.520235082109769,0.02472434156281523,0.9394669257961316,0.06662147208459133,1.5031786168242522,0.03715507001476269,0.01881437472899883,0.014994950429418369,4.0,0.0
EleutherAI/pythia-160m-deduped,8000,step8000,3,0.18416666666666667,0.01876388374866284,0.008333333333333333,0.0014433756729740647,0.010833333333333334,0.008036375634160797,-1.3502021153767902,0.12396044656051163,-2.690629538098971,0.1114339924577543,-2.711416232784589,0.026356900723539543,-1.3404274227221809,0.014081890235067602,1.0148621743831763,0.10110654063321103,1.1986771680702668,0.06409341987466344,0.02157381635591865,0.003475994980615029,4.0,0.0
EleutherAI/pythia-160m-deduped,143000,step143000,3,0.19083333333333333,0.02504163200219453,0.006666666666666667,0.006291528696058958,0.05333333333333334,0.044464405239847,-1.124573415517807,0.14220237682592493,-5.9858090768257775,0.13650666355882632,-6.409156967997551,0.6285645977879711,-4.861235661307971,0.06442374611423066,1.0882339397022884,0.14235049858765847,1.800955847177165,0.015710036348980685,0.013295491475159169,0.006400575437804413,4.0,0.0
