experiment_id,model,checkpoint,step,prev_checkpoint,matrix_name,module,layer,subspace_stability_topk,rows,cols,num_singular_values,frobenius_norm,spectral_norm,stable_rank,effective_rank,nuclear_norm,mean_singular_value,median_eigenvalue,mp_edge,mp_outliers_x1,mp_outliers_x1.1,mp_outliers_x1.25,alpha_tail_frac_0.2,alpha_tail_frac_0.3,alpha_tail_frac_0.5
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.0.attention.dense.weight,attention.dense,0,,1024,1024,1024,2.669674072958422,0.1660613715648651,258.4516126377732,824.8658932355341,72.53441546447357,0.07083439010202497,0.004542077518378901,22.839985690048987,0,0,0,4.338985707682138,3.024230581246125,1.7582203230680127
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.0.attention.query_key_value.weight,attention.query_key_value,0,,3072,1024,1024,35.08331336679886,1.7220596075057983,415.05423074539414,976.6089796950664,1073.7756969630718,1.0486090790654998,1.0668129272961124,2.9900832372331334,0,0,0,6.972670993676201,5.001742282493996,3.175378251209107
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,0,,1024,4096,1024,5.336168759833915,0.24878861010074615,460.04267942743,989.4324288265357,165.24304947257042,0.16137016550055705,0.025484503367830258,0.06259774704207048,0,0,0,7.8976512510538015,5.726288556843277,3.653291202101033
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,mlp.dense_h_to_4h,0,,4096,1024,1024,40.49374279156303,1.895332932472229,456.4622034774183,989.4216947409556,1253.954564154148,1.2245650040567853,1.4658308072537523,3.6005294964771597,0,0,0,7.94953861762026,5.733996558330334,3.65816770075314
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.1.attention.dense.weight,attention.dense,1,,1024,1024,1024,2.66464396959419,0.1656084507703781,258.8888766141368,823.6984844080675,72.34104800445675,0.0706455546918523,0.0045044659638494855,22.650854755194544,0,0,0,4.360443010197053,3.017335918871256,1.754975391010804
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.1.attention.query_key_value.weight,attention.query_key_value,1,,3072,1024,1024,35.061625158905514,1.7197154760360718,415.6721097147001,976.466778346733,1072.9669239521027,1.0478192616719753,1.0653823311119837,2.9860735354757173,0,0,0,6.973390893972067,5.036387608394965,3.170496951710007
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,1,,1024,4096,1024,5.335897125150291,0.249097540974617,458.8555776332537,989.4558020651983,165.23808615654707,0.161365318512253,0.025425689670223517,0.062453282584111175,0,0,0,7.873796531088129,5.712063182690118,3.6536050757274707
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,mlp.dense_h_to_4h,1,,4096,1024,1024,40.477071914430404,1.8922858238220215,457.55647452418253,989.3315371568239,1253.3190494775772,1.2239443842554465,1.4632810389182183,3.594266484364272,0,0,0,7.90765237222149,5.7116365636781135,3.6456317196525894
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.2.attention.dense.weight,attention.dense,2,,1024,1024,1024,2.6651495087926445,0.1654680371284485,259.4268508010628,824.0412852942305,72.37212651931259,0.0706759048040162,0.0045368030258613745,22.813462731527228,0,0,0,4.369958951192575,3.013365233790018,1.7515407660205466
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.2.attention.query_key_value.weight,attention.query_key_value,2,,3072,1024,1024,35.073485005242276,1.722005844116211,414.8476168570319,976.3739988985077,1073.2205238342285,1.0480669178068638,1.0667298192540002,2.989850300457396,0,0,0,6.946133498578143,5.004006778372029,3.164574823145042
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.2.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,2,,1024,4096,1024,5.332705161549485,0.2485377937555313,460.3734480830011,989.4564901022577,165.14102559536695,0.16127053280797554,0.025476204408723224,0.06257736225624999,0,0,0,7.955665640056673,5.7561712353286625,3.65971100819865
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.2.mlp.dense_h_to_4h.weight,mlp.dense_h_to_4h,2,,4096,1024,1024,40.47083957792695,1.8892910480499268,458.8668610989586,989.4319982460011,1253.243964254856,1.223871058842633,1.4633490819878858,3.5944336189872836,0,0,0,7.901059913783288,5.710629975872157,3.6496218621479732
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.3.attention.dense.weight,attention.dense,3,,1024,1024,1024,2.664822855526507,0.166392520070076,256.4892043928845,823.9814916505787,72.3707162954488,0.07067452763227422,0.004524666299083713,22.752432803084975,0,0,0,4.361472606784564,3.0275942777737517,1.7577616732123902
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.3.attention.query_key_value.weight,attention.query_key_value,3,,3072,1024,1024,35.05305091269121,1.7237489223480225,413.52677259240573,976.5852019789914,1072.8184943199158,1.0476743108592927,1.0647811928524575,2.984388653912064,0,0,0,7.008252700252771,5.027761413896739,3.1726019315587273
e1_phase_identification,EleutherAI/pythia-410m-deduped,step0,0,,gpt_neox.layers.3.mlp.dense_4h_to_h.weight,mlp.dense_4h_to_h,3,,1024,4096,1024,5.334083767337771,0.2493702620267868,457.54134028788786,989.3339288090447,165.16194884479046,0.16129096566874068,0.02547116795917559,0.0625649911933251,0,0,0,7.920165088385175,5.697713901954377,3.637980495326678
