experiment_id,model,stage,step,seed,signal_type,base_accuracy,base_mean_margin,base_median_margin,base_mean_gold_logprob,base_n_items,post_injection_accuracy,post_injection_mean_margin,post_injection_median_margin,post_injection_mean_gold_logprob,post_injection_n_items,post_continuation_accuracy,post_continuation_mean_margin,post_continuation_median_margin,post_continuation_mean_gold_logprob,post_continuation_n_items,degradation_k4_accuracy,degradation_k4_mean_margin,degradation_k4_median_margin,degradation_k4_mean_gold_logprob,degradation_k4_n_items,degradation_k16_accuracy,degradation_k16_mean_margin,degradation_k16_median_margin,degradation_k16_mean_gold_logprob,degradation_k16_n_items,uptake_margin_delta,uptake_accuracy_delta,clean_retention_margin_delta,normalized_clean_retention_margin,clean_retention_accuracy_delta,normalized_degradation_k4_margin,normalized_degradation_k16_margin,normalized_degradation_margin_auc_logk,degradation_accuracy_auc_logk,k_star_accuracy_below_0p5
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,0.2125,-0.823901230096817,-0.7460250854492188,-14.213636887073516,160.0,0.08125,-1.3918958336114884,-1.4605588912963867,-11.458344215154648,160.0,0.10625,-1.3955073595046996,-1.42303466796875,-11.383242297172549,160.0,0.0625,-1.4043911159038545,-1.4991044998168943,-11.375612163543702,160.0,0.0875,-1.3880688667297365,-1.3402690887451172,-11.324494779109957,160.0,-0.5679946035146713,-0.13124999999999998,-0.5716061294078826,1.006358380644576,-0.10625,1.0219989454390006,0.9932623182367031,0.6066540894660863,0.04515449934959718,4
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,1,factual_association,0.28125,-0.8820213258266449,-0.7918844223022461,-14.085554212331772,160.0,0.175,-1.123457384109497,-1.028921127319336,-13.003270226716996,160.0,0.18125,-1.1039624333381652,-1.0049285888671875,-13.020984590053558,160.0,0.175,-1.109799122810364,-1.0656061172485352,-12.715088248252869,160.0,0.11875,-1.2327241539955138,-1.1354951858520508,-11.841855496168137,160.0,-0.24143605828285208,-0.10625000000000001,-0.2219411075115203,0.919254187174922,-0.1,0.9434290743633176,1.452570219474037,0.7212676570347609,0.08842756122629446,4
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,2,factual_association,0.2,-0.9247872471809389,-0.7906990051269531,-14.080266255140303,160.0,0.1375,-1.4459766119718551,-1.4356088638305664,-10.670610934495926,160.0,0.125,-1.417179185152054,-1.3528718948364258,-10.97896625995636,160.0,0.14375,-1.5122168242931366,-1.440887451171875,-10.165044724941254,160.0,0.1375,-1.397623685002327,-1.414210319519043,-10.67253923714161,160.0,-0.5211893647909163,-0.0625,-0.49239193797111525,0.9447467105715912,-0.07500000000000001,1.1270943284651538,0.9072257988439082,0.6123913791029967,0.08466468628049471,4
