model,eval_type,task,metric,n_rows,n_checkpoints
EleutherAI/pythia-160m-deduped,lm_loss,fixed_text,nll,50,10
EleutherAI/pythia-160m-deduped,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,50,10
EleutherAI/pythia-160m-deduped,multiple_choice,arithmetic_small,accuracy_raw_logprob,50,10
EleutherAI/pythia-160m-deduped,multiple_choice,arithmetic_small,gold_logprob_margin,50,10
EleutherAI/pythia-160m-deduped,multiple_choice,sequence_completion,accuracy_len_norm_logprob,40,10
EleutherAI/pythia-160m-deduped,multiple_choice,sequence_completion,accuracy_raw_logprob,40,10
EleutherAI/pythia-160m-deduped,multiple_choice,sequence_completion,gold_logprob_margin,40,10
EleutherAI/pythia-160m-deduped,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,30,10
EleutherAI/pythia-160m-deduped,multiple_choice,syntax_regularities,accuracy_raw_logprob,30,10
EleutherAI/pythia-160m-deduped,multiple_choice,syntax_regularities,gold_logprob_margin,30,10
EleutherAI/pythia-1b-deduped,lm_loss,fixed_text,nll,50,10
EleutherAI/pythia-1b-deduped,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,50,10
EleutherAI/pythia-1b-deduped,multiple_choice,arithmetic_small,accuracy_raw_logprob,50,10
EleutherAI/pythia-1b-deduped,multiple_choice,arithmetic_small,gold_logprob_margin,50,10
EleutherAI/pythia-1b-deduped,multiple_choice,sequence_completion,accuracy_len_norm_logprob,40,10
EleutherAI/pythia-1b-deduped,multiple_choice,sequence_completion,accuracy_raw_logprob,40,10
EleutherAI/pythia-1b-deduped,multiple_choice,sequence_completion,gold_logprob_margin,40,10
EleutherAI/pythia-1b-deduped,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,30,10
EleutherAI/pythia-1b-deduped,multiple_choice,syntax_regularities,accuracy_raw_logprob,30,10
EleutherAI/pythia-1b-deduped,multiple_choice,syntax_regularities,gold_logprob_margin,30,10
EleutherAI/pythia-410m-deduped,lm_loss,fixed_text,nll,50,10
EleutherAI/pythia-410m-deduped,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,50,10
EleutherAI/pythia-410m-deduped,multiple_choice,arithmetic_small,accuracy_raw_logprob,50,10
EleutherAI/pythia-410m-deduped,multiple_choice,arithmetic_small,gold_logprob_margin,50,10
EleutherAI/pythia-410m-deduped,multiple_choice,sequence_completion,accuracy_len_norm_logprob,40,10
EleutherAI/pythia-410m-deduped,multiple_choice,sequence_completion,accuracy_raw_logprob,40,10
EleutherAI/pythia-410m-deduped,multiple_choice,sequence_completion,gold_logprob_margin,40,10
EleutherAI/pythia-410m-deduped,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,30,10
EleutherAI/pythia-410m-deduped,multiple_choice,syntax_regularities,accuracy_raw_logprob,30,10
EleutherAI/pythia-410m-deduped,multiple_choice,syntax_regularities,gold_logprob_margin,30,10
EleutherAI/pythia-70m-deduped,lm_loss,fixed_text,nll,50,10
EleutherAI/pythia-70m-deduped,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,50,10
EleutherAI/pythia-70m-deduped,multiple_choice,arithmetic_small,accuracy_raw_logprob,50,10
EleutherAI/pythia-70m-deduped,multiple_choice,arithmetic_small,gold_logprob_margin,50,10
EleutherAI/pythia-70m-deduped,multiple_choice,sequence_completion,accuracy_len_norm_logprob,40,10
EleutherAI/pythia-70m-deduped,multiple_choice,sequence_completion,accuracy_raw_logprob,40,10
EleutherAI/pythia-70m-deduped,multiple_choice,sequence_completion,gold_logprob_margin,40,10
EleutherAI/pythia-70m-deduped,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,30,10
EleutherAI/pythia-70m-deduped,multiple_choice,syntax_regularities,accuracy_raw_logprob,30,10
EleutherAI/pythia-70m-deduped,multiple_choice,syntax_regularities,gold_logprob_margin,30,10
