model,checkpoint,step,eval_type,task,metric,n_rows
EleutherAI/pythia-160m-deduped,step0,0,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step0,0,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step128,128,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step128,128,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step512,512,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step512,512,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step1000,1000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step1000,1000,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step2000,2000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step2000,2000,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step3000,3000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step3000,3000,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step8000,8000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step8000,8000,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step16000,16000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,syntax_regularities,accuracy_raw_logprob,3
EleutherAI/pythia-160m-deduped,step16000,16000,multiple_choice,syntax_regularities,gold_logprob_margin,3
EleutherAI/pythia-160m-deduped,step64000,64000,lm_loss,fixed_text,nll,5
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,arithmetic_small,accuracy_len_norm_logprob,5
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,arithmetic_small,accuracy_raw_logprob,5
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,arithmetic_small,gold_logprob_margin,5
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,sequence_completion,accuracy_len_norm_logprob,4
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,sequence_completion,accuracy_raw_logprob,4
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,sequence_completion,gold_logprob_margin,4
EleutherAI/pythia-160m-deduped,step64000,64000,multiple_choice,syntax_regularities,accuracy_len_norm_logprob,3
