model,stage,step,base_probe_accuracy,base_probe_accuracy,base_probe_accuracy,post_injection_accuracy,post_injection_accuracy,post_injection_accuracy,uptake_accuracy_delta,uptake_accuracy_delta,uptake_accuracy_delta,base_probe_mean_margin,base_probe_mean_margin,base_probe_mean_margin,post_injection_mean_margin,post_injection_mean_margin,post_injection_mean_margin,uptake_margin_delta,uptake_margin_delta,uptake_margin_delta,normalized_retention_margin,normalized_retention_margin,normalized_retention_margin,normalized_retention_accuracy,normalized_retention_accuracy,normalized_retention_accuracy,k_star_accuracy_threshold,k_star_accuracy_threshold,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_accuracy,degradation_auc_accuracy,degradation_auc_margin,degradation_auc_margin,degradation_auc_margin
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
EleutherAI/pythia-160m-deduped,step8000,8000,0.28,,1,0.765,,1,0.485,,1,-1.2751419377326965,,1,1.0141157314181328,,1,2.289257669150829,,1,0.5930700205647339,,1,0.5257731958762887,,1,184.0,,1,138.24,,1,15.300067585408687,,1
