step,train_loss,train_accuracy,test_loss,test_accuracy
0,4.58670880577781,0.007575757575757576,4.591131438249312,0.006289308176100629
100,0.7117938309004812,0.9166666666666666,10.486803546641609,0.0
200,0.0802297681344278,1.0,14.534164140809256,0.0
300,0.02718015376365546,1.0,16.40532180498231,0.0
400,0.013488025150515816,1.0,17.58236867076946,0.0
500,0.008138218471272425,1.0,18.42980266067217,0.0
600,0.0054498979906466875,1.0,19.10950551542846,0.0
700,0.003915651990665179,1.0,19.66801327879324,0.0
800,0.002949504605071111,1.0,20.148050944010418,0.0
900,0.0023036586988547988,1.0,20.57277079648192,0.0
1000,0.0018437356144810717,1.0,20.944123274125392,0.0
1100,0.0015086509414355862,1.0,21.28807864399076,0.0
1200,0.0012544910458734994,1.0,21.597719204500788,0.0
1300,0.0010570963618881774,1.0,21.883002131240172,0.0
1400,0.0009020775941087667,1.0,22.156111807193398,0.0
1500,0.0007776885018260641,1.0,22.40896356930523,0.0
1600,0.0006766209280061903,1.0,22.645731608072918,0.0
1700,0.0005921557321650625,1.0,22.86759670425511,0.0
1800,0.0005215612243663406,1.0,23.08114182574194,0.0
1900,0.0004625027729410001,1.0,23.28505606021521,0.0
2000,0.00041196185471066696,1.0,23.48251630675118,0.0
2100,0.00036826662482891345,1.0,23.667767218823702,0.0
2200,0.00033094928684559733,1.0,23.848572545081563,0.0
2300,0.0002983984216398588,1.0,24.025876986905462,0.0
2400,0.00027014286994623643,1.0,24.192030036974252,0.0
2500,0.00024530765111910915,1.0,24.35308722729953,0.0
2600,0.00022320187770563996,1.0,24.509240876203812,0.0
2700,0.00020357937495591062,1.0,24.667167615590607,0.0
2800,0.00018631221389637864,1.0,24.817298745209317,0.0
2900,0.00017064744139188957,1.0,24.962823447941233,0.0
3000,0.00015658638563543332,1.0,25.10795737212559,0.0
3100,0.00014404017190717047,1.0,25.247219637504912,0.0
3200,0.00013278137471802026,1.0,25.38853444993121,0.0
3300,0.00012251609565062222,1.0,25.52247897933864,0.0
3400,0.00011324762762700574,1.0,25.651085043853183,0.0
3500,0.00010477859221723382,1.0,25.7813774444772,0.0
3600,9.709145745022617e-05,1.0,25.910406532527517,0.0
3700,9.005851373358658e-05,1.0,26.03730514814269,0.0
3800,8.365619710688902e-05,1.0,26.160829939932192,0.0
3900,7.775999873763683e-05,1.0,26.283087580458922,0.0
4000,7.232115361451481e-05,1.0,26.404305703984868,0.0
4100,6.735585658602896e-05,1.0,26.52293271238699,0.0
4200,6.278293585637584e-05,1.0,26.640349382124608,0.0
4300,5.856486898141377e-05,1.0,26.75861171506486,0.0
4400,5.46772908736867e-05,1.0,26.875536264863403,0.0
4500,5.107189854518793e-05,1.0,26.98917566455385,0.0
4600,4.774914795592794e-05,1.0,27.102667658583922,0.0
4700,4.4647617566321664e-05,1.0,27.21332478073408,0.0
4800,4.178223312148034e-05,1.0,27.326506992556013,0.0
4900,3.913266471389568e-05,1.0,27.43683552292158,0.0
5000,3.665963859847662e-05,1.0,27.547309923471893,0.0
5100,3.4353682305222854e-05,1.0,27.65556057144261,0.0
5200,3.22197418868062e-05,1.0,27.759962165880502,0.0
5300,3.0226222709946644e-05,1.0,27.86746772430228,0.0
5400,2.8357322386882238e-05,1.0,27.97452338836478,0.0
5500,2.6634261964566328e-05,1.0,28.079508463541668,0.0
5600,2.5035374412916347e-05,1.0,28.184807927353578,0.0
5700,2.3524533555080946e-05,1.0,28.28741339917453,0.0
5800,2.2110313886624873e-05,1.0,28.39047222017492,0.0
5900,2.0776923272271894e-05,1.0,28.494658848024763,0.0
6000,1.953970775392725e-05,1.0,28.598619377088248,0.0
