experiment_id,model,stage,step,seed,signal_type,base_accuracy,base_mean_margin,base_median_margin,base_mean_gold_logprob,base_n_items,post_injection_accuracy,post_injection_mean_margin,post_injection_median_margin,post_injection_mean_gold_logprob,post_injection_n_items,post_continuation_accuracy,post_continuation_mean_margin,post_continuation_median_margin,post_continuation_mean_gold_logprob,post_continuation_n_items,degradation_k4_accuracy,degradation_k4_mean_margin,degradation_k4_median_margin,degradation_k4_mean_gold_logprob,degradation_k4_n_items,degradation_k16_accuracy,degradation_k16_mean_margin,degradation_k16_median_margin,degradation_k16_mean_gold_logprob,degradation_k16_n_items,degradation_k64_accuracy,degradation_k64_mean_margin,degradation_k64_median_margin,degradation_k64_mean_gold_logprob,degradation_k64_n_items,degradation_k256_accuracy,degradation_k256_mean_margin,degradation_k256_median_margin,degradation_k256_mean_gold_logprob,degradation_k256_n_items,uptake_margin_delta,uptake_accuracy_delta,clean_retention_margin_delta,normalized_clean_retention_margin,clean_retention_accuracy_delta,normalized_degradation_k4_margin,normalized_degradation_k16_margin,normalized_degradation_k64_margin,normalized_degradation_k256_margin,normalized_degradation_margin_auc_logk,degradation_accuracy_auc_logk,k_star_accuracy_below_0p5
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step0,0,0,factual_association,0.235,-0.7085429048538208,-0.7551946640014648,-11.00915714263916,400.0,0.0125,-1.989476687908173,-2.039793014526367,-13.524133241176605,400.0,0.045,-1.3812409734725952,-1.3904733657836914,-13.416388878822326,400.0,0.0125,-2.1167815256118776,-2.183809280395508,-13.403138427734374,400.0,0.015,-1.9274790811538696,-1.9592704772949217,-13.58059866666794,400.0,0.035,-1.7012560749053955,-1.731989860534668,-13.888119254112244,400.0,0.015,-1.9991789865493772,-2.037382125854492,-13.667669122219086,400.0,-1.2809337830543521,-0.22249999999999998,-0.6726980686187745,0.525162250787659,-0.19,1.0993844017449128,0.9515996786293889,0.7749917936307972,1.0075743951557508,1.673769444311095,0.038381324447157604,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step0,0,1,factual_association,0.225,-0.6597646021842957,-0.6875066757202148,-11.017902348041536,400.0,0.01,-1.8091079020500185,-1.7944021224975586,-13.524594147205352,400.0,0.07,-1.203880169391632,-1.1762065887451172,-13.327641978263856,400.0,0.02,-1.628580379486084,-1.629316329956055,-13.62201580286026,400.0,0.0475,-1.2499673414230346,-1.23114013671875,-13.40199372291565,400.0,0.025,-1.6040334439277648,-1.592632293701172,-13.566647822856902,400.0,0.02,-1.6071484470367432,-1.6093978881835938,-13.712956244945524,400.0,-1.149343299865723,-0.215,-0.5441155672073362,0.47341431169512616,-0.155,0.8429298516944194,0.513513011567294,0.8215724943572451,0.8242827403815116,1.3056825674825685,0.055690549197836524,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step0,0,2,factual_association,0.2025,-0.6914027047157287,-0.7123937606811523,-11.00246333360672,400.0,0.0175,-1.8189666748046875,-1.782303810119629,-13.353721208572388,400.0,0.1025,-1.011457314491272,-1.0466489791870115,-13.021933927536011,400.0,0.0125,-1.9654473400115968,-1.9660816192626955,-13.447718977928162,400.0,0.02,-1.624429967403412,-1.5938873291015625,-13.433655846118928,400.0,0.03,-1.5092873620986935,-1.4706029891967771,-13.501881141662595,400.0,0.0425,-1.6232724070549012,-1.5978631973266602,-13.504302897453307,400.0,-1.1275639700889588,-0.185,-0.32005460977554323,0.2838460772653924,-0.10000000000000002,1.1299089622341807,0.827471688913643,0.7253554379876452,0.8264450860962265,1.523816337242129,0.046659649327917094,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step128,128,0,factual_association,0.215,-0.7807612299919129,-0.793670654296875,-11.68322879076004,400.0,0.0125,-2.779793927669525,-2.808216094970703,-14.128226718902589,400.0,0.0325,-1.9735727357864377,-2.039440155029297,-14.027765133380887,400.0,0.0125,-2.82855429649353,-2.876556396484375,-14.002029755115508,400.0,0.0125,-2.8064780497550963,-2.84658432006836,-14.03241268634796,400.0,0.01,-2.9207227861881258,-2.95040225982666,-13.211908133029938,400.0,0.015,-2.639543342590332,-2.675601959228516,-14.399301800727844,400.0,-1.999032697677612,-0.20249999999999999,-1.1928115057945248,0.5966943448100076,-0.1825,1.024391981622238,1.0133485170685663,1.0704985259532402,0.9298407748697007,1.8428836108636875,0.02182467468563864,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step128,128,1,factual_association,0.1925,-0.8046751976013183,-0.8032684326171875,-11.719195618629456,400.0,0.0025,-2.977986614704132,-3.061298370361328,-14.364073076248168,400.0,0.015,-1.989223816394806,-1.9963417053222656,-14.268731541633606,400.0,0.0025,-2.9916628789901734,-3.082538604736328,-14.259001989364624,400.0,0.0025,-2.9434040451049803,-3.033161163330078,-14.285138595104218,400.0,0.005,-2.931027686595917,-2.9685020446777344,-13.35056321144104,400.0,0.0025,-2.9820604062080385,-3.057435989379883,-13.570434906482696,400.0,-2.1733114171028136,-0.19,-1.1845486187934875,0.5450432043340476,-0.1775,1.006292823098621,0.9840876142613502,0.9783929133493372,1.0018744628458893,1.7860495988150102,0.0060205999132796235,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step128,128,2,factual_association,0.2075,-0.7479913878440857,-0.764552116394043,-11.70076132774353,400.0,0.01,-3.0732879543304445,-3.2205638885498047,-13.005345730781556,400.0,0.0225,-1.9866528964042665,-2.0153064727783203,-13.430036685466767,400.0,0.01,-3.089322712421417,-3.241052627563477,-12.898033747673034,400.0,0.0125,-3.0155523109436038,-3.1446266174316406,-13.526002912521362,400.0,0.01,-2.993257942199707,-3.099749565124512,-13.03055943250656,400.0,0.02,-2.910403296947479,-3.0308008193969727,-13.315399868488312,400.0,-2.325296566486359,-0.19749999999999998,-1.2386615085601806,0.5326896906022878,-0.185,1.006895790550795,0.9751706323318224,0.9655828794983915,0.929951017977422,1.751499028875256,0.02257724967479859,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step512,512,0,factual_association,0.18,-1.1430226135253907,-1.0742511749267578,-12.361256003379822,400.0,0.0175,-2.0529346752166746,-1.987165451049805,-13.19150735616684,400.0,0.0675,-1.547051991224289,-1.5268831253051758,-12.770190348625183,400.0,0.0225,-1.9899311649799347,-1.959507942199707,-13.238933720588683,400.0,0.0225,-2.0654078519344328,-2.013290405273437,-11.474215632677078,400.0,0.0425,-1.785202795267105,-1.7196025848388672,-13.339782481193543,400.0,0.1075,-1.175314326286316,-1.1011714935302734,-13.94195461511612,400.0,-0.9099120616912839,-0.16249999999999998,-0.40402937769889835,0.4440312363239976,-0.11249999999999999,0.9307586821965705,1.0137081122922735,0.7057607089503491,0.03548882811917402,1.3260928674467163,0.07826779887263512,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step512,512,1,factual_association,0.1925,-1.0917985022068024,-1.0675201416015625,-12.042103769779205,400.0,0.005,-2.425883764028549,-2.4296646118164062,-10.960398976802828,400.0,0.035,-1.9564852356910705,-1.9770584106445312,-12.36725970506668,400.0,0.0075,-2.3792240262031554,-2.36635971069336,-10.881632676124571,400.0,0.015,-2.1009739089012145,-2.0917043685913086,-13.222592570781709,400.0,0.0125,-2.332857288122177,-2.297532081604004,-10.001639367341996,400.0,0.035,-1.902217971086502,-1.8252220153808596,-10.423933579921725,400.0,-1.3340852618217467,-0.1875,-0.864686733484268,0.6481495285417543,-0.1575,0.9650249206998375,0.7564549549976609,0.9302694673507294,0.6074720200214485,1.4888780383386866,0.029350424577238167,4
e3_factual_160m_mvp,EleutherAI/pythia-160m-deduped,step512,512,2,factual_association,0.2075,-1.022597063779831,-0.981003761291504,-12.058808958530426,400.0,0.0225,-2.122874063253403,-2.0334606170654297,-10.96466739654541,400.0,0.055,-1.6234007215499875,-1.5415315628051758,-11.704389057159425,400.0,0.0225,-2.142996143102646,-2.066411018371582,-10.657338321208954,400.0,0.0175,-2.185203891992569,-2.100758552551269,-10.4264404129982,400.0,0.0375,-2.022235025167465,-1.98880672454834,-11.160821920633316,400.0,0.0575,-2.036300896406173,-1.8915801048278809,-8.877035301923751,400.0,-1.100276999473572,-0.185,-0.6008036577701565,0.5460476389651073,-0.1525,1.0182881945717945,1.0566492153966573,0.9085329983866891,0.9213169348367267,1.7670369102839503,0.05719569917615643,4
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,0.2125,-0.8239012718200683,-0.7460250854492188,-14.213636720180512,160.0,0.025,-1.7868947356939315,-1.7131547927856443,-9.707399368286133,160.0,0.04375,-1.6629440039396286,-1.5562334060668943,-10.290291792154312,160.0,0.00625,-1.7023808091878891,-1.575307846069336,-9.911231851577758,160.0,0.025,-1.7356428980827332,-1.6231689453125,-10.10491292476654,160.0,,,,,,,,,,,-0.9629934638738632,-0.1875,-0.8390427321195603,0.8712860092988767,-0.16875,0.9122383176246435,0.9467786236003867,,,,,4
