arm,seed,inject_checkpoint,endpoint_checkpoint,frobenius_norm,spectral_norm_approx,stable_rank_approx,matrix,t_cont,phase
in_window_carried,0,step1000,step2000,30.222212710410222,2.702195644378662,125.08894698543989,gpt_neox.layers.0.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.039757968904046,0.7777124643325806,41.99341961797778,gpt_neox.layers.0.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,34.443217112780346,3.7489941120147705,84.40689057795718,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,10.007979451915404,0.778573751449585,165.2316706607681,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,30.653553135390663,4.740769863128662,41.80843367562341,gpt_neox.layers.1.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,4.7209998823899975,0.6419826149940491,54.07810246244393,gpt_neox.layers.1.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.18056103873274,2.6618194580078125,174.6820705982749,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,10.419964891253757,1.0315392017364502,102.03778839309007,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,31.080892049391657,5.208510398864746,35.609008289700206,gpt_neox.layers.2.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.456530712549155,0.6399429440498352,72.7027265084576,gpt_neox.layers.2.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.13963322577781,2.488922357559204,199.3295794761967,gpt_neox.layers.2.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,10.338347254285635,0.8492582440376282,148.1912933330064,gpt_neox.layers.2.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,31.007725891161485,5.513818740844727,31.625315156037182,gpt_neox.layers.3.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.970885528882918,0.6740531921386719,78.46737980911328,gpt_neox.layers.3.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.10422713428274,2.3437039852142334,224.34340897068148,gpt_neox.layers.3.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,10.394839150715045,0.8391493558883667,153.44651020137334,gpt_neox.layers.3.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,33.08892677611821,5.547203063964844,35.580924986347384,gpt_neox.layers.4.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,6.888651108825377,0.6571971774101257,109.86946251618068,gpt_neox.layers.4.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.39985737744928,3.3954546451568604,108.69439688517524,gpt_neox.layers.4.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,10.979775302721007,1.201550006866455,83.50321648506151,gpt_neox.layers.4.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,32.21001374342399,3.893033981323242,68.45504039734327,gpt_neox.layers.5.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,6.050460028695165,0.6132370233535767,97.34643658027203,gpt_neox.layers.5.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.525958818869334,3.36883807182312,111.20679977276214,gpt_neox.layers.5.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,11.102222570652273,1.0950989723205566,102.78106567330626,gpt_neox.layers.5.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,31.188063622161604,3.1117560863494873,100.45365141365804,gpt_neox.layers.6.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.473116455768443,0.5656329989433289,93.62673996145986,gpt_neox.layers.6.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.70392846470119,3.4851694107055664,104.95042949866571,gpt_neox.layers.6.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,11.24567313167915,1.0080060958862305,124.46424103264846,gpt_neox.layers.6.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,30.812012705325255,2.9776268005371094,107.07784127425481,gpt_neox.layers.7.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.41956291041008,0.624038815498352,75.42326284092026,gpt_neox.layers.7.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.82294241299841,3.5935983657836914,99.37186385073642,gpt_neox.layers.7.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,11.296274931655256,1.0556213855743408,114.51283003179712,gpt_neox.layers.7.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,30.81557314637915,2.928013563156128,110.7629033603459,gpt_neox.layers.8.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.584307324683052,0.5198360085487366,115.4000251302467,gpt_neox.layers.8.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,35.92751559672788,3.646716594696045,97.06224821644538,gpt_neox.layers.8.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,11.374674027351976,0.9843975305557251,133.51709913846716,gpt_neox.layers.8.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,30.842920850684077,3.3443944454193115,85.05033172488376,gpt_neox.layers.9.attention.query_key_value.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,5.571095715175908,0.5626508593559265,98.03999195657141,gpt_neox.layers.9.attention.dense.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,36.02787041012919,3.68672251701355,95.49844081458615,gpt_neox.layers.9.mlp.dense_h_to_4h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,11.500158557628062,1.0570775270462036,118.35700757092862,gpt_neox.layers.9.mlp.dense_4h_to_h.weight,0,snapshot_0
in_window_carried,0,step1000,step2000,30.82701032260001,4.007595062255859,59.16912542067536,gpt_neox.layers.10.attention.query_key_value.weight,0,snapshot_0
