step,stable_rank,effective_rank,mp_outlier_proxy,alpha_tail_proxy
0,33.34042748411375,81.10228220621745,0.0,0.10908378887755199
200,15.824209140758612,73.97389475504558,11.666666666666666,0.24408814995170788
400,15.17594552370585,72.97652816772461,13.0,0.24999351741658557
600,14.92279720134507,72.5541877746582,13.333333333333334,0.25363484885246085
800,14.78145082120367,72.28910954793294,13.666666666666666,0.25596215570695074
1000,14.688537631151954,72.09910138448079,13.666666666666666,0.257666018865271
1200,14.619457436300296,71.95001792907715,13.666666666666666,0.2589713839124715
1400,14.562757468340047,71.82659149169922,13.666666666666666,0.2600828928591264
1600,14.519526389982724,71.7224890391032,13.666666666666666,0.2610107153365328
1800,14.477056079833739,71.63066864013672,13.666666666666666,0.2618097529256767
2000,14.446211931460644,71.54901186625163,13.666666666666666,0.26251104227023103
2200,14.414966152117387,71.47520319620769,14.0,0.2631476633569068
2400,14.390323834695435,71.40791765848796,14.0,0.2637153856597924
2600,14.366163814826196,71.34560839335124,14.0,0.26424538273994136
2800,14.342663359085941,71.28755124409993,14.0,0.2647281747685849
3000,14.320528909682357,71.23285547892253,14.0,0.2652039566517401
3200,14.302961715769166,71.18115933736165,14.0,0.26563142410431134
3400,14.286204146871995,71.13243166605632,14.0,0.26603294894863844
3600,14.270257689495415,71.08579190572102,14.0,0.26640171791902745
3800,14.255736259414988,71.04118792215984,14.0,0.26676340200104526
4000,14.238662360600491,70.99828338623047,14.0,0.2671340862688453
4200,14.22682863834288,70.95702489217122,14.0,0.26744625838489183
4400,14.213044591397036,70.9171880086263,14.0,0.2677713651156931
4600,14.199869479779961,70.87811597188313,14.0,0.26808437336864394
4800,14.186097120413459,70.8404000600179,14.0,0.26840248812998657
5000,14.174567854006881,70.80369695027669,14.0,0.26868894039158575
5200,14.161967285888844,70.76781527201335,14.0,0.26898561472549004
5400,14.151228710548553,70.73293685913086,14.0,0.2692536799794781
5600,14.140910765474848,70.69891103108723,14.0,0.26952300584506433
5800,14.130262092785157,70.66526095072429,14.0,0.2697725241688787
6000,14.120350984195063,70.63240051269531,14.0,0.2700274784356213
