step,step_num,layer,module,metric,value,module_family,module_role
2,2,0,attention.dense,subspace_stability_topk,0.9998970627784728,Attention,Attention output
2,2,0,attention.query_key_value,subspace_stability_topk,0.9997989535331726,Attention,QKV
2,2,0,mlp.dense_4h_to_h,subspace_stability_topk,1.0003206729888916,MLP,MLP out
2,2,0,mlp.dense_h_to_4h,subspace_stability_topk,0.9997673034667968,MLP,MLP in
2,2,1,attention.dense,subspace_stability_topk,0.9998971819877625,Attention,Attention output
2,2,1,attention.query_key_value,subspace_stability_topk,0.999804139137268,Attention,QKV
2,2,1,mlp.dense_4h_to_h,subspace_stability_topk,1.000329613685608,MLP,MLP out
2,2,1,mlp.dense_h_to_4h,subspace_stability_topk,0.9998016357421876,MLP,MLP in
2,2,2,attention.dense,subspace_stability_topk,0.999894380569458,Attention,Attention output
2,2,2,attention.query_key_value,subspace_stability_topk,0.999813437461853,Attention,QKV
2,2,2,mlp.dense_4h_to_h,subspace_stability_topk,1.0003180503845217,MLP,MLP out
2,2,2,mlp.dense_h_to_4h,subspace_stability_topk,0.9998008012771606,MLP,MLP in
2,2,3,attention.dense,subspace_stability_topk,0.9999014735221864,Attention,Attention output
2,2,3,attention.query_key_value,subspace_stability_topk,0.9998120069503784,Attention,QKV
2,2,3,mlp.dense_4h_to_h,subspace_stability_topk,1.0003173351287842,MLP,MLP out
2,2,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9997803568840028,MLP,MLP in
2,2,4,attention.dense,subspace_stability_topk,0.9998974204063416,Attention,Attention output
2,2,4,attention.query_key_value,subspace_stability_topk,0.9997942447662354,Attention,QKV
2,2,4,mlp.dense_4h_to_h,subspace_stability_topk,1.000330924987793,MLP,MLP out
2,2,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9997729063034058,MLP,MLP in
2,2,5,attention.dense,subspace_stability_topk,0.9998887777328492,Attention,Attention output
2,2,5,attention.query_key_value,subspace_stability_topk,0.9997617602348328,Attention,QKV
2,2,5,mlp.dense_4h_to_h,subspace_stability_topk,1.0003249645233154,MLP,MLP out
2,2,5,mlp.dense_h_to_4h,subspace_stability_topk,0.999792456626892,MLP,MLP in
2,2,6,attention.dense,subspace_stability_topk,0.9998948574066162,Attention,Attention output
2,2,6,attention.query_key_value,subspace_stability_topk,0.9997990131378174,Attention,QKV
2,2,6,mlp.dense_4h_to_h,subspace_stability_topk,1.00031578540802,MLP,MLP out
2,2,6,mlp.dense_h_to_4h,subspace_stability_topk,0.9997736215591432,MLP,MLP in
2,2,7,attention.dense,subspace_stability_topk,0.9999088048934937,Attention,Attention output
2,2,7,attention.query_key_value,subspace_stability_topk,0.9998023509979248,Attention,QKV
2,2,7,mlp.dense_4h_to_h,subspace_stability_topk,1.0003035068511963,MLP,MLP out
