model,step,module,stable_rank,effective_rank,spectral_norm,frobenius_norm,subspace_stability_topk,mp_outliers_x1,alpha_tail_frac_0.3
EleutherAI/pythia-70m-deduped,0,attention.dense,129.4788259268761,411.79916098160805,0.6628125508626302,7.5412642289633105,,0.0,2.978127110199002
EleutherAI/pythia-70m-deduped,0,attention.query_key_value,207.38903778304748,488.16142761333236,1.7206594546635945,24.778357594499905,,0.16666666666666666,4.938473544853508
EleutherAI/pythia-70m-deduped,0,mlp.dense_4h_to_h,229.7310843188994,494.60991063967884,0.994968851407369,15.080483820906196,,0.16666666666666666,5.600921998372079
EleutherAI/pythia-70m-deduped,0,mlp.dense_h_to_4h,229.41729543520717,494.69413094432525,1.889944851398468,28.625569119827954,,0.16666666666666666,5.652447092044219
EleutherAI/pythia-70m-deduped,128,attention.dense,128.5877616089575,411.680893470277,0.6671355366706848,7.563898990811506,0.9304003516832987,0.0,2.9705058328842076
EleutherAI/pythia-70m-deduped,128,attention.query_key_value,183.20210034534932,488.00956148066945,1.8373427788416545,24.849034729349167,0.8524140318234762,1.3333333333333333,4.893188588898635
EleutherAI/pythia-70m-deduped,128,mlp.dense_4h_to_h,218.88434912697073,494.44981595038513,1.0227496822675068,15.121827032345601,0.8258202572663625,1.6666666666666667,5.532242519525567
EleutherAI/pythia-70m-deduped,128,mlp.dense_h_to_4h,227.79512963969069,494.67076231372204,1.8981245160102844,28.646737551145232,0.9519202013810476,0.5,5.6443218558513335
EleutherAI/pythia-70m-deduped,512,attention.dense,103.55321792975299,409.93241666222497,0.7626489003499349,7.6784224072792595,0.5227993875741959,0.0,2.8135280488556247
EleutherAI/pythia-70m-deduped,512,attention.query_key_value,53.7458982203407,485.044786220566,3.8180490732192993,25.36583836060449,0.4689533015092214,8.166666666666666,3.4804478525983114
EleutherAI/pythia-70m-deduped,512,mlp.dense_4h_to_h,193.40555097037335,493.960872923079,1.1046765049298604,15.257635591570265,0.6759679863850275,5.333333333333333,5.2687702440876025
EleutherAI/pythia-70m-deduped,512,mlp.dense_h_to_4h,211.28988196804858,494.48800308574164,1.9813923637072246,28.683528241663026,0.813557893037796,2.1666666666666665,5.521728591307343
