model,step,checkpoint,module,stable_rank_mean,stable_rank_std,stable_rank_count,effective_rank_mean,effective_rank_std,effective_rank_count,spectral_norm_mean,spectral_norm_std,spectral_norm_count,frobenius_norm_mean,frobenius_norm_std,frobenius_norm_count,subspace_stability_topk_mean,subspace_stability_topk_std,subspace_stability_topk_count,mp_outliers_x1_mean,mp_outliers_x1_std,mp_outliers_x1_count,mp_outliers_x1.1_mean,mp_outliers_x1.1_std,mp_outliers_x1.1_count,mp_outliers_x1.25_mean,mp_outliers_x1.25_std,mp_outliers_x1.25_count,alpha_tail_frac_0.3_mean,alpha_tail_frac_0.3_std,alpha_tail_frac_0.3_count
EleutherAI/pythia-70m-deduped,0,step0,attention.dense,129.4788259268761,2.3841977395882887,6,411.79916098160805,0.22969930919956702,6,0.6628125508626302,0.006059544242373596,6,7.5412642289633105,0.008208551235995325,6,,,0,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.978127110199002,0.022151058710803875,6
EleutherAI/pythia-70m-deduped,0,step0,attention.query_key_value,207.38903778304748,2.154280384147923,6,488.16142761333236,0.0653431522427741,6,1.7206594546635945,0.009604692555180176,6,24.778357594499905,0.021846308438032286,6,,,0,0.16666666666666666,0.408248290463863,6,0.0,0.0,6,0.0,0.0,6,4.938473544853508,0.02509729147388291,6
EleutherAI/pythia-70m-deduped,0,step0,mlp.dense_4h_to_h,229.7310843188994,1.2187423406164577,6,494.60991063967884,0.059716711676032985,6,0.994968851407369,0.002959468950284556,6,15.080483820906196,0.008625633874632922,6,,,0,0.16666666666666666,0.408248290463863,6,0.0,0.0,6,0.0,0.0,6,5.600921998372079,0.012027622112170231,6
EleutherAI/pythia-70m-deduped,0,step0,mlp.dense_h_to_4h,229.41729543520717,1.7148853115476337,6,494.69413094432525,0.05971068176554886,6,1.889944851398468,0.00784906690997953,6,28.625569119827954,0.021246022817390586,6,,,0,0.16666666666666666,0.408248290463863,6,0.0,0.0,6,0.0,0.0,6,5.652447092044219,0.015073336775088444,6
EleutherAI/pythia-70m-deduped,128,step128,attention.dense,128.5877616089575,2.78404696791916,6,411.680893470277,0.329125618009692,6,0.6671355366706848,0.008092284176761017,6,7.563898990811506,0.018861381202509745,6,0.9304003516832987,0.06455731844984253,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.9705058328842076,0.02612769769241072,6
EleutherAI/pythia-70m-deduped,128,step128,attention.query_key_value,183.20210034534932,9.409043682473675,6,488.00956148066945,0.05481218766923222,6,1.8373427788416545,0.04605909016461086,6,24.849034729349167,0.02226634755022443,6,0.8524140318234762,0.04608304355190418,6,1.3333333333333333,0.816496580927726,6,0.8333333333333334,0.408248290463863,6,0.0,0.0,6,4.893188588898635,0.03420607098456181,6
EleutherAI/pythia-70m-deduped,128,step128,mlp.dense_4h_to_h,218.88434912697073,9.353989368601168,6,494.44981595038513,0.06756180557773626,6,1.0227496822675068,0.02447189628070264,6,15.121827032345601,0.04645386245658044,6,0.8258202572663625,0.04669295799459779,6,1.6666666666666667,0.5163977794943223,6,0.16666666666666666,0.408248290463863,6,0.0,0.0,6,5.532242519525567,0.02019799041903181,6
EleutherAI/pythia-70m-deduped,128,step128,mlp.dense_h_to_4h,227.79512963969069,2.708868962329312,6,494.67076231372204,0.06322942713522153,6,1.8981245160102844,0.013580639514076589,6,28.646737551145232,0.04020724748188706,6,0.9519202013810476,0.02421303433104247,6,0.5,0.5477225575051661,6,0.0,0.0,6,0.0,0.0,6,5.6443218558513335,0.014079465030309447,6
EleutherAI/pythia-70m-deduped,512,step512,attention.dense,103.55321792975299,16.9717792537609,6,409.93241666222497,0.8666409951532114,6,0.7626489003499349,0.08136382043130408,6,7.6784224072792595,0.13595279480698633,6,0.5227993875741959,0.14617928102207464,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.8135280488556247,0.079946940155572,6
EleutherAI/pythia-70m-deduped,512,step512,attention.query_key_value,53.7458982203407,37.977426792751054,6,485.044786220566,1.1663966208172714,6,3.8180490732192993,0.875315987513808,6,25.36583836060449,0.29920071193980324,6,0.4689533015092214,0.12207262074235295,6,8.166666666666666,2.316606713852541,6,5.0,1.5491933384829668,6,3.5,1.378404875209022,6,3.4804478525983114,0.5856581602010321,6
EleutherAI/pythia-70m-deduped,512,step512,mlp.dense_4h_to_h,193.40555097037335,27.005526315498543,6,493.960872923079,0.4761645785261369,6,1.1046765049298604,0.09113444713659626,6,15.257635591570265,0.2086363092355654,6,0.6759679863850275,0.18065498042567768,6,5.333333333333333,3.983298465677241,6,1.6666666666666667,2.0655911179772892,6,0.6666666666666666,0.816496580927726,6,5.2687702440876025,0.26801568563939193,6
EleutherAI/pythia-70m-deduped,512,step512,mlp.dense_h_to_4h,211.28988196804858,22.396503782798387,6,494.48800308574164,0.29464757186222473,6,1.9813923637072246,0.12584030710831087,6,28.683528241663026,0.21370217867295205,6,0.813557893037796,0.18267717488402885,6,2.1666666666666665,2.401388487243717,6,0.5,0.8366600265340756,6,0.16666666666666666,0.408248290463863,6,5.521728591307343,0.16167817933492087,6
