model,checkpoint,step,module,n_layers,n_matrices,frobenius_norm_mean,frobenius_norm_std,spectral_norm_mean,spectral_norm_std,stable_rank_mean,stable_rank_std,effective_rank_mean,effective_rank_std,nuclear_norm_mean,nuclear_norm_std,mp_outliers_x1_mean,mp_outliers_x1_std,mp_outliers_x1.1_mean,mp_outliers_x1.1_std,mp_outliers_x1.25_mean,mp_outliers_x1.25_std,alpha_tail_frac_0.2_mean,alpha_tail_frac_0.2_std,alpha_tail_frac_0.3_mean,alpha_tail_frac_0.3_std,alpha_tail_frac_0.5_mean,alpha_tail_frac_0.5_std,subspace_stability_topk_mean,subspace_stability_topk_std
EleutherAI/pythia-160m-deduped,step0,0,attention.dense,12,12,4.619147506309564,0.0034459270193876513,0.3321942885716756,0.0017218481251948567,193.36225652023623,2.0232507578541457,617.9962157962436,0.38132384124767443,108.63283304831748,0.07484548416739684,0.0,0.0,0.0,0.0,0.0,0.0,4.295370413887748,0.022778634853001602,3.008523467441392,0.008887265779024904,1.752824185056397,0.0036673489039780027,,
EleutherAI/pythia-160m-deduped,step128,128,attention.dense,12,12,4.628742990797686,0.006736060107228972,0.33718179414669674,0.008654760720176142,188.76007139065294,8.829555559790473,617.8710624297531,0.42941424894972835,108.83957465819958,0.14021316306435344,0.0,0.0,0.0,0.0,0.0,0.0,4.281916212204597,0.03096084954452854,3.00141243558951,0.013881926174544444,1.7517779564968248,0.004133960816705976,0.9346950848897299,0.060685287600775246
EleutherAI/pythia-160m-deduped,step512,512,attention.dense,12,12,4.755648836008076,0.10117000349402176,0.4466734205683072,0.10266994416102299,123.74166155274092,34.564317395747516,614.0054793329668,3.0208922485646226,111.07750692029019,1.814723645576709,0.0,0.0,0.0,0.0,0.0,0.0,3.6747905399671397,0.47921659673863976,2.7750108181184383,0.1955190168243263,1.7113379270734665,0.03184527314391466,0.40932976578672725,0.13722712107370222
EleutherAI/pythia-160m-deduped,step1000,1000,attention.dense,12,12,5.625667776500763,0.5385866346494755,0.660447229941686,0.07910050275814223,75.42535557731479,19.233335050587105,589.1346497838059,10.25968165249749,126.00215346014859,10.547851823508287,0.0,0.0,0.0,0.0,0.0,0.0,2.1515938679505964,0.27692284382671356,1.8632687866966027,0.21919716153432758,1.3890570249789531,0.11480037160326065,0.4391362816095352,0.12862248273765706
EleutherAI/pythia-160m-deduped,step2000,2000,attention.dense,12,12,9.651365978286963,1.1089982660954214,1.2296708226203918,0.12805487433514343,64.49212136878323,19.693003110185018,556.6613600633906,11.99520521472918,206.822115563746,25.201535651224116,0.0,0.0,0.0,0.0,0.0,0.0,2.0113358457334534,0.3766650417298311,1.5793526361976804,0.1938426507214924,1.123828497948498,0.08234663670203493,0.5405832827091217,0.19108605868358924
EleutherAI/pythia-160m-deduped,step3000,3000,attention.dense,12,12,13.26438296143568,1.5771863291642485,1.5706535577774048,0.13425400996757353,74.74182913718035,24.88140239383536,560.3502905411457,13.89861918064771,287.06944590189715,38.17711114849393,0.0,0.0,0.0,0.0,0.0,0.0,2.226262992947954,0.3869844636113394,1.7138951432616523,0.24115912677993212,1.1589640990179528,0.09330872250089099,0.8516135414441427,0.07874206810956778
EleutherAI/pythia-160m-deduped,step8000,8000,attention.dense,12,12,22.742170638128787,3.584648443999047,2.447035829226176,0.23844014170308692,90.9839170565484,32.38596288576218,571.6145558008909,17.57291567984562,503.2025340657762,90.62227382963157,0.0,0.0,0.0,0.0,0.0,0.0,2.649033310298515,0.5336201024132603,2.0319178956356545,0.3570533935278503,1.2893986498036643,0.15476253029302992,0.6641477247079214,0.126098744243633
EleutherAI/pythia-160m-deduped,step16000,16000,attention.dense,12,12,27.86443149433372,4.694581069917011,3.0484583576520285,0.4281115001328589,90.0075537750137,34.56192840619932,572.8121547772863,21.662284612741864,618.9579422685516,120.20858379738992,0.0,0.0,0.0,0.0,0.0,0.0,2.7504997296176756,0.5757309516478947,2.1316451145814224,0.4227006356409848,1.3395049485761774,0.2114562859314132,0.8292559583981832,0.07925367376961641
EleutherAI/pythia-160m-deduped,step64000,64000,attention.dense,12,12,25.43526929055325,3.96192039453963,2.9123573303222656,0.4425419139698739,81.7195898893721,27.82569571336105,566.6271830049706,23.84673126745287,559.9952813294983,94.59302291123606,0.0,0.0,0.0,0.0,0.0,0.0,2.700257287690421,0.5062705722137851,2.1110415358270296,0.39293050074182145,1.329715767688733,0.23052379348603955,0.6688092822829882,0.157388930581451
EleutherAI/pythia-160m-deduped,step143000,143000,attention.dense,12,12,13.684775635380696,3.2447714836460886,2.1487432519594827,0.644917363191624,45.88376360140375,23.884618897558664,547.9032158528261,31.091901541192684,292.9792945636412,72.00128627922786,0.0,0.0,0.0,0.0,0.0,0.0,2.292694452213285,0.43237537948927207,1.8817431206552344,0.40473579590897385,1.2360740822515686,0.25524088434659165,0.6791172524293264,0.21030895142590264
