experiment_id,model,stage,step,seed,timestamp,poison_budget,probe_accuracy,probe_mean_margin,probe_mean_nll,poison_train_steps,base_probe_mean_margin,post_injection_mean_margin,base_probe_accuracy,post_injection_accuracy,normalized_margin_remaining,normalized_accuracy_remaining,log_budget
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,0,0.41,-0.2528836119174957,5.089546027183533,0,-0.4387421607971191,-0.2528836119174957,0.225,0.41,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,4,0.425,-0.2316436791419983,4.574905889034271,1,-0.4387421607971191,-0.2528836119174957,0.225,0.41,1.1142800958230554,1.0810810810810811,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,16,0.405,-0.3874120271205902,4.73596139550209,3,-0.4387421607971191,-0.2528836119174957,0.225,0.41,0.27617849157842245,0.9729729729729732,2.833213344056216
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,64,0.29,-0.8187020933628082,5.841307728290558,12,-0.4387421607971191,-0.2528836119174957,0.225,0.41,-2.044350043923893,0.35135135135135126,4.174387269895637
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,256,0.31,-0.7143097686767578,5.113862371444702,48,-0.4387421607971191,-0.2528836119174957,0.225,0.41,-1.4826738373929624,0.4594594594594595,5.54907608489522
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T19:02:50+0000,0,0.48,-0.1918884217739105,4.57388596534729,0,-0.4137381505966186,-0.1918884217739105,0.185,0.48,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T19:02:50+0000,4,0.46,-0.2120101833343506,4.393788379430771,1,-0.4137381505966186,-0.1918884217739105,0.185,0.48,0.9093000398638285,0.9322033898305085,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T19:02:50+0000,16,0.45,-0.2836558395624161,4.21203463613987,3,-0.4137381505966186,-0.1918884217739105,0.185,0.48,0.5863532568847907,0.8983050847457628,2.833213344056216
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T19:02:50+0000,64,0.395,-0.505717214345932,4.727299106121063,12,-0.4137381505966186,-0.1918884217739105,0.185,0.48,-0.41460074906297817,0.7118644067796611,4.174387269895637
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,1,2026-06-04T19:02:50+0000,256,0.33,-0.5404669117927551,4.437685480117798,48,-0.4137381505966186,-0.1918884217739105,0.185,0.48,-0.5712369443435837,0.49152542372881364,5.54907608489522
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T19:07:36+0000,0,0.495,-0.0359497809410095,4.433162719011307,0,-0.462876935005188,-0.0359497809410095,0.195,0.495,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T19:07:36+0000,4,0.515,-0.0590832209587097,4.2865796363353725,1,-0.462876935005188,-0.0359497809410095,0.195,0.495,0.9458140814012906,1.0666666666666667,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T19:07:36+0000,16,0.48,-0.1405053424835205,4.135005335807801,3,-0.462876935005188,-0.0359497809410095,0.195,0.495,0.7550974199059881,0.95,2.833213344056216
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T19:07:36+0000,64,0.335,-0.494647079706192,4.670116074085236,12,-0.462876935005188,-0.0359497809410095,0.195,0.495,-0.07441584447970737,0.46666666666666673,4.174387269895637
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,2,2026-06-04T19:07:36+0000,256,0.385,-0.4302322876453399,4.173887846469879,48,-0.462876935005188,-0.0359497809410095,0.195,0.495,0.0764642095239994,0.6333333333333334,5.54907608489522
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-04T19:12:24+0000,0,0.42,-0.148824473619461,4.728615044355393,0,-0.4281999015808105,-0.148824473619461,0.175,0.42,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-04T19:12:24+0000,4,0.4,-0.166003999710083,4.326342278718949,1,-0.4281999015808105,-0.148824473619461,0.175,0.42,0.9385073833587156,0.9183673469387756,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-04T19:12:24+0000,16,0.39,-0.3285793578624725,4.266377937793732,3,-0.4281999015808105,-0.148824473619461,0.175,0.42,0.35658305544365954,0.8775510204081634,2.833213344056216
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-04T19:12:24+0000,64,0.32,-0.5722667396068573,5.4932288229465485,12,-0.4281999015808105,-0.148824473619461,0.175,0.42,-0.5156746929296081,0.5918367346938777,4.174387269895637
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,3,2026-06-04T19:12:24+0000,256,0.295,-0.7184608697891235,5.347594720125199,48,-0.4281999015808105,-0.148824473619461,0.175,0.42,-1.0389638427631132,0.4897959183673469,5.54907608489522
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-04T19:17:11+0000,0,0.495,-0.1598043584823608,5.038178864717484,0,-0.4247988510131836,-0.1598043584823608,0.215,0.495,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-04T19:17:11+0000,4,0.48,-0.1379922986030578,4.2875827169418335,1,-0.4247988510131836,-0.1598043584823608,0.215,0.495,1.082311370591092,0.9464285714285714,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-04T19:17:11+0000,16,0.405,-0.2669668364524841,4.162936965227127,3,-0.4247988510131836,-0.1598043584823608,0.215,0.495,0.5956048861745354,0.6785714285714286,2.833213344056216
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-04T19:17:11+0000,64,0.38,-0.7213174962997436,6.158581172227859,12,-0.4247988510131836,-0.1598043584823608,0.215,0.495,-1.1189615393688626,0.5892857142857143,4.174387269895637
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,4,2026-06-04T19:17:11+0000,256,0.3,-0.8362469673156738,5.751236143112183,48,-0.4247988510131836,-0.1598043584823608,0.215,0.495,-1.5526666700615777,0.3035714285714285,5.54907608489522
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T19:22:09+0000,0,0.505,-0.0367883050441741,4.200298649072647,0,-0.8555588459968567,-0.0367883050441741,0.21,0.505,1.0,1.0,0.0
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T19:22:09+0000,4,0.455,-0.1376614201068878,4.10993530869484,1,-0.8555588459968567,-0.0367883050441741,0.21,0.505,0.8767992862257323,0.8305084745762712,1.6094379124341003
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step128,128,0,2026-06-04T19:22:09+0000,16,0.415,-0.2792588746547699,4.2278142786026,3,-0.8555588459968567,-0.0367883050441741,0.21,0.505,0.7038601690182106,0.694915254237288,2.833213344056216
