stage,step,seed,norm_margin_auc,norm_accuracy_auc,norm_margin_final,norm_accuracy_final,experiment_id,model,timestamp,n_items,n_probe,n_train_texts,base_probe_mean_margin,base_probe_accuracy,base_probe_mean_nll,base_control_mean_margin,base_control_accuracy,post_injection_mean_margin,post_injection_accuracy,post_injection_mean_nll,uptake_margin_delta,uptake_accuracy_delta,injection_train_steps,injection_final_loss,post_continuation_mean_margin,post_continuation_accuracy,post_continuation_mean_nll,normalized_retention_margin,normalized_retention_accuracy,continuation_train_steps,continuation_final_loss,k_star_accuracy_threshold,degradation_auc_accuracy,degradation_auc_margin,degradation_final_accuracy,degradation_final_margin
step0,0,0,-0.1906240091378253,0.7887649537718263,-1.4826738373929624,0.4594594594594595,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T18:58:03+0000,300,200,900,-0.4387421607971191,0.225,11.042428612709044,-0.4033968877792358,0.195,-0.2528836119174957,0.41,5.089546027183533,0.1858585488796234,0.1849999999999999,600,0.7791743874549866,-0.7868455743789673,0.26,8.11956976890564,-1.8729480870277715,0.1891891891891892,500,7.220894336700439,0.0,80.92999999999999,-180.7992664670944,0.31,-0.7143097686767578
step0,0,1,0.3404506899893109,0.8256957038247853,-0.5712369443435837,0.49152542372881364,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:02:50+0000,300,200,900,-0.4137381505966186,0.185,11.012007365226744,-0.4780512857437133,0.18,-0.1918884217739105,0.48,4.57388596534729,0.2218497288227081,0.295,600,0.8947799801826477,-0.7889572548866272,0.25,8.260390229225159,-1.6913209958884643,0.2203389830508474,500,7.232469081878662,0.0,97.22,-123.16042275071143,0.33,-0.5404669117927551
step0,0,2,0.5522476905460276,0.8295320479235809,0.0764642095239994,0.6333333333333334,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:07:36+0000,300,200,900,-0.462876935005188,0.195,11.015091423988345,-0.4703331089019775,0.17,-0.0359497809410095,0.495,4.433162719011307,0.4269271540641784,0.3,600,0.785682201385498,-0.6194462728500366,0.3,8.125883438587188,-0.3667354872004981,0.35,500,7.218786239624023,0.0,96.67,-105.419674782753,0.385,-0.4302322876453399
step0,0,3,0.21213381638928117,0.78778040107322,-1.0389638427631132,0.4897959183673469,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:12:24+0000,300,200,900,-0.4281999015808105,0.175,10.978568987846376,-0.5299411153793335,0.22,-0.148824473619461,0.42,4.728615044355393,0.2793754279613495,0.245,600,0.871130645275116,-0.8432558155059815,0.24,8.23933248758316,-1.4856564764979698,0.2653061224489796,500,7.223773002624512,0.0,82.46000000000001,-149.12731393337248,0.295,-0.7184608697891235
step0,0,4,0.09282390675404516,0.7252656621852283,-1.5526666700615777,0.3035714285714285,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T19:17:11+0000,300,200,900,-0.4247988510131836,0.215,11.01343131542206,-0.3439932775497436,0.21,-0.1598043584823608,0.495,5.038178864717484,0.2649944925308227,0.28,600,0.9044073820114136,-0.8035153484344483,0.28,8.13160530090332,-1.4291485600487126,0.2321428571428572,500,7.224576473236084,0.0,91.38,-176.2703606176376,0.3,-0.8362469673156738
step1000,1000,0,0.942196196761155,0.9557127148677169,0.809803636699237,0.4772727272727273,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:10:18+0000,300,200,900,-1.5850067830085754,0.205,8.89051525592804,-1.5356272339820862,0.22,-0.2612426275014877,0.425,3.939184692502022,1.3237641555070878,0.22,600,0.5558480620384216,-0.6628588676452637,0.35,6.168768279552459,0.6966104283206468,0.6590909090909091,500,4.158998489379883,0.0,98.47,-107.09459813773633,0.31,-0.5130177557468414
step1000,1000,1,0.9140369614915755,0.9289401094950727,0.68715546513357,0.9166666666666666,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:15:05+0000,300,200,900,-1.4352745032310483,0.235,8.818190529346467,-1.578797354698181,0.205,-0.3830272579193115,0.355,4.284436012506485,1.052247245311737,0.12,600,0.6788684129714966,-0.5657935392856598,0.36,6.084696398973465,0.8263086150325798,1.0416666666666667,500,4.157868385314941,0.0,85.76,-154.6224918615818,0.345,-0.7122170579433441
step1000,1000,2,0.9259023286822792,0.8255722779717688,0.6924741256834241,0.5094339622641509,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:19:54+0000,300,200,900,-1.3767844939231872,0.2,8.734133820533753,-1.475018424987793,0.275,-0.3406427335739135,0.465,4.090031747817993,1.0361417603492735,0.265,600,0.5957604646682739,-0.5754357373714447,0.385,6.28104459643364,0.7733968335390857,0.6981132075471698,500,4.155392169952393,0.0,98.3,-134.47714113473893,0.335,-0.65928313434124
step1000,1000,3,0.9272031652830197,0.8441200356456283,0.7312711345143644,0.5263157894736842,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:24:42+0000,300,200,900,-1.5107707571983338,0.235,8.799833524227143,-1.515394823551178,0.205,-0.0100010931491851,0.52,3.714179146289825,1.5007696640491486,0.285,600,0.6035755276679993,-0.4579249465465546,0.405,6.139439846277237,0.7015372417717657,0.5964912280701755,500,4.155169486999512,8.0,111.08,-64.23399089574814,0.385,-0.4133012223243713
step1000,1000,4,0.9654824755538022,0.9158820569974243,0.7547002422207469,0.5882352941176471,e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,2026-06-04T20:29:30+0000,300,200,900,-1.5115736627578735,0.205,8.701004073619842,-1.6547654271125791,0.21,-0.2826758214831352,0.46,4.108210781216622,1.2288978412747382,0.255,600,0.6868389844894409,-0.5557868552207946,0.41,6.076599793434143,0.7777593673251466,0.8039215686274509,500,4.159938335418701,0.0,103.37,-110.50531747817992,0.355,-0.5841241642832756
